ml;pH;sec;°C
0.000;7.969;0.0;25.3
7.500;4.215;12.0;25.3
7.500;5.017;19.2;25.4
7.500;5.017;19.2;25.4
7.500;5.017;19.5;25.4
7.544;4.996;20.6;25.4
7.590;4.931;21.7;25.4
7.635;4.879;22.9;25.4
7.681;4.842;24.0;25.4
7.727;4.839;25.1;25.4
7.772;4.777;26.3;25.4
7.818;4.763;27.4;25.4
7.863;4.709;28.6;25.4
7.909;4.653;29.7;25.4
7.955;4.631;30.9;25.4
8.001;4.592;32.0;25.4
8.009;4.579;32.4;25.4
8.029;4.542;37.1;25.4
8.049;4.520;39.8;25.4
8.069;4.497;42.5;25.4
8.089;4.470;45.1;25.4
8.109;4.454;47.8;25.4
8.129;4.431;50.4;25.5
8.149;4.405;53.1;25.4
8.169;4.381;55.8;25.4
8.189;4.356;58.4;25.5
8.209;4.334;61.1;25.4
8.229;4.313;63.8;25.4
8.249;4.288;66.4;25.4
8.269;4.266;69.1;25.5
8.289;4.242;72.7;25.4
8.309;4.226;75.3;25.5
8.329;4.203;78.0;25.4
8.349;4.181;80.7;25.4
8.369;4.158;84.1;25.5
8.389;4.137;86.8;25.5
8.409;4.120;89.4;25.4
8.429;4.101;92.1;25.4
8.449;4.080;94.7;25.5
8.469;4.066;97.4;25.5
8.489;4.049;100.1;25.4
8.509;4.031;102.7;25.4
8.529;4.014;105.8;25.5
8.549;3.996;108.4;25.4
8.569;3.982;111.1;25.4
8.589;3.966;113.8;25.5
8.609;3.951;116.4;25.5
8.629;3.938;119.1;25.4
8.649;3.923;121.7;25.4
8.669;3.910;124.4;25.5
8.689;3.896;127.1;25.4
8.709;3.882;129.7;25.4
8.729;3.870;132.4;25.5
8.749;3.858;135.1;25.5
8.769;3.843;137.7;25.4
8.789;3.830;140.4;25.5
8.809;3.821;143.0;25.5
8.829;3.808;145.7;25.5
8.849;3.798;148.4;25.4
8.869;3.789;151.0;25.5
8.889;3.779;153.7;25.5
8.909;3.768;156.4;25.5
8.929;3.757;159.6;25.5
8.949;3.746;162.2;25.4
8.969;3.737;164.9;25.4
8.989;3.727;167.6;25.5
9.009;3.717;170.2;25.5
9.029;3.707;172.9;25.5
9.049;3.700;175.6;25.5
9.069;3.692;178.2;25.5
9.089;3.682;180.9;25.4
9.109;3.674;183.7;25.5
9.129;3.664;186.8;25.4
9.149;3.657;189.4;25.5
9.169;3.649;192.1;25.5
9.189;3.639;194.8;25.5
9.209;3.632;197.4;25.5
9.229;3.625;200.1;25.5
9.249;3.617;202.7;25.5
9.269;3.611;205.4;25.5
9.289;3.604;208.1;25.5
9.309;3.597;210.7;25.5
9.329;3.589;213.4;25.5
9.349;3.582;216.1;25.5
9.369;3.575;218.7;25.5
9.389;3.568;221.4;25.5
9.409;3.561;224.4;25.5
9.429;3.555;227.1;25.5
9.449;3.549;229.7;25.5
9.469;3.543;232.4;25.5
9.489;3.536;235.1;25.5
9.509;3.531;237.7;25.5
9.529;3.524;240.4;25.5
9.549;3.517;243.1;25.5
9.569;3.512;245.7;25.5
9.589;3.505;248.4;25.5
9.609;3.499;251.8;25.5
9.629;3.494;254.5;25.5
9.649;3.489;257.1;25.5
9.649;3.489;257.3;25.5
