ml;pH;sec;°C
0.000;7.932;0.0;24.9
7.500;5.019;12.0;24.9
7.500;5.045;12.4;24.9
7.545;5.166;13.5;24.9
7.590;5.197;14.7;24.9
7.636;5.182;15.8;24.9
7.682;5.152;17.0;24.9
7.727;5.108;18.1;24.9
7.773;5.064;19.3;24.9
7.819;5.011;20.4;24.9
7.864;4.965;21.5;24.9
7.910;4.926;22.7;24.9
7.956;4.872;23.8;24.9
8.001;4.822;25.0;24.9
8.047;4.781;26.1;24.9
8.092;4.734;27.3;24.9
8.138;4.688;28.4;24.9
8.184;4.614;29.5;24.9
8.215;4.577;30.5;24.9
8.235;4.551;35.6;24.9
8.255;4.528;38.3;24.9
8.275;4.502;41.1;24.9
8.295;4.479;43.8;24.9
8.315;4.454;46.7;24.9
8.335;4.434;49.5;24.9
8.355;4.406;52.2;24.9
8.375;4.380;55.0;24.9
8.395;4.360;57.7;24.9
8.415;4.341;60.5;24.9
8.435;4.317;63.2;24.9
8.455;4.298;66.0;24.9
8.475;4.278;68.9;24.9
8.495;4.255;71.6;24.9
8.515;4.234;74.2;24.9
8.535;4.214;77.1;24.9
8.555;4.192;79.9;24.9
8.575;4.171;82.6;24.9
8.595;4.151;85.3;24.9
8.615;4.131;87.9;24.9
8.635;4.111;90.6;24.9
8.655;4.099;93.2;24.9
8.675;4.080;95.9;24.9
8.695;4.062;98.6;24.9
8.715;4.046;101.2;24.9
8.735;4.030;103.9;24.9
8.755;4.014;106.5;24.9
8.775;3.998;109.2;24.9
8.795;3.983;111.9;24.9
8.815;3.968;114.5;24.9
8.835;3.954;117.2;24.9
8.855;3.942;119.9;24.9
8.875;3.927;122.5;24.9
8.895;3.915;125.2;24.9
8.915;3.902;127.8;24.9
8.935;3.889;130.5;24.9
8.955;3.874;133.2;24.9
8.975;3.863;135.8;24.9
8.995;3.851;138.5;24.9
9.015;3.838;141.2;24.9
9.035;3.829;143.8;24.9
9.055;3.817;146.5;24.9
9.075;3.808;149.1;24.9
9.095;3.796;151.8;24.9
9.115;3.786;154.5;24.9
9.135;3.775;157.1;24.9
9.155;3.765;159.8;24.9
9.175;3.755;162.4;24.9
9.195;3.745;165.1;24.9
9.215;3.736;167.8;24.9
9.235;3.727;170.4;24.9
9.255;3.718;173.1;24.9
9.275;3.711;175.8;24.9
9.295;3.702;178.4;24.9
9.315;3.694;181.1;24.9
9.335;3.684;183.7;24.9
9.355;3.676;186.4;24.9
9.375;3.667;189.1;24.9
9.395;3.659;191.7;24.9
9.415;3.652;194.4;24.9
9.435;3.644;197.1;24.9
9.455;3.636;199.7;24.9
9.475;3.629;202.4;24.9
9.495;3.623;205.0;24.9
9.515;3.615;207.7;24.9
9.535;3.608;210.4;24.9
9.555;3.601;213.0;24.9
9.575;3.594;215.7;24.9
9.595;3.587;218.4;24.9
9.615;3.580;221.0;24.9
9.635;3.574;223.7;24.9
9.655;3.568;226.3;24.9
9.675;3.562;229.0;24.9
9.695;3.555;231.7;24.9
9.715;3.549;234.3;24.9
9.735;3.543;237.0;24.9
9.755;3.537;239.7;24.9
9.775;3.531;242.3;24.9
9.795;3.525;245.0;24.9
9.815;3.519;247.6;24.9
9.835;3.514;250.3;24.9
9.855;3.508;253.0;24.9
9.875;3.503;255.6;24.9
9.895;3.498;258.3;24.9
9.915;3.492;260.9;24.9
9.935;3.486;263.6;24.9
9.935;3.487;263.8;24.9
