ml;pH;sec;°C
0.000;7.997;0.0;26.3
7.500;4.401;12.0;26.3
7.500;5.129;20.4;26.2
7.500;5.129;20.4;26.2
7.500;5.130;20.6;26.2
7.544;5.094;21.7;26.2
7.590;5.012;22.9;26.2
7.635;4.958;24.0;26.2
7.681;4.949;25.1;26.2
7.727;4.888;26.3;26.2
7.772;4.855;27.4;26.2
7.818;4.819;28.6;26.2
7.864;4.779;29.7;26.2
7.909;4.770;30.9;26.2
7.955;4.737;32.0;26.2
8.001;4.686;33.1;26.2
8.046;4.680;34.3;26.2
8.085;4.551;35.4;26.2
8.085;4.676;40.6;26.2
8.085;4.676;40.6;26.2
8.085;4.677;40.8;26.2
8.127;4.643;41.9;26.2
8.151;4.569;42.6;26.2
8.151;4.609;46.6;26.2
8.151;4.609;46.6;26.2
8.151;4.609;46.8;26.2
8.181;4.555;47.8;26.2
8.201;4.551;55.8;26.2
8.221;4.535;58.4;26.2
8.241;4.511;62.8;26.2
8.261;4.489;66.8;26.2
8.281;4.468;71.0;26.2
8.301;4.445;73.6;26.2
8.321;4.424;77.2;26.1
8.341;4.403;79.9;26.2
8.361;4.374;84.3;26.2
8.381;4.354;87.7;26.2
8.401;4.331;91.3;26.2
8.421;4.310;94.3;26.2
8.441;4.287;98.0;26.2
8.461;4.270;100.6;26.2
8.481;4.246;104.4;26.2
8.501;4.226;108.2;26.2
8.521;4.206;111.6;26.2
8.541;4.186;114.9;26.2
8.561;4.167;117.7;26.2
8.581;4.149;120.4;26.2
8.601;4.127;124.2;26.2
8.621;4.109;128.0;26.2
8.641;4.095;130.7;26.2
8.661;4.079;133.7;26.2
8.681;4.066;136.4;26.2
8.701;4.046;140.0;26.2
8.721;4.030;143.0;26.2
8.741;4.015;145.7;26.2
8.761;4.000;148.3;26.2
8.781;3.985;151.0;26.2
8.801;3.968;154.6;26.2
8.821;3.957;157.3;26.2
8.841;3.942;160.5;26.2
8.861;3.929;163.2;26.2
8.881;3.919;165.8;26.2
8.901;3.904;168.5;26.2
8.921;3.891;171.7;26.2
8.941;3.878;174.8;26.2
8.961;3.864;178.0;26.2
8.981;3.852;181.0;26.2
9.001;3.840;184.5;26.2
9.021;3.829;187.5;26.2
9.041;3.818;190.7;26.2
9.061;3.807;194.2;26.2
9.081;3.795;197.0;26.2
9.101;3.786;199.7;26.2
9.121;3.776;202.5;26.2
9.141;3.766;205.2;26.2
9.161;3.755;208.4;26.2
9.181;3.746;211.6;26.2
9.201;3.737;214.3;26.2
9.221;3.728;217.0;26.2
9.241;3.721;219.6;26.2
9.261;3.711;222.5;26.2
9.281;3.703;225.1;26.2
9.301;3.694;228.4;26.2
9.321;3.686;231.4;26.2
9.341;3.678;234.7;26.2
9.361;3.670;237.3;26.2
9.381;3.661;240.5;26.2
9.401;3.653;243.6;26.2
9.421;3.646;246.6;26.2
9.441;3.640;249.3;26.2
9.461;3.633;251.9;26.2
9.481;3.625;255.2;26.2
9.501;3.619;257.8;26.2
9.521;3.612;260.5;26.2
9.541;3.605;263.5;26.2
9.561;3.598;266.2;26.2
9.581;3.591;268.9;26.2
9.601;3.585;271.9;26.2
9.621;3.578;274.6;26.2
9.641;3.573;277.2;26.2
9.661;3.566;279.9;26.2
9.681;3.560;282.6;26.2
9.701;3.554;285.4;26.2
9.721;3.549;288.1;26.2
9.741;3.542;290.9;26.2
9.761;3.537;293.8;26.2
9.781;3.530;297.0;26.2
9.801;3.524;300.1;26.2
9.821;3.520;302.7;26.2
9.841;3.514;305.4;26.2
9.861;3.509;308.0;26.2
9.881;3.504;310.9;26.2
9.901;3.498;313.6;26.2
9.921;3.494;316.2;26.2
9.941;3.489;318.9;26.2
9.941;3.488;319.1;26.2
