ml;pH;sec;°C
0.000;7.957;0.0;25.0
7.500;5.401;12.0;25.0
7.500;5.402;12.4;25.0
7.544;5.416;13.5;25.0
7.589;5.372;14.7;25.0
7.635;5.308;15.8;25.0
7.681;5.229;17.0;25.0
7.726;5.142;18.1;25.0
7.772;5.027;19.3;25.0
7.817;4.932;20.4;25.0
7.863;4.853;21.5;25.0
7.909;4.797;22.7;25.0
7.954;4.723;23.8;25.0
8.000;4.656;25.0;25.0
8.039;4.572;26.1;25.0
8.059;4.510;31.1;25.0
8.079;4.480;33.7;24.9
8.099;4.456;36.4;24.9
8.119;4.432;39.0;24.9
8.139;4.404;41.7;24.9
8.159;4.380;44.4;24.9
8.179;4.359;47.4;24.9
8.199;4.334;50.1;24.9
8.219;4.307;52.7;24.9
8.239;4.289;55.4;24.9
8.259;4.265;58.1;24.9
8.279;4.245;60.7;24.9
8.299;4.224;63.4;24.9
8.319;4.205;66.0;24.9
8.339;4.184;68.7;24.9
8.359;4.158;71.4;24.9
8.379;4.142;74.0;24.9
8.399;4.119;76.7;24.9
8.419;4.097;79.4;24.9
8.439;4.083;82.0;24.9
8.459;4.066;84.7;24.9
8.479;4.047;87.3;24.9
8.499;4.030;90.0;24.9
8.519;4.014;92.7;24.9
8.539;4.000;95.3;24.9
8.559;3.980;98.0;24.9
8.579;3.966;100.6;24.9
8.599;3.950;103.3;24.8
8.619;3.935;106.0;24.9
8.639;3.921;108.6;24.9
8.659;3.909;111.3;24.9
8.679;3.898;114.0;24.9
8.699;3.884;116.6;24.9
8.719;3.872;119.3;24.9
8.739;3.860;121.9;24.9
8.759;3.847;124.6;24.9
8.779;3.832;127.3;24.9
8.799;3.824;129.9;24.8
8.819;3.813;132.6;24.9
8.839;3.803;135.3;24.9
8.859;3.791;137.9;24.8
8.879;3.784;140.6;24.9
8.899;3.774;143.2;24.9
8.919;3.763;145.9;24.9
8.939;3.753;148.6;24.8
8.959;3.744;151.2;24.9
8.979;3.734;153.9;24.9
8.999;3.724;156.6;24.8
9.019;3.715;159.2;24.9
9.039;3.707;161.9;24.9
9.059;3.698;164.5;24.9
9.079;3.688;167.2;24.8
9.099;3.682;169.9;24.9
9.119;3.674;172.5;24.9
9.139;3.665;175.2;24.8
9.159;3.656;177.9;24.9
9.179;3.647;180.5;24.9
9.199;3.640;183.2;24.8
9.219;3.633;185.8;24.9
9.239;3.625;188.5;24.9
9.259;3.618;191.2;24.9
9.279;3.611;193.8;24.8
9.299;3.604;196.5;24.9
9.319;3.597;199.1;24.9
9.339;3.590;201.8;24.8
9.359;3.583;204.5;24.9
9.379;3.576;207.1;24.9
9.399;3.568;209.8;24.9
9.419;3.561;212.5;24.8
9.439;3.555;215.1;24.8
9.459;3.550;217.8;24.9
9.479;3.544;220.4;24.9
9.499;3.538;223.1;24.8
9.519;3.531;225.8;24.8
9.539;3.526;228.4;24.9
9.559;3.519;231.1;24.8
9.579;3.512;233.8;24.8
9.599;3.507;236.4;24.9
9.619;3.502;239.1;24.9
9.639;3.495;241.7;24.8
9.659;3.491;244.4;24.8
9.679;3.486;247.1;24.9
9.679;3.486;247.3;24.9
