ml;pH;sec;°C
0.000;7.979;0.0;25.1
7.500;4.497;12.0;25.1
7.500;4.939;17.0;25.1
7.500;4.939;17.0;25.1
7.500;4.938;17.2;25.1
7.544;4.918;18.3;25.1
7.589;4.847;19.4;25.1
7.635;4.784;20.6;25.1
7.681;4.718;21.7;25.1
7.726;4.674;22.9;25.1
7.772;4.611;24.0;25.1
7.781;4.565;24.4;25.1
7.801;4.533;30.1;25.1
7.821;4.505;32.9;25.0
7.841;4.474;35.8;25.1
7.861;4.457;38.8;25.0
7.881;4.434;41.9;25.0
7.901;4.413;44.7;25.0
7.921;4.380;47.4;25.1
7.941;4.355;50.1;25.1
7.961;4.333;52.9;25.1
7.981;4.316;55.8;25.0
8.001;4.290;58.4;25.1
8.021;4.270;61.1;25.1
8.041;4.251;63.7;25.1
8.061;4.229;66.4;25.1
8.081;4.202;69.1;25.0
8.101;4.189;71.7;25.1
8.121;4.168;75.0;25.0
8.141;4.145;77.6;25.1
8.161;4.126;80.3;25.1
8.181;4.108;82.9;25.1
8.201;4.090;85.6;25.0
8.221;4.071;88.3;25.0
8.241;4.055;90.9;25.1
8.261;4.038;93.8;25.0
8.281;4.022;96.4;25.1
8.301;4.008;99.9;25.1
8.321;3.992;102.5;25.0
8.341;3.973;105.2;25.0
8.361;3.962;107.9;25.1
8.381;3.945;110.5;25.1
8.401;3.932;113.2;25.1
8.421;3.915;115.8;25.0
8.441;3.906;118.5;25.1
8.461;3.893;121.2;25.1
8.481;3.881;123.8;25.0
8.501;3.868;126.5;25.1
8.521;3.856;129.2;25.1
8.541;3.843;131.8;25.0
8.561;3.831;134.5;25.1
8.581;3.816;137.1;25.1
8.601;3.809;139.8;25.0
8.621;3.799;142.5;25.1
8.641;3.787;145.1;25.1
8.661;3.777;147.8;25.0
8.681;3.769;150.5;25.1
8.701;3.759;153.1;25.1
8.721;3.749;155.8;25.0
8.741;3.739;158.4;25.0
8.761;3.730;161.1;25.1
8.781;3.721;163.8;25.1
8.801;3.710;166.4;25.0
8.821;3.703;169.1;25.0
8.841;3.695;171.7;25.1
8.861;3.686;174.4;25.0
8.881;3.678;177.1;25.0
8.901;3.670;179.7;25.1
8.921;3.662;182.4;25.0
8.941;3.654;185.1;25.0
8.961;3.646;187.7;25.1
8.981;3.639;190.4;25.1
9.001;3.630;193.1;25.0
9.021;3.622;195.7;25.1
9.041;3.616;198.4;25.1
9.061;3.609;201.0;25.1
9.081;3.603;203.7;25.0
9.101;3.597;206.4;25.1
9.121;3.589;209.0;25.1
9.141;3.583;211.7;25.1
9.161;3.574;214.3;25.0
9.181;3.569;217.0;25.1
9.201;3.563;219.7;25.1
9.221;3.557;222.3;25.1
9.241;3.550;225.0;25.1
9.261;3.543;227.7;25.1
9.281;3.538;230.3;25.1
9.301;3.534;233.0;25.1
9.321;3.527;235.6;25.1
9.341;3.521;238.3;25.1
9.361;3.515;241.0;25.1
9.381;3.509;243.6;25.1
9.401;3.504;246.3;25.1
9.421;3.498;249.0;25.1
9.441;3.493;251.6;25.1
9.461;3.487;254.3;25.1
9.461;3.488;254.5;25.1
