ml;pH;sec;°C
0.000;8.034;0.0;25.5
7.500;5.363;12.0;25.5
7.500;5.340;12.4;25.5
7.544;5.364;13.5;25.5
7.590;5.295;14.7;25.5
7.635;5.213;15.8;25.5
7.681;5.153;17.0;25.5
7.727;5.069;18.1;25.5
7.772;5.001;19.2;25.5
7.818;4.917;20.4;25.5
7.863;4.870;21.5;25.5
7.909;4.805;22.7;25.5
7.955;4.772;23.8;25.5
8.000;4.701;25.0;25.5
8.046;4.644;26.1;25.5
8.092;4.616;27.2;25.5
8.123;4.577;28.2;25.5
8.123;4.624;32.0;25.5
8.123;4.624;32.0;25.5
8.123;4.624;32.2;25.5
8.161;4.560;33.3;25.5
8.181;4.552;39.6;25.5
8.201;4.527;42.3;25.5
8.221;4.501;44.9;25.5
8.241;4.481;47.6;25.5
8.261;4.461;50.3;25.5
8.281;4.441;52.9;25.5
8.301;4.417;55.6;25.5
8.321;4.397;58.2;25.5
8.341;4.372;60.9;25.5
8.361;4.350;63.6;25.5
8.381;4.329;67.4;25.5
8.401;4.308;70.0;25.5
8.421;4.286;72.7;25.5
8.441;4.266;76.5;25.5
8.461;4.245;79.2;25.5
8.481;4.227;83.0;25.5
8.501;4.208;87.0;25.5
8.521;4.184;89.6;25.5
8.541;4.165;92.3;25.5
8.561;4.148;94.9;25.5
8.581;4.128;97.6;25.5
8.601;4.109;100.3;25.5
8.621;4.094;102.9;25.5
8.641;4.077;105.6;25.5
8.661;4.062;108.2;25.5
8.681;4.046;110.9;25.5
8.701;4.031;113.6;25.5
8.721;4.017;116.2;25.5
8.741;4.002;119.8;25.5
8.761;3.984;122.5;25.5
8.781;3.972;125.2;25.5
8.801;3.959;127.8;25.5
8.821;3.943;130.5;25.5
8.841;3.932;133.2;25.5
8.861;3.920;135.8;25.5
8.881;3.909;139.2;25.5
8.901;3.897;141.9;25.5
8.921;3.884;144.6;25.5
8.941;3.870;147.2;25.5
8.961;3.860;149.9;25.5
8.981;3.849;152.9;25.5
9.001;3.837;155.6;25.5
9.021;3.827;158.3;25.5
9.041;3.817;160.9;25.5
9.061;3.807;163.6;25.5
9.081;3.798;166.2;25.5
9.101;3.788;168.9;25.5
9.121;3.778;172.1;25.5
9.141;3.768;174.8;25.5
9.161;3.760;177.5;25.5
9.181;3.749;180.1;25.5
9.201;3.741;183.6;25.5
9.221;3.733;186.2;25.5
9.241;3.724;188.9;25.5
9.261;3.715;191.5;25.5
9.281;3.707;194.2;25.5
9.301;3.700;196.9;25.5
9.321;3.691;199.5;25.5
9.341;3.683;202.2;25.5
9.361;3.675;204.8;25.5
9.381;3.667;207.9;25.5
9.401;3.660;210.5;25.5
9.421;3.654;213.2;25.5
9.441;3.646;215.9;25.5
9.461;3.640;218.9;25.5
9.481;3.632;222.1;25.5
9.501;3.626;224.8;25.5
9.521;3.618;227.5;25.5
9.541;3.611;230.1;25.5
9.561;3.605;232.8;25.5
9.581;3.598;235.8;25.5
9.601;3.592;238.5;25.5
9.621;3.586;241.2;25.5
9.641;3.580;243.8;25.5
9.661;3.573;246.5;25.5
9.681;3.568;249.1;25.5
9.701;3.562;251.8;25.5
9.721;3.555;254.5;25.5
9.741;3.550;257.1;25.5
9.761;3.544;259.8;25.5
9.781;3.538;262.5;25.5
9.801;3.533;265.1;25.5
9.821;3.528;267.8;25.5
9.841;3.522;270.8;25.5
9.861;3.517;273.5;25.5
9.881;3.513;276.1;25.5
9.901;3.507;278.8;25.5
9.921;3.501;281.5;25.5
9.941;3.496;284.1;25.5
9.961;3.491;286.8;25.5
9.981;3.486;289.5;25.5
9.981;3.487;289.6;25.5
