assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Spi-A4;jar1;run1;day17;Alkalinity_preT7_5[1]_12_08_19-09_36_31.csv;2,536635729;0,06365342597905;1062,974243;25,99333333;35,5;;;
Spi-B3;jar2;run1;day17;Alkalinity_preT7_5[1]_12_08_19-09_43_15.csv;2,563352835;0,03693632071549;1062,974243;25,99333333;35,5;;;
Spi-D4;jar3;run1;day17;Alkalinity_preT7_5[1]_12_08_19-09_51_35.csv;2,55652384;0,04376531537554;1062,974243;25,99333333;35,5;;;
Mdi-C4;jar4;run1;day17;Alkalinity_preT7_5[1]_12_08_19-09_57_55.csv;2,569287426;0,03100172876429;1062,974243;25,99333333;35,5;;;
Mdi-A4;jar5;run1;day17;Alkalinity_preT7_5[1]_12_08_19-10_07_26.csv;2,575982664;0,02430649114133;1062,974243;25,99333333;35,5;;;
Mdi-D4;jar6;run1;day17;Alkalinity_preT7_5[1]_12_08_19-10_16_00.csv;2,558713174;0,04157598173637;1062,974243;25,99333333;35,5;;;
Pru-D4;jar7;run1;day17;Alkalinity_preT7_5[1]_12_08_19-10_22_36.csv;2,577658875;0,02263028049217;1062,974243;25,99333333;35,5;;;
Pru-E4;jar8;run1;day17;Alkalinity_preT7_5[1]_12_08_19-10_29_05.csv;2,583822891;0,01646626432126;1062,974243;25,99333333;35,5;;;
Pru-A4;jar9;run1;day17;Alkalinity_preT7_5[1]_12_08_19-10_35_41.csv;2,576493211;0,02379594422935;1062,974243;25,99333333;35,5;;;
control;jar10;run1;day17;Alkalinity_preT7_5[1]_12_08_19-10_45_38.csv;2,600289155;;1062,974243;25,99333333;35,5;;;
Spi-A1;jar1;run2;day17;Alkalinity_preT7_5[1]_12_08_19-11_12_37.csv;2,53510221;0,05027712338638;1062,974243;25,99333333;35,5;;;
Spi-B1;jar2;run2;day17;Alkalinity_preT7_5[1]_12_08_19-11_19_09.csv;2,521380365;0,06399896804146;1062,974243;25,99333333;35,5;;;
Spi-D1;jar3;run2;day17;Alkalinity_preT7_5[1]_12_08_19-11_26_04.csv;2,545353422;0,04002591054810;1062,974243;25,99333333;35,5;;;
Mdi-C1;jar4;run2;day17;Alkalinity_preT7_5[1]_12_08_19-11_33_19.csv;2,551050881;0,03432845214397;1062,974243;25,99333333;35,5;;;
Mdi-A1;jar5;run2;day17;Alkalinity_preT7_5[1]_12_08_19-11_40_08.csv;2,556642142;0,02873719100517;1062,974243;25,99333333;35,5;;;
Mdi-D1;jar6;run2;day17;Alkalinity_preT7_5[1]_12_08_19-11_46_54.csv;2,566048818;0,01933051479281;1062,974243;25,99333333;35,5;;;
Pru-D1;jar7;run2;day17;Alkalinity_preT7_5[1]_12_08_19-11_55_30.csv;2,570320429;0,01505890355659;1062,974243;25,99333333;35,5;;;
Pru-E2;jar8;run2;day17;Alkalinity_preT7_5[1]_12_08_19-12_02_06.csv;2,607900132;-0,02252079898710;1062,974243;25,99333333;35,5;;;
Pru-A1;jar9;run2;day17;Alkalinity_preT7_5[1]_12_08_19-12_08_27.csv;2,573598186;0,01178114716444;1062,974243;25,99333333;35,5;;;
control;jar10;run2;day17;Alkalinity_preT7_5[1]_12_08_19-12_15_11.csv;2,585379333;;1062,974243;25,99333333;35,5;;;
Spi-A2;jar1;run3;day17;Alkalinity_preT7_5[1]_12_08_19-13_08_05.csv;2,521659481;0,03817545789737;1062,974243;25,99333333;35,5;;;
Spi-B2;jar2;run3;day17;Alkalinity_preT7_5[1]_12_08_19-13_19_38.csv;2,51141432;0,04842061908680;1062,974243;25,99333333;35,5;;;
Spi-D2;jar3;run3;day17;Alkalinity_preT7_5[1]_12_08_19-13_26_25.csv;2,530797938;0,02903700163352;1062,974243;25,99333333;35,5;;;
Mdi-C3;jar4;run3;day17;Alkalinity_preT7_5[1]_12_08_19-13_33_14.csv;2,542665538;0,01716940152901;1062,974243;25,99333333;35,5;;;
Mdi-A3;jar5;run3;day17;Alkalinity_preT7_5[1]_12_08_19-13_40_12.csv;2,652412112;-0,09257717251065;1062,974243;25,99333333;35,5;;;
Mdi-D3;jar6;run3;day17;Alkalinity_preT7_5[1]_12_08_19-13_47_09.csv;2,541426115;0,01840882410726;1062,974243;25,99333333;35,5;;;
Pru-D3;jar7;run3;day17;Alkalinity_preT7_5[1]_12_08_19-13_54_09.csv;2,556095328;0,00373961108167;1062,974243;25,99333333;35,5;;;
Pru-E3;jar8;run3;day17;Alkalinity_preT7_5[1]_12_08_19-14_01_13.csv;2,566961219;-0,00712627959613;1062,974243;25,99333333;35,5;;;
Pru-A3;jar9;run3;day17;Alkalinity_preT7_5[1]_12_08_19-14_11_14.csv;2,55363026;0,00620467884054;1062,974243;25,99333333;35,5;;;
control;jar10;run3;day17;Alkalinity_preT7_5[1]_12_08_19-14_17_35.csv;2,559834939;;1062,974243;25,99333333;35,5;;;
