assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Pda_A1;jar1;run1;day2;Alkalinity_preT7_5[1]_23_07_19-10_11_38.csv;2,553458662;0,00259025992890;1061,878531;26,43666667;34,2;;;
Pda_B1;jar2;run1;day2;Alkalinity_preT7_5[1]_23_07_19-10_18_13.csv;2,550300375;0,00586012751330;1061,878531;26,43666667;34,2;;;
Pda_D1;jar3;run1;day2;Alkalinity_preT7_5[1]_23_07_19-10_26_09.csv;2,565951491;-0,01031979799362;1061,878531;26,43666667;34,2;;;
Acy_B1;jar4;run1;day2;Alkalinity_preT7_5[1]_23_07_19-10_32_16.csv;2,557663603;-0,00187646694213;1061,878531;26,43666667;34,2;;;
Acy_D1;jar5;run1;day2;Alkalinity_preT7_5[1]_23_07_19-10_41_51.csv;2,56294448;-0,00733070347376;1061,878531;26,43666667;34,2;;;
Acy_A1;jar6;run1;day2;Alkalinity_preT7_5[1]_23_07_19-10_48_58.csv;2,565855491;-0,01034431147374;1061,878531;26,43666667;34,2;;;
Pcy_B1;jar7;run1;day2;Alkalinity_preT7_5[1]_23_07_19-10_55_02.csv;2,55118916;0,00480928115111;1061,878531;26,43666667;34,2;;;
Pcy_C1;jar8;run1;day2;Alkalinity_preT7_5[1]_23_07_19-11_02_27.csv;2,554579117;0,00133744556704;1061,878531;26,43666667;34,2;;;
Pcy_A1;jar9;run1;day2;Alkalinity_preT7_5[1]_23_07_19-11_09_03.csv;2,560471598;-0,00477451200856;1061,878531;26,43666667;34,2;;;
control;jar10;run1;day2;Alkalinity_preT7_5[1]_23_07_19-11_15_06.csv;2,555843053;;1061,878531;26,43666667;34,2;;;
Pda_A2;jar1;run2;day2;Alkalinity_preT7_5[1]_23_07_19-12_30_37.csv;2,540580804;0,01132482720746;1061,878531;26,43666667;34,2;;;
Pda_B2;jar2;run2;day2;Alkalinity_preT7_5[1]_23_07_19-12_37_39.csv;2,517410536;0,03529056515866;1061,878531;26,43666667;34,2;;;
Pda_D2;jar3;run2;day2;Alkalinity_preT7_5[1]_23_07_19-12_44_08.csv;2,552392402;-0,00076085334864;1061,878531;26,43666667;34,2;;;
Acy_B3;jar4;run2;day2;Alkalinity_preT7_5[1]_23_07_19-12_52_39.csv;2,555517239;-0,00399125313630;1061,878531;26,43666667;34,2;;;
Acy_D2;jar5;run2;day2;Alkalinity_preT7_5[1]_23_07_19-12_58_56.csv;2,547913151;0,00373364092510;1061,878531;26,43666667;34,2;;;
Acy_A2;jar6;run2;day2;Alkalinity_preT7_5[1]_23_07_19-13_11_25.csv;2,5525497;-0,00106672554900;1061,878531;26,43666667;34,2;;;
Pcy_B2;jar7;run2;day2;Alkalinity_preT7_5[1]_23_07_19-13_16_52.csv;2,533578888;0,01855813871306;1061,878531;26,43666667;34,2;;;
Pcy_C3;jar8;run2;day2;Alkalinity_preT7_5[1]_23_07_19-13_22_24.csv;2,553320296;-0,00184173435767;1061,878531;26,43666667;34,2;;;
Pcy_A2;jar9;run2;day2;Alkalinity_preT7_5[1]_23_07_19-13_28_25.csv;2,537533981;0,01447670295797;1061,878531;26,43666667;34,2;;;
control;jar10;run2;day2;Alkalinity_preT7_5[1]_23_07_19-13_34_44.csv;2,551520087;;1061,878531;26,43666667;34,2;;;
Pda_A4;jar1;run3;day2;Alkalinity_preT7_5[1]_23_07_19-14_35_55.csv;2,526599719;0,00596482647797;1061,878531;26,43666667;34,2;;;
Pda_B4;jar2;run3;day2;Alkalinity_preT7_5[1]_23_07_19-14_43_38.csv;2,508890247;0,02429013003126;1061,878531;26,43666667;34,2;;;
Pda_D4;jar3;run3;day2;Alkalinity_preT7_5[1]_23_07_19-14_49_30.csv;2,530735875;0,00169597749591;1061,878531;26,43666667;34,2;;;
Acy_B4;jar4;run3;day2;Alkalinity_preT7_5[1]_23_07_19-14_55_38.csv;2,526265215;0,00630925239377;1061,878531;26,43666667;34,2;;;
Acy_D3;jar5;run3;day2;Alkalinity_preT7_5[1]_23_07_19-15_01_36.csv;2,539398569;-0,00725801804516;1061,878531;26,43666667;34,2;;;
Acy_A3;jar6;run3;day2;Alkalinity_preT7_5[1]_23_07_19-15_08_17.csv;2,530068846;0,00238095369728;1061,878531;26,43666667;34,2;;;
Pcy_B4;jar7;run3;day2;Alkalinity_preT7_5[1]_23_07_19-15_17_12.csv;2,566456871;-0,03508553723464;1061,878531;26,43666667;34,2;;;
Pcy_C4;jar8;run3;day2;Alkalinity_preT7_5[1]_23_07_19-15_23_31.csv;2,520474281;0,01228677508282;1061,878531;26,43666667;34,2;;;
Pcy_A4;jar9;run3;day2;Alkalinity_preT7_5[1]_23_07_19-15_29_16.csv;2,535475688;-0,00320285113603;1061,878531;26,43666667;34,2;;;
control;jar10;run3;day2;Alkalinity_preT7_5[1]_23_07_19-15_35_15.csv;2,532352607;;1061,878531;26,43666667;34,2;;;
