assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Pve-F1 | Pve-A1 | Pve-B1;jar1;run1;day5;Alkalinity_preT7_5[1]_29_07_19-10_07_29.csv;2,467781169;0,12355378906632;1062,424188;26,49;35,0;;;
Pda-A1 | Pda-B1 | Pda-D1;jar2;run1;day5;Alkalinity_preT7_5[1]_29_07_19-10_22_08.csv;2,579292865;0,01204209287270;1062,424188;26,49;35,0;;;
Spi-A2 |  Spi-B2 |  Spi-D2;jar3;run1;day5;Alkalinity_preT7_5[1]_29_07_19-10_31_11.csv;2,5097088;0,08162615803324;1062,424188;26,49;35,0;;;
Amu-D1 | Amu-B1 | Amu-A1;jar4;run1;day5;Alkalinity_preT7_5[1]_29_07_19-10_38_12.csv;2,56768398;0,02365097765192;1062,424188;26,49;35,0;;;
Acy-B1 | Acy-D1 | Acy-A1;jar5;run1;day5;Probe5;NA;NA;1062,424188;26,49;35,0;;;
Mdi-C1 | Mdi-A1 | Mdi-D1;jar6;run1;day5;Alkalinity_preT7_5[1]_29_07_19-10_53_48.csv;2,543572329;0,04776262919976;1062,424188;26,49;35,0;;;
Plo-B1 |    Plo-C1 |   Plo-D1;jar7;run1;day5;Alkalinity_preT7_5[1]_29_07_19-11_02_18.csv;2,557912081;0,03342287668095;1062,424188;26,49;35,0;;;
Pcy-B1 | Pcy-C1 | Pcy-A1;jar8;run1;day5;Alkalinity_preT7_5[1]_29_07_19-11_09_22.csv;2,558358772;0,03297618623414;1062,424188;26,49;35,0;;;
Pru-D1 | Pru-E2 | Pru-A1;jar9;run1;day5;Alkalinity_preT7_5[1]_29_07_19-11_18_04.csv;2,587761269;0,00357368893091;1062,424188;26,49;35,0;;;
control;jar10;run1;day5;Alkalinity_preT7_5[1]_29_07_19-11_24_55.csv;2,591334958;;1062,424188;26,49;35,0;;;
Pve-F3 | Pve-A2 | Pve-B3;jar1;run2;day5;Alkalinity_preT7_5[1]_29_07_19-12_39_10.csv;2,447271582;0,11484680087161;1062,424188;26,49;35,0;;;
Pda-A2 | Pda-B2 | Pda-D2;jar2;run2;day5;Alkalinity_preT7_5[1]_29_07_19-12_46_15.csv;2,527856412;0,03426197093728;1062,424188;26,49;35,0;;;
Spi-B1  | Spi-B2  | Spi-B3;jar3;run2;day5;Alkalinity_preT7_5[1]_29_07_19-12_53_30.csv;2,473029699;0,08908868375543;1062,424188;26,49;35,0;;;
Amu-D2 | Amu-B2 | Amu-A2;jar4;run2;day5;Alkalinity_preT7_5[1]_29_07_19-13_01_35.csv;2,545271403;0,01684698004416;1062,424188;26,49;35,0;;;
Acy-B3 | Acy-D2 | Acy-A2;jar5;run2;day5;Alkalinity_preT7_5[1]_29_07_19-13_08_27.csv;2,563225991;-0,00110760829055;1062,424188;26,49;35,0;;;
Mdi-C3 | Mdi-A3 | Mdi-D3;jar6;run2;day5;Alkalinity_preT7_5[1]_29_07_19-13_15_30.csv;2,504897721;0,05722066198431;1062,424188;26,49;35,0;;;
Plo-B2 |  Plo-C2 |   Plo-D2;jar7;run2;day5;Alkalinity_preT7_5[1]_29_07_19-13_21_55.csv;2,529034776;0,03308360640122;1062,424188;26,49;35,0;;;
Pcy-B2 | Pcy-C3 | Pcy-A2;jar8;run2;day5;Alkalinity_preT7_5[1]_29_07_19-13_28_15.csv;2,523271707;0,03884667525569;1062,424188;26,49;35,0;;;
Pru-D3 | Pru-E3 | Pru-A3;jar9;run2;day5;Alkalinity_preT7_5[1]_29_07_19-13_36_05.csv;2,52796219;0,03415619303749;1062,424188;26,49;35,0;;;
control;jar10;run2;day5;Alkalinity_preT7_5[1]_29_07_19-13_42_56.csv;2,562118383;;1062,424188;26,49;35,0;;;
Pve-F4 | Pve-A4 |Pve-B4;jar1;run3;day5;Alkalinity_preT7_5[1]_29_07_19-14_53_59.csv;2,420118373;0,11231739880600;1062,424188;26,49;35,0;;;
Pda-A4 | Pda-B4 | Pda-D4;jar2;run3;day5;Alkalinity_preT7_5[1]_29_07_19-15_03_00.csv;2,501528008;0,03090776327184;1062,424188;26,49;35,0;;;
Spi-A4 |  Spi-B3 |  Spi-D4;jar3;run3;day5;Alkalinity_preT7_5[1]_29_07_19-15_13_10.csv;2,435489771;0,09694600076456;1062,424188;26,49;35,0;;;
Amu-D3 | Amu-B4 | Amu-A3;jar4;run3;day5;Alkalinity_preT7_5[1]_29_07_19-15_20_22.csv;2,510298841;0,02213693049646;1062,424188;26,49;35,0;;;
Acy-B4 | Acy-D3 | Acy-A3;jar5;run3;day5;Alkalinity_preT7_5[1]_29_07_19-15_26_56.csv;2,541022272;-0,00858650103103;1062,424188;26,49;35,0;;;
Mdi-C4 | Mdi-A4 | Mdi-D4;jar6;run3;day5;Alkalinity_preT7_5[1]_29_07_19-15_33_21.csv;2,472316828;0,06011894362134;1062,424188;26,49;35,0;;;
Plo-B3 |  Plo-C3 |   Plo-D3;jar7;run3;day5;Alkalinity_preT7_5[1]_29_07_19-15_39_33.csv;2,509656215;0,02277955613565;1062,424188;26,49;35,0;;;
Pcy-B4 | Pcy-C4 | Pcy-A4;jar8;run3;day5;Alkalinity_preT7_5[1]_29_07_19-15_46_45.csv;2,54043038;-0,00799460855826;1062,424188;26,49;35,0;;;
Pru-D4 | Pru-E4 | Pru-A4;jar9;run3;day5;Alkalinity_preT7_5[1]_29_07_19-15_54_12.csv;2,51384646;0,01858931178530;1062,424188;26,49;35,0;;;
control;jar10;run3;day5;Alkalinity_preT7_5[1]_29_07_19-16_00_55.csv;2,532435771;;1062,424188;26,49;35,0;;;
