assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Pve-F3;jar1;run1;day10;Alkalinity_preT7_5[1]_03_08_19-10_02_00.csv;2,581919248;0,05253712787261;1063,007141;26,09;35,6;;;
Pve-A2;jar2;run1;day10;Alkalinity_preT7_5[1]_03_08_19-10_10_43.csv;2,58745621;0,04700016599738;1063,007141;26,09;35,6;;;
Pve-B3;jar3;run1;day10;Alkalinity_preT7_5[1]_03_08_19-10_17_52.csv;2,592710469;0,04174590733799;1063,007141;26,09;35,6;;;
Amu-D2;jar4;run1;day10;Alkalinity_preT7_5[1]_03_08_19-10_24_59.csv;2,617834682;0,01662169432567;1063,007141;26,09;35,6;;;
Amu-B2;jar5;run1;day10;Alkalinity_preT7_5[1]_03_08_19-10_31_39.csv;2,62970979;0,00474658632005;1063,007141;26,09;35,6;;;
Amu-A2;jar6;run1;day10;Alkalinity_preT7_5[1]_03_08_19-10_38_03.csv;2,617507484;0,01694889214576;1063,007141;26,09;35,6;;;
Plo-B2;jar7;run1;day10;Alkalinity_preT7_5[1]_03_08_19-10_45_05.csv;2,608696443;0,02575993301918;1063,007141;26,09;35,6;;;
Plo-C2;jar8;run1;day10;Alkalinity_preT7_5[1]_03_08_19-10_51_55.csv;2,611476991;0,02297938505092;1063,007141;26,09;35,6;;;
Plo-D2;jar9;run1;day10;Alkalinity_preT7_5[1]_03_08_19-10_58_13.csv;2,621287665;0,01316871067683;1063,007141;26,09;35,6;;;
control;jar10;run1;day10;Alkalinity_preT7_5[1]_03_08_19-11_04_37.csv;2,634456376;;1063,007141;26,09;35,6;;;
Pve-F4;jar1;run2;day10;Alkalinity_preT7_5[1]_03_08_19-11_59_19.csv;2,568912873;0,02316271418481;1063,007141;26,09;35,6;;;
Pve-A4;jar2;run2;day10;Alkalinity_preT7_5[1]_03_08_19-12_06_28.csv;2,553573271;0,03850231627381;1063,007141;26,09;35,6;;;
Pve-B4;jar3;run2;day10;Alkalinity_preT7_5[1]_03_08_19-12_14_20.csv;2,560184505;0,03189108218048;1063,007141;26,09;35,6;;;
Amu-D3;jar4;run2;day10;Alkalinity_preT7_5[1]_03_08_19-12_23_33.csv;2,584216111;0,00785947575983;1063,007141;26,09;35,6;;;
Amu-B4;jar5;run2;day10;Alkalinity_preT7_5[1]_03_08_19-12_30_04.csv;2,598406319;-0,00633073190585;1063,007141;26,09;35,6;;;
Amu-A3;jar6;run2;day10;Alkalinity_preT7_5[1]_03_08_19-12_36_12.csv;2,588443283;0,00363230420646;1063,007141;26,09;35,6;;;
Plo-B3;jar7;run2;day10;Alkalinity_preT7_5[1]_03_08_19-12_42_50.csv;2,592246978;-0,00017139126302;1063,007141;26,09;35,6;;;
Plo-C3;jar8;run2;day10;Alkalinity_preT7_5[1]_03_08_19-12_49_03.csv;2,593074244;-0,00099865737945;1063,007141;26,09;35,6;;;
Plo-D3;jar9;run2;day10;Alkalinity_preT7_5[1]_03_08_19-12_55_38.csv;2,597285054;-0,00520946700259;1063,007141;26,09;35,6;;;
control;jar10;run2;day10;Alkalinity_preT7_5[1]_03_08_19-13_02_20.csv;2,592075587;;1063,007141;26,09;35,6;;;
Pve-F1;jar1;run3;day10;Alkalinity_preT7_5[1]_03_08_19-13_55_53.csv;2,516290747;0,05454641610190;1063,007141;26,09;35,6;;;
Pve-A1;jar2;run3;day10;Alkalinity_preT7_5[1]_03_08_19-14_05_14.csv;2,519054995;0,05178216809584;1063,007141;26,09;35,6;;;
Pve-B1;jar3;run3;day10;Alkalinity_preT7_5[1]_03_08_19-14_12_49.csv;2,516888831;0,05394833242562;1063,007141;26,09;35,6;;;
Amu-D1;jar4;run3;day10;Alkalinity_preT7_5[1]_03_08_19-14_19_11.csv;2,556669503;0,01416766029955;1063,007141;26,09;35,6;;;
Amu-B1;jar5;run3;day10;Alkalinity_preT7_5[1]_03_08_19-14_26_16.csv;2,55947317;0,01136399337490;1063,007141;26,09;35,6;;;
Amu-A1;jar6;run3;day10;Alkalinity_preT7_5[1]_03_08_19-14_33_02.csv;2,556019909;0,01481725408629;1063,007141;26,09;35,6;;;
Plo-B1;jar7;run3;day10;Alkalinity_preT7_5[1]_03_08_19-14_39_45.csv;2,552187738;0,01864942470410;1063,007141;26,09;35,6;;;
Plo-C1;jar8;run3;day10;Alkalinity_preT7_5[1]_03_08_19-14_47_02.csv;2,543130791;0,02770637255758;1063,007141;26,09;35,6;;;
Plo-D1;jar9;run3;day10;Alkalinity_preT7_5[1]_03_08_19-14_54_39.csv;2,550287481;0,02054968193295;1063,007141;26,09;35,6;;;
control;jar10;run3;day10;Alkalinity_preT7_5[1]_03_08_19-15_03_03.csv;2,570837163;;1063,007141;26,09;35,6;;;
