assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Pve-F1 | Amu-D1 | Plo-B1;jar1;run1;day7;Alkalinity_preT7_5[1]_31_07_19-10_27_53.csv;2,566480648;0,05179760597101;1062,748504;26,20666667;35,3;;;
Pve-A1 | Amu-B1 | Plo-C1;jar2;run1;day7;Alkalinity_preT7_5[1]_31_07_19-10_36_50.csv;2,585344667;0,03293358771461;1062,748504;26,20666667;35,3;;;
Pve-B1 | Amu-A1 | Plo-D1;jar3;run1;day7;Alkalinity_preT7_5[1]_31_07_19-10_44_07.csv;2,578317924;0,03996033034138;1062,748504;26,20666667;35,3;;;
Pda-A1 | Acy-B1 | Pcy-B1;jar4;run1;day7;Alkalinity_preT7_5[1]_31_07_19-10_50_39.csv;2,608292987;0,00998526762890;1062,748504;26,20666667;35,3;;;
Pda-B1 | Acy-D1 | Pcy-C1;jar5;run1;day7;Alkalinity_preT7_5[1]_31_07_19-10_57_43.csv;2,598510001;0,01976825309591;1062,748504;26,20666667;35,3;;;
Pda-D1 | Acy-A1 | Pcy-A1;jar6;run1;day7;Alkalinity_preT7_5[1]_31_07_19-11_06_06.csv;2,597806766;0,02047148794650;1062,748504;26,20666667;35,3;;;
Spi-A1 | Mdi-C1 | Pru-D1;jar7;run1;day7;Alkalinity_preT7_5[1]_31_07_19-11_13_47.csv;2,577045568;0,04123268653494;1062,748504;26,20666667;35,3;;;
Spi-B1 | Mdi-A1 | Pru-E2;jar8;run1;day7;Alkalinity_preT7_5[1]_31_07_19-11_21_28.csv;2,543874337;0,07440391707544;1062,748504;26,20666667;35,3;;;
Spi-D1 | Mdi-D1 | Pru-A1;jar9;run1;day7;Alkalinity_preT7_5[1]_31_07_19-11_27_50.csv;2,580892406;0,03738584882234;1062,748504;26,20666667;35,3;;;
control;jar10;run1;day7;Alkalinity_preT7_5[1]_31_07_19-11_34_34.csv;2,618278254;;1062,748504;26,20666667;35,3;;;
Pve-F3 | Amu-D2 | Plo-B2;jar1;run2;day7;Alkalinity_preT7_5[1]_31_07_19-12_38_24.csv;2,540318438;0,07293769625950;1062,748504;26,20666667;35,3;;;
Pve-A2 | Amu-B2 | Plo-C2;jar2;run2;day7;Alkalinity_preT7_5[1]_31_07_19-12_46_18.csv;2,543601821;0,06965431293114;1062,748504;26,20666667;35,3;;;
Pve-B3 | Amu-A2 | Plo-D2;jar3;run2;day7;Alkalinity_preT7_5[1]_31_07_19-12_53_09.csv;2,549010938;0,06424519623242;1062,748504;26,20666667;35,3;;;
Pda-A2 | Acy-B3 | Pcy-B2;jar4;run2;day7;Alkalinity_preT7_5[1]_31_07_19-13_00_58.csv;2,586635839;0,02662029525260;1062,748504;26,20666667;35,3;;;
Pda-B2 | Acy-D2 | Pcy-C3;jar5;run2;day7;Alkalinity_preT7_5[1]_31_07_19-13_10_28.csv;2,574039736;0,03921639863376;1062,748504;26,20666667;35,3;;;
Pda-D2 | Acy-A2| Pcy-A2;jar6;run2;day7;Alkalinity_preT7_5[1]_31_07_19-13_17_47.csv;2,584139726;0,02911640840524;1062,748504;26,20666667;35,3;;;
Spi-A2 | Mdi-C3 | Pru-D3;jar7;run2;day7;Alkalinity_preT7_5[1]_31_07_19-13_25_21.csv;2,555767159;0,05748897482020;1062,748504;26,20666667;35,3;;;
Spi-B2 | Mdi-A3 | Pru-E3;jar8;run2;day7;Alkalinity_preT7_5[1]_31_07_19-13_33_24.csv;2,541798636;0,07145749847225;1062,748504;26,20666667;35,3;;;
Spi-D2 | Mdi-D3 | Pru-A3;jar9;run2;day7;Alkalinity_preT7_5[1]_31_07_19-13_39_58.csv;2,544489855;0,06876627911551;1062,748504;26,20666667;35,3;;;
control;jar10;run2;day7;Alkalinity_preT7_5[1]_31_07_19-13_47_21.csv;2,613256134;;1062,748504;26,20666667;35,3;;;
Pve-F4 | Amu-D3 | Plo-B3;jar1;run3;day7;Alkalinity_preT7_5[1]_31_07_19-14_48_47.csv;2,535175823;0,05657791108591;1062,748504;26,20666667;35,3;;;
Pve-A4 | Amu-B4 | Plo-C3;jar2;run3;day7;Alkalinity_preT7_5[1]_31_07_19-14_58_31.csv;2,534314486;0,05743924773332;1062,748504;26,20666667;35,3;;;
Pve-B4 | Amu-A3 | Plo-D3;jar3;run3;day7;Alkalinity_preT7_5[1]_31_07_19-15_04_57.csv;2,538579328;0,05317440613358;1062,748504;26,20666667;35,3;;;
Pda-A4 | Acy-B4 | Pcy-B4;jar4;run3;day7;Alkalinity_preT7_5[1]_31_07_19-15_11_15.csv;2,582480504;0,00927323005032;1062,748504;26,20666667;35,3;;;
