assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Pda-A4;jar1;run1;day16;Alkalinity_preT7_5[1]_10_08_19-09_38_56.csv;2,600545641;0,00193948902848;1062,878594;26,05625;35,4;;;
Pda-B4;jar2;run1;day16;Alkalinity_preT7_5[1]_10_08_19-09_52_30.csv;2,582743718;0,01974141223024;1062,878594;26,05625;35,4;;;
Pda-D4;jar3;run1;day16;Alkalinity_preT7_5[1]_10_08_19-09_59_46.csv;2,599431672;0,00305345858377;1062,878594;26,05625;35,4;;;
Acy-B4;jar4;run1;day16;Alkalinity_preT7_5[1]_10_08_19-10_06_47.csv;2,58862106;0,01386407043211;1062,878594;26,05625;35,4;;;
Acy-D3;jar5;run1;day16;Alkalinity_preT7_5[1]_10_08_19-10_13_56.csv;2,603974423;-0,00148929299359;1062,878594;26,05625;35,4;;;
Acy-A3;jar6;run1;day16;Alkalinity_preT7_5[1]_10_08_19-10_20_17.csv;2,588603922;0,01388120833282;1062,878594;26,05625;35,4;;;
Pcy-B4;jar7;run1;day16;Alkalinity_preT7_5[1]_10_08_19-10_27_10.csv;2,589428189;0,01305694161287;1062,878594;26,05625;35,4;;;
Pcy-C4;jar8;run1;day16;Alkalinity_preT7_5[1]_10_08_19-10_33_40.csv;2,593076327;0,00940880278026;1062,878594;26,05625;35,4;;;
Pcy-A4;jar9;run1;day16;Alkalinity_preT7_5[1]_10_08_19-10_40_09.csv;2,586117976;0,01636715425805;1062,878594;26,05625;35,4;;;
control;jar10;run1;day16;Alkalinity_preT7_5[1]_10_08_19-10_46_38.csv;2,60248513;;1062,878594;26,05625;35,4;;;
Pda-D2;jar11;run1;day16;Alkalinity_preT7_5[1]_10_08_19-10_54_29.csv;2,589199001;0,01328612886242;1062,878594;26,05625;35,4;;;
Pda-A1;jar1;run2;day16;Alkalinity_preT7_5[1]_10_08_19-11_31_04.csv;2,567660639;0,00327287550093;1062,878594;26,05625;35,4;;;
Pda-B1;jar2;run2;day16;Alkalinity_preT7_5[1]_10_08_19-11_38_50.csv;2,553576996;0,01735651852189;1062,878594;26,05625;35,4;;;
Pda-D1;jar3;run2;day16;Alkalinity_preT7_5[1]_10_08_19-11_45_27.csv;2,57270691;-0,00177339551762;1062,878594;26,05625;35,4;;;
Acy-B1;jar4;run2;day16;Alkalinity_preT7_5[1]_10_08_19-11_52_33.csv;2,578882069;-0,00794855414432;1062,878594;26,05625;35,4;;;
Acy-D1;jar5;run2;day16;Alkalinity_preT7_5[1]_10_08_19-11_59_42.csv;2,579105425;-0,00817191019837;1062,878594;26,05625;35,4;;;
Acy-A1;jar6;run2;day16;Alkalinity_preT7_5[1]_10_08_19-12_06_51.csv;2,57957691;-0,00864339473696;1062,878594;26,05625;35,4;;;
Pcy-B1;jar7;run2;day16;Alkalinity_preT7_5[1]_10_08_19-12_13_38.csv;2,563275036;0,00765847895573;1062,878594;26,05625;35,4;;;
Pcy-C1;jar8;run2;day16;Alkalinity_preT7_5[1]_10_08_19-12_20_30.csv;2,567243081;0,00369043425137;1062,878594;26,05625;35,4;;;
Pcy-A1;jar9;run2;day16;Alkalinity_preT7_5[1]_10_08_19-12_26_44.csv;2,574023868;-0,00309035350147;1062,878594;26,05625;35,4;;;
control;jar10;run2;day16;Alkalinity_preT7_5[1]_10_08_19-12_33_13.csv;2,570933515;;1062,878594;26,05625;35,4;;;
Plo-B1;jar11;run2;day16;Alkalinity_preT7_5[1]_10_08_19-12_40_04.csv;2,571228075;-0,00029456034207;1062,878594;26,05625;35,4;;;
Pda-A2;jar1;run3;day16;Alkalinity_preT7_5[1]_10_08_19-13_25_46.csv;2,544715509;0,01168011066462;1062,878594;26,05625;35,4;;;
Pda-B2;jar2;run3;day16;Alkalinity_preT7_5[1]_10_08_19-13_34_06.csv;2,521763946;0,03463167359867;1062,878594;26,05625;35,4;;;
Pda-D2;jar3;run3;day16;Alkalinity_preT7_5[1]_10_08_19-13_40_04.csv;2,539419788;0,01697583169727;1062,878594;26,05625;35,4;;;
Acy-B3;jar4;run3;day16;Alkalinity_preT7_5[1]_10_08_19-13_46_20.csv;2,551087785;0,00530783509501;1062,878594;26,05625;35,4;;;
Acy-D2;jar5;run3;day16;Alkalinity_preT7_5[1]_10_08_19-13_53_00.csv;2,562024174;-0,00562855438887;1062,878594;26,05625;35,4;;;
Acy-A2;jar6;run3;day16;Alkalinity_preT7_5[1]_10_08_19-13_59_10.csv;2,557441961;-0,00104634144325;1062,878594;26,05625;35,4;;;
Pcy-B2;jar7;run3;day16;Alkalinity_preT7_5[1]_10_08_19-14_05_03.csv;2,548062498;0,00833312217069;1062,878594;26,05625;35,4;;;
Pcy-C3;jar8;run3;day16;Alkalinity_preT7_5[1]_10_08_19-14_11_48.csv;2,547596586;0,00879903419212;1062,878594;26,05625;35,4;;;
Pcy-A2;jar9;run3;day16;Alkalinity_preT7_5[1]_10_08_19-14_19_24.csv;2,541497119;0,01489850061129;1062,878594;26,05625;35,4;;;
control;jar10;run3;day16;Alkalinity_preT7_5[1]_10_08_19-14_26_07.csv;2,55639562;;1062,878594;26,05625;35,4;;;
