assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Pve-F4;jar1;run1;day15;Alkalinity_preT7_5[1]_09_08_19-09_25_01.csv;2,547811762;0,02770745026335;1062,996645;26,11666667;35,6;;;
Pve-A4;jar2;run1;day15;Alkalinity_preT7_5[1]_09_08_19-09_39_02.csv;2,543179885;0,03233932796414;1062,996645;26,11666667;35,6;;;
Pve-B4;jar3;run1;day15;Alkalinity_preT7_5[1]_09_08_19-09_46_15.csv;2,555197823;0,02032138960666;1062,996645;26,11666667;35,6;;;
Amu-D3;jar4;run1;day15;Alkalinity_preT7_5[1]_09_08_19-09_53_38.csv;2,585470799;-0,00995158624017;1062,996645;26,11666667;35,6;;;
Amu-B4;jar5;run1;day15;Alkalinity_preT7_5[1]_09_08_19-10_01_01.csv;2,582753263;-0,00723405018800;1062,996645;26,11666667;35,6;;;
Amu-A3;jar6;run1;day15;Alkalinity_preT7_5[1]_09_08_19-10_13_24.csv;2,569128696;0,00639051680833;1062,996645;26,11666667;35,6;;;
Plo-B3;jar7;run1;day15;Alkalinity_preT7_5[1]_09_08_19-10_19_38.csv;2,567923662;0,00759555109746;1062,996645;26,11666667;35,6;;;
Plo-C3;jar8;run1;day15;Alkalinity_preT7_5[1]_09_08_19-10_26_28.csv;2,574604057;0,00091515555129;1062,996645;26,11666667;35,6;;;
Plo-D3;jar9;run1;day15;Alkalinity_preT7_5[1]_09_08_19-10_32_58.csv;2,58564086;-0,01012164732487;1062,996645;26,11666667;35,6;;;
control;jar10;run1;day15;Alkalinity_preT7_5[1]_09_08_19-10_41_11.csv;2,575519213;;1062,996645;26,11666667;35,6;;;
Pve-F1;jar1;run2;day15;Alkalinity_preT7_5[1]_09_08_19-11_21_22.csv;2,522350079;0,05069581119584;1062,996645;26,11666667;35,6;;;
Pve-A1;jar2;run2;day15;Alkalinity_preT7_5[1]_09_08_19-11_32_58.csv;2,527035662;0,04601022850548;1062,996645;26,11666667;35,6;;;
Pve-B1;jar3;run2;day15;Alkalinity_preT7_5[1]_09_08_19-11_40_58.csv;2,522989201;0,05005668955966;1062,996645;26,11666667;35,6;;;
Amu-D1;jar4;run2;day15;Alkalinity_preT7_5[1]_09_08_19-11_47_32.csv;2,570554885;0,00249100547317;1062,996645;26,11666667;35,6;;;
Amu-B1;jar5;run2;day15;Alkalinity_preT7_5[1]_09_08_19-11_53_51.csv;2,564000245;0,00904564524918;1062,996645;26,11666667;35,6;;;
Amu-A1;jar6;run2;day15;Alkalinity_preT7_5[1]_09_08_19-12_01_29.csv;2,574091186;-0,00104529512528;1062,996645;26,11666667;35,6;;;
Plo-B1;jar7;run2;day15;Probe17;NA;NA;1062,996645;26,11666667;35,6;;;
Plo-C1;jar8;run2;day15;Alkalinity_preT7_5[1]_09_08_19-12_44_27.csv;2,556990347;0,01605554359083;1062,996645;26,11666667;35,6;;;
Plo-D1;jar9;run2;day15;Alkalinity_preT7_5[1]_09_08_19-12_56_34.csv;2,566142002;0,00690388854408;1062,996645;26,11666667;35,6;;;
control;jar10;run2;day15;Alkalinity_preT7_5[1]_09_08_19-13_04_22.csv;2,573045891;;1062,996645;26,11666667;35,6;;;
Pve-F3;jar1;run3;day15;Alkalinity_preT7_5[1]_09_08_19-13_33_43.csv;2,497494181;0,05329061633169;1062,996645;26,11666667;35,6;;;
Pve-A2;jar2;run3;day15;Alkalinity_preT7_5[1]_09_08_19-13_40_45.csv;2,512871041;0,03791375673108;1062,996645;26,11666667;35,6;;;
Pve-B3;jar3;run3;day15;Alkalinity_preT7_5[1]_09_08_19-13_47_39.csv;2,527804586;0,02298021102116;1062,996645;26,11666667;35,6;;;
Amu-D2;jar4;run3;day15;Alkalinity_preT7_5[1]_09_08_19-13_55_11.csv;2,550053836;0,00073096138621;1062,996645;26,11666667;35,6;;;
Amu-B2;jar5;run3;day15;Alkalinity_preT7_5[1]_09_08_19-14_02_13.csv;2,544393097;0,00639170073130;1062,996645;26,11666667;35,6;;;
Amu-A2;jar6;run3;day15;Alkalinity_preT7_5[1]_09_08_19-14_09_05.csv;2,540850757;0,00993403999538;1062,996645;26,11666667;35,6;;;
Plo-B2;jar7;run3;day15;Alkalinity_preT7_5[1]_09_08_19-14_15_12.csv;2,530211847;0,02057295057212;1062,996645;26,11666667;35,6;;;
Plo-C2;jar8;run3;day15;Alkalinity_preT7_5[1]_09_08_19-14_23_05.csv;2,527569602;0,02321519568381;1062,996645;26,11666667;35,6;;;
Plo-D2;jar9;run3;day15;Alkalinity_preT7_5[1]_09_08_19-14_30_06.csv;2,546212492;0,00457230507565;1062,996645;26,11666667;35,6;;;
control;jar10;run3;day15;Alkalinity_preT7_5[1]_09_08_19-14_38_37.csv;2,550784797;;1062,996645;26,11666667;35,6;;;
