assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Pve-F1 | Pve-A2 | Pve-B4;jar1;run1;day14;Alkalinity_preT7_5[1]_08_08_19-09_21_27.csv;2,474337997;0,10253045659033;1063,004517;26,09666667;35,6;;;
Pda-A1 | Pda-B2 | Pda-D4;jar2;run1;day14;Alkalinity_preT7_5[1]_08_08_19-09_30_24.csv;2,548780467;0,02808798648589;1063,004517;26,09666667;35,6;;;
Spi-A1 | Spi-B2 | Spi-D4;jar3;run1;day14;Alkalinity_preT7_5[1]_08_08_19-09_42_00.csv;2,467919885;0,10894856874621;1063,004517;26,09666667;35,6;;;
Amu-D1 | Amu-B2 | Amu-A3;jar4;run1;day14;Alkalinity_preT7_5[1]_08_08_19-09_48_38.csv;2,553174279;0,02369417468016;1063,004517;26,09666667;35,6;;;
Acy-B1 | Acy-D2 | Acy-A3;jar5;run1;day14;Alkalinity_preT7_5[1]_08_08_19-09_55_41.csv;2,579171518;-0,00230306519561;1063,004517;26,09666667;35,6;;;
Mdi-C1 | Mdi-A3 | Mdi-D4;jar6;run1;day14;Alkalinity_preT7_5[1]_08_08_19-10_03_06.csv;2,521271139;0,05559731452414;1063,004517;26,09666667;35,6;;;
Plo-B1 | Plo-C2 | Plo-D3;jar7;run1;day14;Alkalinity_preT7_5[1]_08_08_19-10_09_51.csv;2,551141063;0,02572739077050;1063,004517;26,09666667;35,6;;;
Pcy-B1 | Pcy-C3 | Pcy-A4;jar8;run1;day14;Alkalinity_preT7_5[1]_08_08_19-10_16_18.csv;2,549088916;0,02777953722310;1063,004517;26,09666667;35,6;;;
Pru-D1 | Pru-E3 | Pru-A4;jar9;run1;day14;Alkalinity_preT7_5[1]_08_08_19-10_23_30.csv;2,574114075;0,00275437827095;1063,004517;26,09666667;35,6;;;
control;jar10;run1;day14;Alkalinity_preT7_5[1]_08_08_19-10_31_02.csv;2,576868453;;1063,004517;26,09666667;35,6;;;
Pve-F3 | Pve-A4 | Pve-B1;jar1;run2;day14;Alkalinity_preT7_5[1]_08_08_19-11_32_28.csv;2,452319141;0,12355048335859;1063,004517;26,09666667;35,6;;;
Pda-A2 | Pda-B4 | Pda-D1;jar2;run2;day14;Alkalinity_preT7_5[1]_08_08_19-11_39_28.csv;2,550325924;0,02554370047143;1063,004517;26,09666667;35,6;;;
Spi-A2 | Spi-B3 | Spi-D1;jar3;run2;day14;Alkalinity_preT7_5[1]_08_08_19-11_48_38.csv;2,480298379;0,09557124460609;1063,004517;26,09666667;35,6;;;
Amu-D2 | Amu-B4 | Amu-A1;jar4;run2;day14;Alkalinity_preT7_5[1]_08_08_19-11_55_17.csv;2,555191132;0,02067849199952;1063,004517;26,09666667;35,6;;;
Acy-B3 | Acy-D3 | Acy-A1;jar5;run2;day14;Alkalinity_preT7_5[1]_08_08_19-12_01_32.csv;2,582328325;-0,00645870108214;1063,004517;26,09666667;35,6;;;
Mdi-C3 | Mdi-A4 | Mdi-D1;jar6;run2;day14;Alkalinity_preT7_5[1]_08_08_19-12_08_03.csv;2,49199524;0,08387438402123;1063,004517;26,09666667;35,6;;;
Plo-B2 | Plo-C3 | Plo-D1;jar7;run2;day14;Alkalinity_preT7_5[1]_08_08_19-12_14_15.csv;2,555198907;0,02067071696180;1063,004517;26,09666667;35,6;;;
Pcy-B2 | Pcy-C4 | Pcy-A1;jar8;run2;day14;Alkalinity_preT7_5[1]_08_08_19-12_20_29.csv;2,537618215;0,03825140913497;1063,004517;26,09666667;35,6;;;
Pru-D3 | Pru-E4 | Pru-A1;jar9;run2;day14;Alkalinity_preT7_5[1]_08_08_19-12_26_56.csv;2,549195866;0,02667375825589;1063,004517;26,09666667;35,6;;;
control;jar10;run2;day14;Alkalinity_preT7_5[1]_08_08_19-12_33_34.csv;2,575869624;;1063,004517;26,09666667;35,6;;;
Pve-F4 | Pve-A1 | Pve-B3;jar1;run3;day14;Alkalinity_preT7_5[1]_08_08_19-13_24_30.csv;2,418427643;0,14087792388998;1063,004517;26,09666667;35,6;;;
Pda-A4 | Pda-B1 | Pda-D2;jar2;run3;day14;Alkalinity_preT7_5[1]_08_08_19-13_32_08.csv;2,524102061;0,03520350497652;1063,004517;26,09666667;35,6;;;
Spi-A4 | Spi-B1 | Spi-D2;jar3;run3;day14;Alkalinity_preT7_5[1]_08_08_19-13_40_31.csv;2,414793842;0,14451172471176;1063,004517;26,09666667;35,6;;;
Amu-D3 | Amu-B1 | Amu-A2;jar4;run3;day14;Alkalinity_preT7_5[1]_08_08_19-13_48_23.csv;2,555245283;0,00406028313189;1063,004517;26,09666667;35,6;;;
Acy-B4 | Acy-D1 | Acy-A2;jar5;run3;day14;Alkalinity_preT7_5[1]_08_08_19-13_54_19.csv;2,570775766;-0,01147019961525;1063,004517;26,09666667;35,6;;;
Mdi-C4 | Mdi-A1 | Mdi-D3;jar6;run3;day14;Alkalinity_preT7_5[1]_08_08_19-14_01_13.csv;2,495616988;0,06368857813417;1063,004517;26,09666667;35,6;;;
Plo-B3 | Plo-C1 | Plo-D2;jar7;run3;day14;Alkalinity_preT7_5[1]_08_08_19-14_07_18.csv;2,517558941;0,04174662565243;1063,004517;26,09666667;35,6;;;
