assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Pve-F1 | Mdi-C1 | Pru-D1;jar1;run1;day13;Alkalinity_preT7_5[1]_07_08_19-09_38_56.csv;2,511642415;0,06612635174186;1062,921789;26,30666667;35,6;;;
Pve-A1 | Mdi-A1 | Pru-E2;jar2;run1;day13;Alkalinity_preT7_5[1]_07_08_19-09_51_05.csv;2,524369814;0,05339895232268;1062,921789;26,30666667;35,6;;;
Pve-B1 | Mdi-D1 | Pru-A1;jar3;run1;day13;Alkalinity_preT7_5[1]_07_08_19-09_57_28.csv;2,501861267;0,07590749964129;1062,921789;26,30666667;35,6;;;
Pda-A1 | Amu-D1 | Plo-B1;jar4;run1;day13;Alkalinity_preT7_5[1]_07_08_19-10_05_52.csv;2,561714593;0,01605417324714;1062,921789;26,30666667;35,6;;;
Pda-B1 | Amu-B1 | Plo-C1;jar5;run1;day13;Alkalinity_preT7_5[1]_07_08_19-10_12_27.csv;2,548537154;0,02923161261477;1062,921789;26,30666667;35,6;;;
Pda-D1 | Amu-A1 | Plo-D1;jar6;run1;day13;Alkalinity_preT7_5[1]_07_08_19-10_19_09.csv;2,561568138;0,01620062864449;1062,921789;26,30666667;35,6;;;
Spi-A1 | Acy-B1 | Pcy-B1;jar7;run1;day13;Alkalinity_preT7_5[1]_07_08_19-10_25_43.csv;2,541138056;0,03663071099145;1062,921789;26,30666667;35,6;;;
Spi-B1 | Acy-D1 | Pcy-C1;jar8;run1;day13;Alkalinity_preT7_5[1]_07_08_19-10_31_23.csv;2,531726608;0,04604215919441;1062,921789;26,30666667;35,6;;;
Spi-D1 | Acy-A1 | Pcy-A1;jar9;run1;day13;Alkalinity_preT7_5[1]_07_08_19-10_38_11.csv;2,573819949;0,00394881797618;1062,921789;26,30666667;35,6;;;
control;jar10;run1;day13;Alkalinity_preT7_5[1]_07_08_19-10_46_03.csv;2,577768767;;1062,921789;26,30666667;35,6;;;
Pve-F3 | Mdi-C3 | Pru-D3;jar1;run2;day13;Alkalinity_preT7_5[1]_07_08_19-11_28_51.csv;2,484648417;0,07816722720397;1062,921789;26,30666667;35,6;;;
Pve-A2 | Mdi-A3 | Pru-E3;jar2;run2;day13;Alkalinity_preT7_5[1]_07_08_19-11_40_51.csv;2,496710716;0,06610492749987;1062,921789;26,30666667;35,6;;;
