ml;pH;sec;°C
0.000;7.979;0.0;25.1
7.500;4.299;12.0;25.1
7.500;5.026;21.4;25.0
7.500;5.026;21.4;25.0
7.500;5.027;21.5;25.0
7.545;4.988;22.7;25.0
7.591;4.898;23.8;25.0
7.636;4.865;24.9;25.0
7.682;4.855;26.1;25.0
7.728;4.834;27.2;25.0
7.773;4.774;28.4;25.0
7.819;4.744;29.5;25.0
7.865;4.708;30.7;25.0
7.910;4.690;31.8;25.0
7.956;4.647;32.9;25.0
7.995;4.578;34.1;25.0
7.995;4.620;38.1;25.1
7.995;4.620;38.1;25.1
7.995;4.620;38.3;25.1
8.033;4.564;39.4;25.1
8.053;4.551;45.5;25.0
8.073;4.532;48.2;25.0
8.093;4.512;52.5;25.0
8.113;4.490;55.2;25.0
8.133;4.467;57.9;25.1
8.153;4.439;60.5;25.1
8.173;4.415;63.2;25.0
8.193;4.393;65.8;25.1
8.213;4.374;68.5;25.1
8.233;4.353;71.2;25.1
8.253;4.327;73.8;25.0
8.273;4.307;76.5;25.1
8.293;4.288;79.2;25.1
8.313;4.265;81.8;25.1
8.333;4.242;85.4;25.1
8.353;4.219;88.1;25.0
8.373;4.194;90.8;25.1
8.393;4.176;93.4;25.1
8.413;4.160;96.1;25.1
8.433;4.139;98.7;25.1
8.453;4.121;101.4;25.1
8.473;4.103;104.1;25.1
8.493;4.086;106.7;25.1
8.513;4.070;109.4;25.1
8.533;4.052;112.1;25.1
8.553;4.033;114.7;25.1
8.573;4.017;117.4;25.1
8.593;4.001;120.0;25.1
8.613;3.985;122.7;25.1
8.633;3.971;125.4;25.1
8.653;3.957;128.0;25.1
8.673;3.942;130.7;25.1
8.693;3.930;133.3;25.1
8.713;3.916;136.0;25.1
8.733;3.901;138.7;25.1
8.753;3.887;141.3;25.1
8.773;3.874;144.0;25.1
8.793;3.863;146.7;25.1
8.813;3.851;149.3;25.1
8.833;3.840;152.0;25.1
8.853;3.828;154.6;25.1
8.873;3.818;157.3;25.1
8.893;3.807;160.0;25.1
8.913;3.796;162.6;25.1
8.933;3.784;165.3;25.1
8.953;3.775;167.9;25.1
8.973;3.765;170.6;25.1
8.993;3.754;173.3;25.1
9.013;3.744;175.9;25.1
9.033;3.735;178.6;25.1
9.053;3.726;181.3;25.1
9.073;3.717;183.9;25.1
9.093;3.709;186.6;25.1
9.113;3.699;189.8;25.1
9.133;3.690;192.5;25.1
9.153;3.682;195.1;25.1
9.173;3.674;197.8;25.1
9.193;3.665;200.8;25.1
9.213;3.657;203.5;25.1
9.233;3.650;206.2;25.1
9.253;3.642;208.8;25.1
9.273;3.635;211.5;25.1
9.293;3.628;214.2;25.1
9.313;3.621;216.8;25.1
9.333;3.613;219.5;25.1
9.353;3.605;222.1;25.1
9.373;3.598;224.8;25.1
9.393;3.591;227.5;25.1
9.413;3.584;230.1;25.1
9.433;3.578;232.8;25.1
9.453;3.572;235.5;25.1
9.473;3.565;238.1;25.1
9.493;3.559;240.8;25.1
9.513;3.553;243.4;25.1
9.533;3.546;246.1;25.1
9.553;3.539;248.8;25.1
9.573;3.534;251.4;25.1
9.593;3.528;254.1;25.1
9.613;3.522;256.7;25.1
9.633;3.516;259.4;25.1
9.653;3.511;262.1;25.1
9.673;3.505;264.7;25.1
9.693;3.500;267.4;25.1
9.713;3.495;270.1;25.1
9.733;3.489;272.7;25.2
9.733;3.489;272.9;25.2
