ml;pH;sec;°C
0.000;8.010;0.0;26.0
7.500;5.826;12.0;26.0
7.500;5.780;12.4;26.0
7.544;5.647;13.5;26.0
7.590;5.481;14.7;26.0
7.635;5.363;15.8;26.0
7.681;5.228;17.0;26.0
7.727;5.110;18.1;26.0
7.772;4.974;19.2;26.0
7.818;4.874;20.4;26.0
7.864;4.783;21.5;26.0
7.909;4.746;22.7;26.0
7.955;4.662;23.8;26.0
8.000;4.609;25.0;26.0
8.017;4.574;25.5;26.0
8.017;4.655;31.0;26.0
8.017;4.655;31.1;26.0
8.017;4.656;31.2;26.0
8.059;4.644;32.4;26.0
8.083;4.552;33.1;26.0
8.103;4.562;40.7;26.0
8.123;4.533;43.6;26.0
8.143;4.514;46.4;26.1
8.163;4.489;49.3;26.1
8.183;4.464;52.1;26.1
8.203;4.433;54.8;26.1
8.223;4.422;57.5;26.0
8.243;4.387;60.1;26.0
8.263;4.374;63.0;26.0
8.283;4.346;66.0;26.1
8.303;4.325;68.9;26.0
8.323;4.294;71.5;26.1
8.343;4.271;74.4;26.0
8.363;4.244;77.1;26.1
8.383;4.231;79.9;26.0
8.403;4.208;82.6;26.1
8.423;4.195;85.4;26.0
8.443;4.177;88.5;26.1
8.463;4.160;91.3;26.0
8.483;4.141;94.0;26.1
8.503;4.124;96.8;26.1
8.523;4.105;99.5;26.1
8.543;4.083;102.1;26.1
8.563;4.063;105.0;26.1
8.583;4.053;107.8;26.0
8.603;4.033;110.7;26.1
8.623;4.019;113.6;26.1
8.643;4.004;116.2;26.1
8.663;3.988;119.1;26.1
8.683;3.976;121.7;26.1
8.703;3.960;124.4;26.0
8.723;3.945;127.0;26.0
8.743;3.932;129.7;26.1
8.763;3.917;132.4;26.1
8.783;3.905;135.0;26.0
8.803;3.895;137.7;26.0
8.823;3.880;140.4;26.1
8.843;3.870;143.0;26.1
8.863;3.855;145.7;26.0
8.883;3.850;149.1;26.1
8.903;3.837;151.8;26.1
8.923;3.824;154.4;26.1
8.943;3.812;157.1;26.0
8.963;3.800;159.8;26.0
8.983;3.792;162.4;26.1
9.003;3.781;165.1;26.1
9.023;3.774;168.9;26.1
9.043;3.762;171.5;26.0
9.063;3.753;174.2;26.0
9.083;3.744;176.9;26.1
9.103;3.735;179.5;26.1
9.123;3.724;182.2;26.1
9.143;3.714;184.8;26.0
9.163;3.708;187.5;26.1
9.183;3.697;190.2;26.1
9.203;3.693;192.8;26.1
9.223;3.683;195.5;26.0
9.243;3.675;198.2;26.1
9.263;3.669;200.8;26.1
9.283;3.662;203.5;26.1
9.303;3.654;206.1;26.0
9.323;3.646;208.8;26.1
9.343;3.637;211.5;26.1
9.363;3.629;214.1;26.1
9.383;3.624;217.6;26.1
9.403;3.616;220.2;26.1
9.423;3.609;222.9;26.1
9.443;3.604;225.5;26.1
9.463;3.597;228.2;26.1
9.483;3.590;230.9;26.1
9.503;3.584;233.5;26.1
9.523;3.577;236.2;26.1
9.543;3.570;238.9;26.0
9.563;3.565;241.5;26.1
9.583;3.558;244.2;26.1
9.603;3.552;246.8;26.1
9.623;3.546;249.5;26.1
9.643;3.541;252.2;26.1
9.663;3.535;254.8;26.1
9.683;3.530;257.5;26.1
9.703;3.525;260.1;26.1
9.723;3.518;262.8;26.1
9.743;3.512;265.5;26.1
9.763;3.507;268.1;26.1
9.783;3.502;270.8;26.1
9.803;3.497;273.5;26.1
9.823;3.492;276.1;26.1
9.843;3.488;278.8;26.1
9.843;3.488;279.0;26.1
