ml;pH;sec;°C
0.000;8.046;0.0;25.8
7.500;4.701;12.0;25.8
7.500;4.801;12.4;25.8
7.544;5.022;13.5;25.8
7.589;4.999;14.7;25.8
7.635;5.012;15.8;25.8
7.681;4.985;17.0;25.8
7.726;4.965;18.1;25.8
7.772;4.894;19.2;25.8
7.818;4.850;20.4;25.8
7.863;4.790;21.5;25.8
7.909;4.752;22.7;25.8
7.954;4.691;23.8;25.8
8.000;4.646;25.0;25.8
8.047;4.563;26.3;25.8
8.047;4.627;30.7;25.8
8.047;4.627;30.7;25.8
8.047;4.628;30.9;25.8
8.093;4.570;32.2;25.8
8.113;4.551;38.8;25.8
8.133;4.514;41.5;25.8
8.153;4.497;44.2;25.8
8.173;4.475;46.8;25.8
8.193;4.454;50.8;25.8
8.213;4.427;53.5;25.8
8.233;4.407;56.1;25.8
8.253;4.384;58.8;25.9
8.273;4.364;61.5;25.9
8.293;4.340;64.1;25.8
8.313;4.321;67.9;25.8
8.333;4.297;70.6;25.9
8.353;4.276;73.3;25.9
8.373;4.250;75.9;25.9
8.393;4.228;78.6;25.8
8.413;4.206;81.2;25.8
8.433;4.190;83.9;25.8
8.453;4.172;86.6;25.9
8.473;4.155;89.2;25.9
8.493;4.136;91.9;25.9
8.513;4.119;95.7;25.9
8.533;4.100;98.3;25.8
8.553;4.080;101.0;25.9
8.573;4.063;103.7;25.9
8.593;4.047;106.3;25.9
8.613;4.031;109.4;25.9
8.633;4.017;112.0;25.9
8.653;4.000;115.5;25.9
8.673;3.985;118.1;25.9
8.693;3.970;120.8;25.9
8.713;3.954;123.4;25.9
8.733;3.940;126.9;25.9
8.753;3.925;129.5;25.9
8.773;3.912;132.2;25.8
8.793;3.899;134.8;25.9
8.813;3.886;138.3;25.9
8.833;3.874;140.9;25.9
8.853;3.861;143.6;25.9
8.873;3.850;146.3;25.9
8.893;3.840;148.9;25.9
8.913;3.829;151.6;25.9
8.933;3.815;154.2;25.9
8.953;3.805;156.9;25.9
8.973;3.795;159.6;25.9
8.993;3.783;162.2;25.9
9.013;3.776;164.9;25.9
9.033;3.765;167.5;25.9
9.053;3.754;170.2;25.9
9.073;3.747;172.9;25.9
9.093;3.738;175.5;25.9
9.113;3.729;178.2;25.9
9.133;3.721;181.6;25.9
9.153;3.711;184.3;25.9
9.173;3.703;186.9;25.9
9.193;3.694;189.6;25.9
9.213;3.687;192.3;25.9
9.233;3.679;194.9;25.9
9.253;3.671;197.6;25.9
9.273;3.664;200.2;25.9
9.293;3.656;202.9;25.9
9.313;3.649;205.6;25.9
9.333;3.640;208.2;25.9
9.353;3.634;210.9;25.9
9.373;3.627;213.6;25.9
9.393;3.619;216.2;25.9
9.413;3.612;218.9;25.9
9.433;3.606;221.5;26.0
9.453;3.600;224.6;25.9
9.473;3.593;227.2;25.9
9.493;3.587;229.9;25.9
9.513;3.580;232.6;25.9
9.533;3.574;235.2;25.9
9.553;3.567;237.9;25.9
9.573;3.561;240.6;25.9
9.593;3.555;243.2;25.9
9.613;3.549;245.9;25.9
9.633;3.543;248.5;25.9
9.653;3.537;251.2;25.9
9.673;3.532;253.9;25.9
9.693;3.528;256.5;25.9
9.713;3.521;259.2;25.9
9.733;3.515;261.8;25.9
9.753;3.510;264.5;25.9
9.773;3.505;267.2;25.9
9.793;3.499;269.8;26.0
9.813;3.494;272.5;25.9
9.833;3.490;275.3;25.9
9.833;3.489;275.5;25.9
