ml;pH;sec;°C
0.000;8.051;0.0;26.2
7.500;4.900;12.0;26.2
7.500;4.934;12.4;26.2
7.545;5.005;13.5;26.2
7.590;4.996;14.7;26.2
7.636;4.962;15.8;26.2
7.682;4.901;17.0;26.2
7.727;4.861;18.1;26.2
7.773;4.823;19.3;26.2
7.819;4.746;20.4;26.2
7.864;4.683;21.5;26.2
7.910;4.642;22.7;26.2
7.956;4.591;23.8;26.2
7.964;4.546;24.2;26.2
7.964;4.631;28.4;26.2
7.964;4.631;28.4;26.2
7.964;4.631;28.6;26.2
8.007;4.572;29.9;26.2
8.027;4.553;37.1;26.2
8.047;4.531;41.3;26.2
8.067;4.508;45.7;26.2
8.087;4.483;48.3;26.2
8.107;4.463;52.5;26.2
8.127;4.438;55.2;26.2
8.147;4.415;59.4;26.2
8.167;4.391;63.6;26.2
8.187;4.367;67.7;26.2
8.207;4.344;70.4;26.2
8.227;4.322;74.0;26.2
8.247;4.300;76.7;26.2
8.267;4.281;79.9;26.2
8.287;4.260;82.6;26.2
8.307;4.239;85.8;26.2
8.327;4.216;88.5;26.2
8.347;4.196;91.7;26.2
8.367;4.175;94.9;26.2
8.387;4.153;97.6;26.2
8.407;4.135;100.2;26.2
8.427;4.118;103.5;26.2
8.447;4.100;107.3;26.2
8.467;4.084;111.1;26.2
8.487;4.067;114.3;26.2
8.507;4.050;117.7;26.2
8.527;4.033;121.0;26.2
8.547;4.015;123.6;26.2
8.567;4.001;127.0;26.2
8.587;3.986;130.5;26.2
8.607;3.971;133.3;26.2
8.627;3.958;136.6;26.2
8.647;3.944;139.8;26.2
8.667;3.931;143.0;26.2
8.687;3.919;146.2;26.2
8.707;3.906;149.3;26.2
8.727;3.893;152.1;26.2
8.747;3.882;155.2;26.2
8.767;3.868;157.8;26.2
8.787;3.857;161.1;26.2
8.807;3.845;163.7;26.2
8.827;3.834;166.4;26.2
8.847;3.823;169.1;26.2
8.867;3.814;171.7;26.2
8.887;3.804;175.1;26.2
8.907;3.794;178.4;26.2
8.927;3.784;181.0;26.2
8.947;3.774;184.3;26.2
8.967;3.762;186.9;26.2
8.987;3.753;189.6;26.2
9.007;3.745;192.6;26.2
9.027;3.736;195.3;26.2
9.047;3.726;198.0;26.2
9.067;3.718;200.6;26.2
9.087;3.708;203.7;26.2
9.107;3.698;206.9;26.2
9.127;3.688;209.5;26.2
9.147;3.680;212.2;26.2
9.167;3.672;214.9;26.2
9.187;3.663;217.5;26.2
9.207;3.655;220.6;26.2
9.227;3.648;223.6;26.2
9.247;3.640;226.3;26.2
9.267;3.633;229.3;26.2
9.287;3.627;232.4;26.2
9.307;3.619;235.0;26.2
9.327;3.612;238.1;26.2
9.347;3.605;240.7;26.2
9.367;3.597;244.0;26.2
9.387;3.591;246.6;26.2
9.407;3.584;249.3;26.2
9.427;3.577;251.9;26.2
9.447;3.571;254.6;26.2
9.467;3.565;257.3;26.3
9.487;3.559;259.9;26.2
9.507;3.552;262.6;26.2
9.527;3.547;265.3;26.2
9.547;3.541;267.9;26.3
9.567;3.534;270.6;26.2
9.587;3.528;273.2;26.2
9.607;3.523;275.9;26.2
9.627;3.518;278.6;26.3
9.647;3.512;281.2;26.2
9.667;3.507;283.9;26.2
9.687;3.501;286.5;26.2
9.707;3.496;289.2;26.2
9.727;3.491;292.2;26.2
9.747;3.485;294.9;26.2
9.747;3.485;295.1;26.2
