ml;pH;sec;°C
0.000;8.043;0.0;26.2
7.500;5.649;12.0;26.2
7.500;5.632;12.4;26.2
7.543;5.574;13.5;26.2
7.588;5.510;14.7;26.2
7.634;5.410;15.8;26.2
7.680;5.315;17.0;26.2
7.725;5.232;18.1;26.2
7.771;5.131;19.2;26.2
7.816;5.046;20.4;26.2
7.862;4.975;21.5;26.2
7.908;4.903;22.7;26.2
7.953;4.810;23.8;26.2
7.999;4.740;25.0;26.2
8.045;4.674;26.1;26.2
8.090;4.614;27.2;26.2
8.114;4.542;28.0;26.2
8.134;4.445;37.3;26.2
8.154;4.418;40.0;26.2
8.174;4.393;43.0;26.2
8.194;4.368;46.3;26.2
8.214;4.343;48.9;26.2
8.234;4.320;52.0;26.2
8.254;4.299;54.6;26.2
8.274;4.279;57.5;26.2
8.294;4.257;60.3;26.2
8.314;4.236;63.0;26.2
8.334;4.214;65.8;26.2
8.354;4.191;68.5;26.2
8.374;4.171;71.4;26.2
8.394;4.151;74.4;26.2
8.414;4.132;77.1;26.2
8.434;4.113;79.9;26.2
8.454;4.096;82.8;26.2
8.474;4.079;85.8;26.2
8.494;4.062;88.7;26.2
8.514;4.045;91.3;26.2
8.534;4.029;94.0;26.2
8.554;4.013;96.6;26.2
8.574;3.995;99.3;26.2
8.594;3.980;102.2;26.2
8.614;3.966;104.8;26.2
8.634;3.953;107.5;26.2
8.654;3.939;110.1;26.2
8.674;3.925;112.8;26.2
8.694;3.913;115.5;26.2
8.714;3.901;118.1;26.2
8.734;3.887;120.8;26.2
8.754;3.874;123.4;26.2
8.774;3.862;126.1;26.2
8.794;3.850;128.8;26.2
8.814;3.838;131.4;26.2
8.834;3.827;134.1;26.2
8.854;3.817;136.8;26.2
8.874;3.807;139.4;26.2
8.894;3.797;142.1;26.2
8.914;3.786;144.7;26.2
8.934;3.777;147.4;26.2
8.954;3.766;150.1;26.2
8.974;3.755;152.7;26.2
8.994;3.746;155.4;26.2
9.014;3.738;158.1;26.2
9.034;3.730;160.7;26.2
9.054;3.720;163.4;26.2
9.074;3.713;166.0;26.2
9.094;3.705;168.7;26.2
9.114;3.697;171.4;26.2
9.134;3.688;174.0;26.2
9.154;3.680;176.7;26.2
9.174;3.673;179.3;26.2
9.194;3.666;182.0;26.2
9.214;3.657;184.7;26.2
9.234;3.650;187.3;26.2
9.254;3.643;190.0;26.2
9.274;3.635;192.7;26.2
9.294;3.629;195.3;26.2
9.314;3.621;198.0;26.2
9.334;3.613;200.6;26.2
9.354;3.604;203.3;26.2
9.374;3.596;206.0;26.2
9.394;3.589;208.6;26.2
9.414;3.582;211.3;26.2
9.434;3.575;213.9;26.2
9.454;3.569;216.6;26.2
9.474;3.563;219.3;26.2
9.494;3.557;221.9;26.2
9.514;3.550;224.6;26.2
9.534;3.543;227.3;26.2
9.554;3.537;229.9;26.2
9.574;3.531;232.6;26.2
9.594;3.525;235.2;26.2
9.614;3.519;237.9;26.2
9.634;3.514;240.6;26.2
9.654;3.508;243.2;26.2
9.674;3.502;245.9;26.2
9.694;3.497;248.5;26.2
9.714;3.492;251.2;26.2
9.734;3.487;253.9;26.2
9.734;3.486;254.1;26.2
