ml;pH;sec;°C
0.000;7.990;0.0;26.3
7.500;4.436;12.0;26.3
7.500;4.992;19.0;26.3
7.500;4.992;19.0;26.3
7.500;4.993;19.2;26.3
7.543;4.955;20.4;26.3
7.589;4.904;21.5;26.3
7.634;4.859;22.7;26.3
7.680;4.826;23.8;26.3
7.726;4.794;24.9;26.3
7.771;4.748;26.1;26.3
7.817;4.705;27.2;26.3
7.863;4.663;28.4;26.3
7.908;4.624;29.5;26.3
7.947;4.578;30.7;26.3
7.967;4.558;36.6;26.4
7.987;4.533;39.2;26.4
8.007;4.510;41.9;26.4
8.027;4.487;44.5;26.3
8.047;4.469;47.2;26.4
8.067;4.444;49.9;26.4
8.087;4.420;52.5;26.4
8.107;4.398;55.2;26.4
8.127;4.379;58.0;26.3
8.147;4.354;60.7;26.4
8.167;4.324;63.4;26.4
8.187;4.304;66.0;26.4
8.207;4.287;68.9;26.4
8.227;4.263;71.5;26.4
8.247;4.243;74.2;26.4
8.267;4.221;76.9;26.4
8.287;4.204;79.5;26.4
8.307;4.183;82.2;26.4
8.327;4.164;84.8;26.4
8.347;4.143;87.5;26.4
8.367;4.126;90.2;26.4
8.387;4.107;92.8;26.4
8.407;4.088;95.5;26.4
8.427;4.071;98.2;26.4
8.447;4.056;100.8;26.4
8.467;4.040;103.5;26.4
8.487;4.024;106.1;26.4
8.507;4.007;108.8;26.4
8.527;3.992;111.5;26.4
8.547;3.978;114.1;26.4
8.567;3.963;116.8;26.4
8.587;3.948;119.5;26.4
8.607;3.935;122.1;26.4
8.627;3.921;124.8;26.4
8.647;3.907;127.4;26.4
8.667;3.897;130.1;26.4
8.687;3.886;132.8;26.4
8.707;3.873;135.4;26.4
8.727;3.861;138.1;26.4
8.747;3.850;140.7;26.4
8.767;3.839;143.4;26.4
8.787;3.826;146.1;26.4
8.807;3.816;148.7;26.4
8.827;3.806;151.4;26.4
8.847;3.797;154.1;26.4
8.867;3.787;156.7;26.4
8.887;3.778;159.4;26.4
8.907;3.768;162.0;26.4
8.927;3.758;164.7;26.4
8.947;3.748;167.4;26.4
8.967;3.740;170.0;26.4
8.987;3.731;172.7;26.4
9.007;3.723;175.3;26.4
9.027;3.714;178.0;26.4
9.047;3.706;180.7;26.4
9.067;3.698;183.3;26.4
9.087;3.690;186.0;26.4
9.107;3.682;188.6;26.4
9.127;3.673;191.3;26.4
9.147;3.665;194.0;26.4
9.167;3.657;196.6;26.4
9.187;3.648;199.3;26.4
9.207;3.639;202.0;26.4
9.227;3.631;204.6;26.4
9.247;3.625;207.3;26.4
9.267;3.617;209.9;26.4
9.287;3.610;212.6;26.4
9.307;3.604;215.3;26.4
9.327;3.597;217.9;26.4
9.347;3.589;220.6;26.4
9.367;3.582;223.2;26.4
9.387;3.575;225.9;26.4
9.407;3.569;228.6;26.4
9.427;3.562;231.2;26.4
9.447;3.556;233.9;26.4
9.467;3.551;236.6;26.4
9.487;3.545;239.2;26.4
9.507;3.539;241.9;26.4
9.527;3.533;244.5;26.3
9.547;3.527;247.2;26.4
9.567;3.521;249.9;26.4
9.587;3.515;252.5;26.4
9.607;3.509;255.2;26.4
9.627;3.504;257.9;26.4
9.647;3.499;260.5;26.4
9.667;3.495;263.2;26.4
9.687;3.490;265.8;26.4
9.687;3.490;266.0;26.4
9.707;3.484;268.7;26.4
9.707;3.484;268.9;26.4
