ml;pH;sec;°C
0.000;7.984;0.0;26.8
7.500;4.939;12.0;26.8
7.500;4.951;12.4;26.8
7.544;5.035;13.5;26.8
7.590;4.988;14.7;26.8
7.635;4.951;15.8;26.8
7.681;4.894;17.0;26.8
7.726;4.819;18.1;26.8
7.772;4.747;19.2;26.8
7.818;4.693;20.4;26.8
7.863;4.663;21.5;26.8
7.909;4.602;22.7;26.8
7.918;4.583;23.1;26.8
7.918;4.601;26.5;26.7
7.918;4.601;26.5;26.7
7.918;4.601;26.7;26.7
7.940;4.574;27.4;26.7
7.960;4.544;32.2;26.7
7.980;4.521;34.8;26.8
8.000;4.499;38.5;26.8
8.020;4.472;41.1;26.7
8.040;4.449;43.8;26.7
8.060;4.431;47.8;26.7
8.080;4.409;51.2;26.7
8.100;4.388;55.4;26.7
8.120;4.361;58.0;26.7
8.140;4.338;60.7;26.7
8.160;4.313;63.4;26.7
8.180;4.293;66.6;26.7
8.200;4.269;69.3;26.8
8.220;4.250;71.9;26.7
8.240;4.228;74.6;26.7
8.260;4.209;77.2;26.7
8.280;4.192;81.0;26.7
8.300;4.171;84.5;26.7
8.320;4.152;87.7;26.7
8.340;4.132;90.4;26.7
8.360;4.112;93.0;26.7
8.380;4.095;95.7;26.7
8.400;4.075;98.3;26.7
8.420;4.059;101.0;26.7
8.440;4.043;103.7;26.7
8.460;4.029;106.3;26.7
8.480;4.013;109.0;26.7
8.500;3.997;111.6;26.7
8.520;3.983;114.9;26.7
8.540;3.966;117.5;26.7
8.560;3.952;120.2;26.7
8.580;3.938;122.9;26.7
8.600;3.925;125.5;26.7
8.620;3.911;128.2;26.7
8.640;3.899;131.2;26.7
8.660;3.886;133.9;26.7
8.680;3.876;136.6;26.7
8.700;3.864;139.2;26.7
8.720;3.851;141.9;26.7
8.740;3.840;145.1;26.7
8.760;3.827;147.8;26.7
8.780;3.817;150.4;26.7
8.800;3.805;153.1;26.7
8.820;3.795;155.8;26.6
8.840;3.785;158.4;26.6
8.860;3.776;161.1;26.7
8.880;3.767;163.7;26.7
8.900;3.757;166.4;26.7
8.920;3.747;169.1;26.6
8.940;3.738;171.7;26.7
8.960;3.729;174.4;26.7
8.980;3.720;177.1;26.7
9.000;3.710;179.7;26.6
9.020;3.702;182.4;26.7
9.040;3.695;185.0;26.7
9.060;3.687;187.7;26.7
9.080;3.679;190.4;26.6
9.100;3.670;193.0;26.7
9.120;3.663;195.7;26.7
9.140;3.655;198.3;26.7
9.160;3.647;201.0;26.6
9.180;3.640;203.7;26.6
9.200;3.633;206.3;26.7
9.220;3.625;209.0;26.7
9.240;3.618;211.7;26.6
9.260;3.612;214.3;26.6
9.280;3.606;217.0;26.7
9.300;3.600;219.6;26.7
9.320;3.592;222.3;26.6
9.340;3.585;225.0;26.6
9.360;3.579;227.6;26.7
9.380;3.572;230.3;26.7
9.400;3.566;232.9;26.6
9.420;3.559;235.6;26.6
9.440;3.553;238.3;26.7
9.460;3.548;240.9;26.7
9.480;3.543;243.6;26.6
9.500;3.536;246.3;26.6
9.520;3.531;248.9;26.7
9.540;3.526;251.6;26.7
9.560;3.519;254.2;26.6
9.580;3.513;256.9;26.6
9.600;3.508;259.6;26.7
9.620;3.503;262.2;26.7
9.640;3.497;264.9;26.6
9.660;3.493;267.5;26.6
9.680;3.488;270.2;26.6
9.680;3.488;270.4;26.6
