ml;pH;sec;°C
0.000;8.004;0.0;26.0
7.500;5.367;12.0;26.0
7.500;5.366;12.4;26.0
7.543;5.435;13.5;26.0
7.589;5.403;14.7;26.0
7.634;5.333;15.8;26.0
7.680;5.222;17.0;26.0
7.726;5.136;18.1;26.0
7.771;5.047;19.2;26.0
7.817;4.951;20.4;26.0
7.863;4.872;21.5;26.0
7.908;4.804;22.7;26.0
7.954;4.720;23.8;26.0
8.000;4.633;25.0;26.0
8.031;4.576;25.9;26.0
8.051;4.482;33.5;26.0
8.071;4.455;36.2;26.0
8.091;4.430;38.8;26.0
8.111;4.408;41.5;26.0
8.131;4.388;44.4;26.0
8.151;4.362;47.2;26.0
8.171;4.337;49.9;26.0
8.191;4.310;52.5;26.0
8.211;4.290;55.2;26.0
8.231;4.267;58.0;26.0
8.251;4.248;60.7;26.0
8.271;4.226;63.4;26.0
8.291;4.205;66.0;26.0
8.311;4.187;68.9;26.0
8.331;4.161;71.5;26.0
8.351;4.147;74.2;26.0
8.371;4.128;76.9;26.0
8.391;4.111;79.7;26.0
8.411;4.092;82.4;26.0
8.431;4.074;85.0;26.0
8.451;4.059;87.7;26.0
8.471;4.042;90.4;26.0
8.491;4.028;93.2;26.0
8.511;4.007;95.9;26.0
8.531;3.994;98.5;26.0
8.551;3.977;101.2;26.0
8.571;3.964;103.9;26.0
8.591;3.949;106.5;26.0
8.611;3.936;109.2;26.0
8.631;3.923;111.9;26.0
8.651;3.911;114.5;26.0
8.671;3.899;117.2;26.0
8.691;3.887;119.8;26.0
8.711;3.874;122.5;26.0
8.731;3.862;125.2;26.0
8.751;3.850;127.8;26.0
8.771;3.837;130.5;26.0
8.791;3.827;133.2;26.0
8.811;3.817;135.8;26.0
8.831;3.806;138.5;26.0
8.851;3.795;141.1;26.0
8.871;3.785;143.8;26.0
8.891;3.777;146.5;26.0
8.911;3.767;149.1;26.0
8.931;3.758;151.8;26.0
8.951;3.748;154.4;26.0
8.971;3.738;157.1;26.0
8.991;3.729;159.8;26.0
9.011;3.719;162.4;26.0
9.031;3.712;165.1;26.0
9.051;3.704;167.8;26.0
9.071;3.696;170.4;26.0
9.091;3.688;173.1;26.0
9.111;3.681;175.7;26.0
9.131;3.673;178.4;26.0
9.151;3.664;181.1;26.0
9.171;3.656;183.7;26.0
9.191;3.648;186.4;26.0
9.211;3.641;189.0;26.0
9.231;3.634;191.7;26.0
9.251;3.627;194.4;26.0
9.271;3.619;197.0;26.0
9.291;3.614;199.7;26.0
9.311;3.607;202.4;26.0
9.331;3.600;205.0;26.0
9.351;3.593;207.7;26.0
9.371;3.586;210.3;26.0
9.391;3.580;213.0;26.0
9.411;3.574;215.7;26.0
9.431;3.568;218.3;26.0
9.451;3.562;221.0;26.0
9.471;3.557;223.7;26.0
9.491;3.552;226.3;26.0
9.511;3.546;229.0;26.0
9.531;3.539;231.6;26.0
9.551;3.534;234.3;26.0
9.571;3.527;237.0;26.0
9.591;3.522;239.6;26.0
9.611;3.516;242.3;26.0
9.631;3.511;244.9;26.0
9.651;3.506;247.6;26.0
9.671;3.501;250.3;26.0
9.691;3.496;252.9;26.0
9.711;3.491;255.6;26.0
9.731;3.486;258.3;26.0
9.731;3.486;258.4;26.0
