ml;pH;sec;°C
0.000;7.987;0.0;26.1
7.500;5.790;12.0;26.1
7.500;5.600;12.4;26.1
7.545;5.354;13.5;26.1
7.590;5.239;14.7;26.1
7.636;5.123;15.8;26.1
7.682;5.026;17.0;26.1
7.727;4.944;18.1;26.1
7.773;4.872;19.3;26.1
7.819;4.811;20.4;26.1
7.864;4.735;21.5;26.1
7.910;4.691;22.7;26.1
7.956;4.646;23.8;26.1
8.002;4.580;25.2;26.1
8.022;4.473;32.8;26.2
8.042;4.450;36.4;26.1
8.062;4.428;40.0;26.1
8.082;4.406;43.6;26.2
8.102;4.384;47.2;26.2
8.122;4.360;50.6;26.2
8.142;4.336;54.1;26.2
8.162;4.313;57.7;26.2
8.182;4.289;61.1;26.2
8.202;4.267;63.8;26.2
8.222;4.249;67.2;26.2
8.242;4.229;70.8;26.2
8.262;4.209;74.2;26.2
8.282;4.188;77.6;26.2
8.302;4.169;81.1;26.2
8.322;4.150;84.5;26.2
8.342;4.130;87.9;26.2
8.362;4.111;91.3;26.2
8.382;4.092;94.7;26.2
8.402;4.075;98.2;26.2
8.422;4.058;101.4;26.2
8.442;4.042;104.6;26.2
8.462;4.026;107.9;26.2
8.482;4.012;111.1;26.2
8.502;3.997;114.3;26.2
8.522;3.981;117.6;26.2
8.542;3.965;120.8;26.2
8.562;3.950;124.0;26.2
8.582;3.936;127.3;26.2
8.602;3.923;130.3;26.2
8.622;3.910;133.5;26.2
8.642;3.898;136.6;26.2
8.662;3.885;139.4;26.2
8.682;3.874;142.3;26.2
8.702;3.862;145.1;26.2
8.722;3.850;148.2;26.2
8.742;3.840;150.8;26.2
8.762;3.827;153.9;26.2
8.782;3.815;156.9;26.2
8.802;3.805;159.8;26.2
8.822;3.795;162.6;26.2
8.842;3.785;165.3;26.2
8.862;3.775;168.0;26.2
8.882;3.766;170.6;26.2
8.902;3.756;173.3;26.2
8.922;3.747;175.9;26.2
8.942;3.737;178.8;26.2
8.962;3.728;181.5;26.2
8.982;3.719;184.1;26.2
9.002;3.709;186.8;26.2
9.022;3.701;189.4;26.2
9.042;3.693;192.1;26.2
9.062;3.684;194.8;26.2
9.082;3.677;197.4;26.2
9.102;3.669;200.1;26.2
9.122;3.661;202.7;26.2
9.142;3.653;205.4;26.2
9.162;3.646;208.1;26.2
9.182;3.638;210.7;26.2
9.202;3.631;213.4;26.2
9.222;3.624;216.1;26.2
9.242;3.617;218.7;26.2
9.262;3.610;221.4;26.2
9.282;3.603;224.0;26.2
9.302;3.596;226.7;26.2
9.322;3.590;229.4;26.2
9.342;3.583;232.0;26.2
9.362;3.576;234.7;26.2
9.382;3.569;237.4;26.2
9.402;3.563;240.0;26.2
9.422;3.557;242.7;26.2
9.442;3.551;245.3;26.2
9.462;3.546;248.0;26.2
9.482;3.540;250.7;26.2
9.502;3.533;253.3;26.2
9.522;3.528;256.0;26.2
9.542;3.522;258.7;26.2
9.562;3.515;261.3;26.2
9.582;3.511;264.0;26.2
9.602;3.505;266.6;26.2
9.622;3.499;269.3;26.2
9.642;3.494;272.0;26.2
9.662;3.489;274.6;26.2
9.662;3.488;274.8;26.2
