ml;pH;sec;°C
0.000;8.076;0.0;26.8
7.500;5.248;12.0;26.8
7.500;5.289;12.4;26.8
7.543;5.335;13.5;26.8
7.589;5.247;14.7;26.8
7.634;5.175;15.8;26.8
7.680;5.075;17.0;26.8
7.726;4.925;18.1;26.8
7.771;4.811;19.3;26.8
7.817;4.739;20.4;26.8
7.863;4.624;21.5;26.8
7.879;4.553;22.1;26.8
7.899;4.452;32.4;26.6
7.919;4.419;35.2;26.7
7.939;4.390;39.0;26.6
7.959;4.358;41.7;26.7
7.979;4.341;44.3;26.7
7.999;4.315;48.3;26.7
8.019;4.292;51.0;26.7
8.039;4.269;55.0;26.7
8.059;4.250;57.7;26.7
8.079;4.228;61.5;26.7
8.099;4.204;64.1;26.7
8.119;4.182;66.8;26.7
8.139;4.163;69.4;26.7
8.159;4.142;72.1;26.7
8.179;4.122;74.8;26.6
8.199;4.105;78.2;26.7
8.219;4.085;82.0;26.7
8.239;4.067;84.7;26.6
8.259;4.049;87.3;26.7
8.279;4.035;90.0;26.6
8.299;4.019;93.8;26.7
8.319;4.003;97.4;26.7
8.339;3.987;101.0;26.6
8.359;3.970;104.8;26.7
8.379;3.956;108.0;26.7
8.399;3.941;110.7;26.7
8.419;3.927;113.4;26.6
8.439;3.914;116.0;26.7
8.459;3.903;118.7;26.7
8.479;3.890;122.3;26.7
8.499;3.877;125.0;26.7
8.519;3.865;127.6;26.6
8.539;3.853;130.3;26.7
8.559;3.840;132.9;26.6
8.579;3.829;135.6;26.7
8.599;3.817;138.3;26.7
8.619;3.806;140.9;26.7
8.639;3.796;143.6;26.6
8.659;3.786;146.8;26.6
8.679;3.777;150.2;26.6
8.699;3.767;152.9;26.7
8.719;3.757;155.6;26.7
8.739;3.747;158.2;26.6
8.759;3.737;160.9;26.6
8.779;3.727;163.6;26.7
8.799;3.717;166.8;26.6
8.819;3.708;169.4;26.7
8.839;3.698;172.5;26.6
8.859;3.688;175.1;26.6
8.879;3.680;177.8;26.6
8.899;3.671;180.5;26.7
8.919;3.663;183.1;26.6
8.939;3.654;185.8;26.6
8.959;3.645;189.2;26.7
8.979;3.637;192.4;26.6
8.999;3.629;195.1;26.7
9.019;3.621;198.3;26.7
9.039;3.614;201.6;26.6
9.059;3.607;204.6;26.7
9.079;3.600;207.3;26.7
9.099;3.592;209.9;26.6
9.119;3.586;212.6;26.6
9.139;3.579;215.3;26.7
9.159;3.571;217.9;26.6
9.179;3.564;221.0;26.6
9.199;3.559;223.6;26.7
9.219;3.551;226.3;26.7
9.239;3.546;228.9;26.6
9.259;3.540;231.6;26.6
9.279;3.534;234.3;26.6
9.299;3.528;236.9;26.7
9.319;3.522;240.0;26.6
9.339;3.515;242.6;26.6
9.359;3.509;245.3;26.7
9.379;3.504;248.0;26.7
9.399;3.498;250.6;26.7
9.419;3.493;253.3;26.6
9.439;3.488;255.9;26.6
9.439;3.488;256.1;26.6
