ml;pH;sec;°C
0.000;8.046;0.0;26.3
7.500;4.638;12.0;26.3
7.500;4.689;12.4;26.3
7.543;4.881;13.5;26.3
7.588;4.896;14.7;26.3
7.634;4.852;15.8;26.3
7.680;4.798;17.0;26.3
7.725;4.739;18.1;26.3
7.771;4.669;19.3;26.3
7.816;4.598;20.4;26.3
7.825;4.579;20.8;26.3
7.845;4.555;27.2;26.4
7.865;4.527;30.3;26.4
7.885;4.504;33.1;26.4
7.905;4.482;36.0;26.4
7.925;4.455;38.8;26.4
7.945;4.430;41.7;26.4
7.965;4.406;44.5;26.4
7.985;4.384;47.6;26.4
8.005;4.358;50.4;26.5
8.025;4.335;53.3;26.4
8.045;4.310;56.1;26.4
8.065;4.291;59.0;26.4
8.085;4.268;62.0;26.4
8.105;4.246;64.9;26.4
8.125;4.218;67.7;26.5
8.145;4.197;70.6;26.4
8.165;4.174;73.4;26.4
8.185;4.155;76.3;26.5
8.205;4.134;78.9;26.4
8.225;4.114;81.6;26.4
8.245;4.097;84.3;26.5
8.265;4.079;86.9;26.5
8.285;4.061;89.6;26.4
8.305;4.044;92.3;26.4
8.325;4.027;94.9;26.4
8.345;4.010;97.6;26.5
8.365;3.992;100.2;26.5
8.385;3.977;103.1;26.5
8.405;3.961;105.8;26.5
8.425;3.947;108.4;26.5
8.445;3.932;111.1;26.4
8.465;3.918;113.7;26.4
8.485;3.906;116.4;26.4
8.505;3.892;119.1;26.5
8.525;3.880;121.7;26.5
8.545;3.867;124.4;26.5
8.565;3.854;127.0;26.5
8.585;3.841;129.7;26.4
8.605;3.829;132.4;26.4
8.625;3.818;135.0;26.5
8.645;3.807;137.7;26.5
8.665;3.797;140.4;26.5
8.685;3.787;143.0;26.4
8.705;3.776;145.7;26.4
8.725;3.765;148.3;26.5
8.745;3.756;151.0;26.5
8.765;3.746;153.7;26.5
8.785;3.735;156.3;26.4
8.805;3.726;159.0;26.4
8.825;3.717;161.7;26.5
8.845;3.708;164.3;26.5
8.865;3.700;167.0;26.5
8.885;3.691;169.6;26.4
8.905;3.683;172.3;26.4
8.925;3.674;175.0;26.5
8.945;3.666;177.6;26.5
8.965;3.658;180.3;26.5
8.985;3.649;182.9;26.4
9.005;3.641;185.6;26.5
9.025;3.634;188.3;26.5
9.045;3.626;190.9;26.5
9.065;3.619;193.6;26.5
9.085;3.612;196.3;26.5
9.105;3.605;198.9;26.5
9.125;3.598;201.6;26.5
9.145;3.591;204.2;26.5
9.165;3.583;206.9;26.5
9.185;3.576;209.6;26.5
9.205;3.570;212.2;26.5
9.225;3.563;214.9;26.5
9.245;3.557;217.5;26.4
9.265;3.551;220.2;26.5
9.285;3.546;222.9;26.5
9.305;3.540;225.5;26.5
9.325;3.533;228.2;26.5
9.345;3.527;230.9;26.5
9.365;3.520;233.5;26.5
9.385;3.515;236.2;26.5
9.405;3.509;238.8;26.5
9.425;3.503;241.5;26.4
9.445;3.498;244.2;26.5
9.465;3.493;246.8;26.5
9.485;3.487;249.5;26.5
9.485;3.488;249.7;26.5
