ml;pH;sec;°C
0.000;7.895;0.0;25.6
7.500;4.837;12.0;25.6
7.500;4.909;12.4;25.6
7.544;5.090;13.5;25.6
7.590;5.065;14.7;25.6
7.635;4.986;15.8;25.6
7.681;4.949;17.0;25.6
7.727;4.881;18.1;25.6
7.772;4.777;19.3;25.6
7.818;4.734;20.4;25.6
7.864;4.670;21.5;25.6
7.909;4.646;22.7;25.6
7.948;4.561;23.8;25.6
7.948;4.594;27.1;25.9
7.948;4.594;27.1;25.9
7.948;4.594;27.2;25.9
7.979;4.552;28.2;25.9
7.999;4.530;36.0;26.0
8.019;4.509;38.6;26.0
8.039;4.486;41.3;26.0
8.059;4.470;44.0;26.0
8.079;4.448;46.6;26.0
8.099;4.407;49.3;26.0
8.119;4.405;52.0;26.0
8.139;4.379;55.4;26.0
8.159;4.353;58.0;26.1
8.179;4.330;60.7;26.1
8.199;4.311;63.4;26.1
8.219;4.287;66.0;26.0
8.239;4.264;68.7;26.1
8.259;4.241;71.3;26.1
8.279;4.227;74.6;26.1
8.299;4.209;77.2;26.1
8.319;4.185;79.9;26.1
8.339;4.161;83.9;26.1
8.359;4.139;86.6;26.1
8.379;4.120;89.2;26.1
8.399;4.104;91.9;26.1
8.419;4.085;94.5;26.1
8.439;4.068;97.8;26.1
8.459;4.051;100.4;26.1
8.479;4.032;103.1;26.1
8.499;4.016;106.7;26.1
8.519;4.003;109.4;26.1
8.539;3.988;112.0;26.1
8.559;3.971;114.7;26.1
8.579;3.952;117.4;26.1
8.599;3.941;120.0;26.1
8.619;3.927;122.7;26.1
8.639;3.913;125.3;26.1
8.659;3.899;128.0;26.1
8.679;3.887;130.7;26.1
8.699;3.873;133.3;26.1
8.719;3.862;136.0;26.1
8.739;3.853;138.6;26.1
8.759;3.837;141.3;26.1
8.779;3.826;144.0;26.1
8.799;3.814;147.4;26.1
8.819;3.804;150.8;26.1
8.839;3.793;153.5;26.1
8.859;3.782;156.1;26.1
8.879;3.775;158.8;26.1
8.899;3.764;161.5;26.1
8.919;3.755;164.1;26.1
8.939;3.746;166.8;26.1
8.959;3.735;169.5;26.1
8.979;3.726;172.1;26.1
8.999;3.716;174.8;26.1
9.019;3.708;177.4;26.1
9.039;3.699;180.7;26.1
9.059;3.691;183.3;26.1
9.079;3.682;186.0;26.1
9.099;3.676;188.7;26.1
9.119;3.668;191.3;26.1
9.139;3.658;194.9;26.1
9.159;3.649;198.2;26.1
9.179;3.643;200.8;26.1
9.199;3.636;203.5;26.1
9.219;3.628;206.2;26.1
9.239;3.621;208.8;26.1
9.259;3.614;211.5;26.1
9.279;3.604;214.5;26.1
9.299;3.601;217.2;26.1
9.319;3.594;219.8;26.1
9.339;3.586;222.5;26.1
9.359;3.579;225.2;26.1
9.379;3.572;228.6;26.1
9.399;3.567;231.2;26.1
9.419;3.560;233.9;26.1
9.439;3.555;236.6;26.1
9.459;3.548;239.2;26.1
9.479;3.542;241.9;26.1
9.499;3.537;244.6;26.1
9.519;3.531;247.2;26.1
9.539;3.524;249.9;26.1
9.559;3.518;252.9;26.1
9.579;3.513;255.6;26.1
9.599;3.506;258.2;26.1
9.619;3.501;260.9;26.1
9.639;3.497;263.9;26.1
9.659;3.492;266.6;26.1
9.679;3.487;269.3;26.1
9.679;3.487;269.5;26.1
