ml;pH;sec;°C
0.000;7.954;0.0;25.5
7.500;5.557;12.0;25.5
7.500;5.451;12.4;25.5
7.544;5.324;13.5;25.5
7.590;5.237;14.7;25.5
7.635;5.141;15.8;25.5
7.681;5.063;17.0;25.5
7.727;4.969;18.1;25.5
7.772;4.888;19.3;25.5
7.818;4.832;20.4;25.5
7.864;4.776;21.5;25.5
7.909;4.715;22.7;25.5
7.955;4.663;23.8;25.5
8.001;4.599;25.0;25.5
8.009;4.575;25.3;25.5
8.029;4.534;30.9;25.5
8.049;4.505;33.9;25.5
8.069;4.479;36.8;25.5
8.089;4.457;39.6;25.5
8.109;4.436;42.5;25.4
8.129;4.412;45.3;25.4
8.149;4.388;48.2;25.5
8.169;4.366;51.4;25.4
8.189;4.339;54.1;25.5
8.209;4.317;56.7;25.4
8.229;4.296;59.6;25.5
8.249;4.274;62.4;25.4
8.269;4.254;65.3;25.4
8.289;4.233;68.3;25.5
8.309;4.212;71.2;25.4
8.329;4.191;74.4;25.4
8.349;4.170;77.4;25.4
8.369;4.150;80.3;25.5
8.389;4.129;83.1;25.5
8.409;4.110;86.0;25.4
8.429;4.091;88.7;25.5
8.449;4.076;91.7;25.4
8.469;4.060;94.8;25.4
8.489;4.044;97.8;25.4
8.509;4.026;100.8;25.5
8.529;4.009;103.7;25.4
8.549;3.993;106.4;25.5
8.569;3.975;109.2;25.4
8.589;3.961;112.1;25.4
8.609;3.947;114.9;25.4
8.629;3.933;117.8;25.5
8.649;3.919;120.4;25.5
8.669;3.907;123.1;25.5
8.689;3.894;125.7;25.4
8.709;3.881;128.4;25.4
8.729;3.867;131.1;25.5
8.749;3.855;133.7;25.4
8.769;3.843;136.6;25.5
8.789;3.830;139.2;25.4
8.809;3.819;141.9;25.4
8.829;3.809;144.6;25.4
8.849;3.799;147.2;25.5
8.869;3.788;149.9;25.5
8.889;3.778;152.6;25.4
8.909;3.768;155.2;25.4
8.929;3.759;157.9;25.5
8.949;3.747;160.5;25.4
8.969;3.737;163.2;25.4
8.989;3.727;166.1;25.4
9.009;3.717;168.7;25.4
9.029;3.710;171.4;25.4
9.049;3.700;174.0;25.5
9.069;3.694;176.7;25.4
9.089;3.685;179.4;25.4
9.109;3.676;182.0;25.4
9.129;3.668;184.7;25.4
9.149;3.660;187.4;25.5
9.169;3.652;190.0;25.5
9.189;3.644;192.7;25.4
9.209;3.635;195.3;25.4
9.229;3.629;198.0;25.5
9.249;3.621;200.7;25.5
9.269;3.614;203.3;25.4
9.289;3.607;206.0;25.4
9.309;3.601;208.7;25.5
9.329;3.594;211.3;25.5
9.349;3.586;214.0;25.4
9.369;3.579;216.6;25.4
9.389;3.572;219.3;25.4
9.409;3.566;222.0;25.5
9.429;3.560;224.6;25.4
9.449;3.553;227.3;25.4
9.469;3.547;229.9;25.4
9.489;3.542;232.6;25.4
9.509;3.536;235.3;25.5
9.529;3.529;237.9;25.4
9.549;3.524;240.6;25.5
9.569;3.517;243.3;25.5
9.589;3.512;245.9;25.4
9.609;3.506;248.6;25.4
9.629;3.500;251.3;25.5
9.649;3.495;253.9;25.4
9.669;3.490;256.6;25.4
9.669;3.490;256.8;25.4
9.689;3.485;259.4;25.4
9.689;3.485;259.6;25.4
