ml;pH;sec;°C
0.000;7.948;0.0;25.6
7.500;4.670;12.0;25.6
7.500;4.851;12.4;25.6
7.544;5.116;13.5;25.6
7.590;5.152;14.7;25.6
7.636;5.143;15.8;25.6
7.681;5.095;17.0;25.6
7.727;5.016;18.1;25.6
7.773;4.986;19.3;25.6
7.818;4.930;20.4;25.6
7.864;4.889;21.5;25.6
7.910;4.820;22.7;25.6
7.955;4.787;23.8;25.6
8.001;4.745;25.0;25.6
8.047;4.675;26.1;25.6
8.092;4.634;27.3;25.6
8.138;4.606;28.4;25.6
8.154;4.566;29.0;25.6
8.154;4.622;33.7;25.5
8.154;4.622;33.7;25.5
8.154;4.622;33.9;25.5
8.200;4.553;35.2;25.5
8.220;4.545;42.3;25.5
8.240;4.516;44.9;25.5
8.260;4.506;47.6;25.5
8.280;4.484;50.3;25.5
8.300;4.462;52.9;25.5
8.320;4.438;55.6;25.5
8.340;4.402;58.2;25.5
8.360;4.382;60.9;25.4
8.380;4.365;63.6;25.5
8.400;4.336;66.2;25.5
8.420;4.325;69.8;25.5
8.440;4.299;72.5;25.5
8.460;4.285;75.2;25.4
8.480;4.263;77.8;25.5
8.500;4.239;80.5;25.5
8.520;4.217;83.2;25.4
8.540;4.189;85.8;25.5
8.560;4.180;88.5;25.5
8.580;4.160;91.1;25.5
8.600;4.140;93.8;25.4
8.620;4.120;96.5;25.4
8.640;4.106;99.1;25.5
8.660;4.091;101.8;25.5
8.680;4.075;104.4;25.5
8.700;4.057;107.1;25.4
8.720;4.044;109.8;25.5
8.740;4.027;112.4;25.5
8.760;4.008;115.1;25.4
8.780;3.995;118.5;25.5
8.800;3.981;121.9;25.5
8.820;3.964;124.6;25.4
8.840;3.953;128.2;25.5
8.860;3.935;130.9;25.4
8.880;3.926;134.7;25.5
8.900;3.915;137.3;25.5
8.920;3.900;140.0;25.4
8.940;3.887;143.8;25.4
8.960;3.875;146.5;25.5
8.980;3.863;149.1;25.5
9.000;3.850;151.8;25.4
9.020;3.841;155.2;25.4
9.040;3.829;157.9;25.5
9.060;3.818;160.5;25.4
9.080;3.810;163.2;25.4
9.100;3.799;165.9;25.4
9.120;3.790;168.5;25.5
9.140;3.778;172.1;25.4
9.160;3.768;174.8;25.4
9.180;3.758;177.5;25.5
9.200;3.747;180.1;25.4
9.220;3.739;182.8;25.4
9.240;3.731;186.0;25.4
9.260;3.723;188.7;25.4
9.280;3.715;191.3;25.5
9.300;3.707;194.0;25.5
9.320;3.697;196.7;25.4
9.340;3.687;199.3;25.4
9.360;3.680;202.7;25.5
9.380;3.673;205.4;25.5
9.400;3.664;208.6;25.5
9.420;3.657;211.3;25.4
9.440;3.649;214.0;25.4
9.460;3.641;216.6;25.5
9.480;3.636;219.3;25.5
9.500;3.628;222.0;25.4
9.520;3.621;224.6;25.4
9.540;3.615;227.3;25.5
9.560;3.608;229.9;25.5
9.580;3.600;232.6;25.4
9.600;3.593;235.8;25.4
9.620;3.587;239.1;25.4
9.640;3.580;241.7;25.4
9.660;3.575;244.4;25.5
9.680;3.569;247.1;25.4
9.700;3.563;249.7;25.4
9.720;3.557;252.4;25.5
9.740;3.551;255.0;25.4
9.760;3.544;257.7;25.4
9.780;3.538;260.4;25.5
9.800;3.533;263.0;25.5
9.820;3.527;265.7;25.5
9.840;3.522;268.4;25.5
9.860;3.517;271.0;25.5
9.880;3.511;273.7;25.4
9.900;3.506;276.3;25.4
9.920;3.501;279.0;25.5
9.940;3.496;281.7;25.5
9.960;3.490;284.3;25.4
9.960;3.491;284.5;25.4
9.980;3.485;287.2;25.5
9.980;3.485;287.4;25.5
