Serial number;Date;Slope [];Slope [mV/pH];Zero point [pH];Zero point [mV];pH buffer 1 [pH];Measured value 1 [mV];Temperature 1 [°C];pH buffer 2 [pH];Measured value 2 [mV];Temperature 2 [°C];pH buffer 3 [pH];Measured value 3 [mV];Temperature 3 [°C];pH buffer 4 [pH];Measured value 4 [mV];Temperature 4 [°C];pH buffer 5 [pH];Measured value 5 [mV];Temperature 5 [°C];pH buffer 6 [pH];Measured value 6 [mV];Temperature 6 [°C];pH buffer 7 [pH];Measured value 7 [mV];Temperature 7 [°C];Name;Batch ID
10012653;07/31/19 8:44:28;97.7;-57.8;6.87;-7.7;TEC_4.000;165.1;23.8;TEC_7.000;-7.8;23.4;-;;;-;;;-;;;-;;;-;;;A 162 2M-DIN-ID;C180706002
10012653;07/31/19 8:50:16;98.7;-58.4;6.86;-8.7;TEC_4.000;167.2;26.3;TEC_7.000;-8.4;26.2;-;;;-;;;-;;;-;;;-;;;A 162 2M-DIN-ID;C180706002
