ml;pH;sec;°C
0.000;8.051;0.0;26.4
7.500;4.520;12.0;26.4
7.500;4.982;17.3;26.4
7.500;4.982;17.3;26.4
7.500;4.981;17.5;26.4
7.542;4.971;18.7;26.4
7.588;4.924;19.8;26.4
7.634;4.897;21.0;26.4
7.679;4.861;22.1;26.4
7.725;4.819;23.2;26.4
7.770;4.770;24.4;26.4
7.816;4.719;25.5;26.4
7.862;4.670;26.7;26.4
7.907;4.621;27.8;26.4
7.939;4.574;28.8;26.4
7.959;4.448;37.9;26.4
7.979;4.422;41.5;26.4
7.999;4.398;44.5;26.4
8.019;4.375;47.8;26.4
8.039;4.352;50.8;26.4
8.059;4.330;53.7;26.4
8.079;4.307;56.9;26.4
8.099;4.285;59.9;26.4
8.119;4.263;63.0;26.4
8.139;4.239;66.2;26.4
8.159;4.217;69.4;26.4
8.179;4.196;72.1;26.4
8.199;4.176;75.1;26.4
8.219;4.157;77.8;26.4
8.239;4.137;80.8;26.4
8.259;4.119;83.9;26.4
8.279;4.102;86.9;26.4
8.299;4.084;89.8;26.4
8.319;4.066;92.8;26.4
8.339;4.048;95.7;26.4
8.359;4.031;98.5;26.4
8.379;4.015;101.6;26.4
8.399;3.999;104.2;26.5
8.419;3.984;106.9;26.4
8.439;3.969;109.5;26.4
8.459;3.956;112.2;26.4
8.479;3.943;114.9;26.4
8.499;3.928;117.5;26.4
8.519;3.915;120.2;26.4
8.539;3.901;122.9;26.4
8.559;3.889;125.5;26.4
8.579;3.876;128.4;26.4
8.599;3.864;131.0;26.4
8.619;3.853;133.7;26.4
8.639;3.841;136.3;26.4
8.659;3.831;139.0;26.4
8.679;3.820;141.7;26.4
8.699;3.809;144.3;26.4
8.719;3.799;147.0;26.4
8.739;3.789;149.7;26.5
8.759;3.778;152.3;26.4
8.779;3.767;155.0;26.4
8.799;3.757;157.6;26.4
8.819;3.748;160.3;26.5
8.839;3.739;163.0;26.4
8.859;3.730;165.6;26.4
8.879;3.721;168.3;26.4
8.899;3.713;170.9;26.4
8.919;3.703;173.6;26.4
8.939;3.693;176.3;26.4
8.959;3.684;178.9;26.4
8.979;3.675;181.6;26.4
8.999;3.665;184.3;26.4
9.019;3.657;186.9;26.4
9.039;3.649;189.6;26.4
9.059;3.642;192.2;26.4
9.079;3.634;194.9;26.4
9.099;3.626;197.6;26.4
9.119;3.619;200.2;26.4
9.139;3.612;202.9;26.4
9.159;3.603;205.6;26.4
9.179;3.597;208.2;26.4
9.199;3.590;210.9;26.5
9.219;3.583;213.5;26.4
9.239;3.575;216.2;26.4
9.259;3.569;218.9;26.4
9.279;3.564;221.5;26.5
9.299;3.557;224.2;26.4
9.319;3.550;226.8;26.4
9.339;3.544;229.5;26.4
9.359;3.538;232.2;26.5
9.379;3.531;234.8;26.4
9.399;3.525;237.5;26.4
9.419;3.520;240.2;26.5
9.439;3.514;242.8;26.5
9.459;3.508;245.5;26.4
9.479;3.502;248.1;26.4
9.499;3.498;250.8;26.5
9.519;3.492;253.5;26.5
9.539;3.486;256.1;26.4
9.539;3.486;256.3;26.4
