ml;pH;sec;°C
0.000;8.048;0.0;26.8
7.500;5.396;12.0;26.8
7.500;5.447;12.4;26.8
7.545;5.486;13.5;26.8
7.590;5.431;14.7;26.8
7.636;5.369;15.8;26.8
7.682;5.277;17.0;26.8
7.727;5.177;18.1;26.8
7.773;5.095;19.3;26.8
7.819;4.969;20.4;26.8
7.864;4.876;21.5;26.8
7.910;4.788;22.7;26.8
7.956;4.685;23.8;26.8
8.002;4.563;25.2;26.8
8.022;4.408;35.2;26.7
8.042;4.384;37.9;26.7
8.062;4.358;40.5;26.7
8.082;4.340;43.2;26.8
8.102;4.316;46.1;26.7
8.122;4.292;48.9;26.7
8.142;4.265;51.6;26.7
8.162;4.246;54.2;26.8
8.182;4.223;57.3;26.8
8.202;4.202;59.9;26.7
8.222;4.181;62.6;26.7
8.242;4.160;65.3;26.7
8.262;4.143;67.9;26.8
8.282;4.125;70.6;26.7
8.302;4.105;73.3;26.7
8.322;4.088;75.9;26.7
8.342;4.069;78.6;26.8
8.362;4.049;81.2;26.7
8.382;4.032;83.9;26.7
8.402;4.016;86.6;26.7
8.422;4.000;89.2;26.7
8.442;3.985;91.9;26.7
8.462;3.972;94.5;26.7
8.482;3.956;97.2;26.7
8.502;3.942;99.9;26.7
8.522;3.928;102.5;26.7
8.542;3.913;105.2;26.7
8.562;3.901;107.9;26.7
8.582;3.888;110.5;26.7
8.602;3.872;113.2;26.7
8.622;3.861;115.8;26.7
8.642;3.849;118.5;26.7
8.662;3.838;121.2;26.8
8.682;3.828;123.8;26.7
8.702;3.817;126.5;26.7
8.722;3.806;129.1;26.7
8.742;3.795;131.8;26.7
8.762;3.785;134.5;26.7
8.782;3.774;137.1;26.7
8.802;3.764;139.8;26.7
8.822;3.754;142.5;26.7
8.842;3.744;145.3;26.7
8.862;3.736;148.0;26.7
8.882;3.727;150.6;26.7
8.902;3.718;153.3;26.7
8.922;3.707;156.0;26.7
8.942;3.699;158.6;26.7
8.962;3.690;161.3;26.7
8.982;3.682;163.9;26.7
9.002;3.673;166.6;26.7
9.022;3.665;169.3;26.7
9.042;3.657;171.9;26.7
9.062;3.651;174.6;26.7
9.082;3.643;177.6;26.7
9.102;3.635;180.3;26.7
9.122;3.628;183.0;26.7
9.142;3.621;185.6;26.7
9.162;3.612;188.3;26.7
9.182;3.606;190.9;26.7
9.202;3.598;193.6;26.7
9.222;3.591;196.3;26.7
9.242;3.586;198.9;26.7
9.262;3.579;201.6;26.7
9.282;3.573;204.2;26.7
9.302;3.567;206.9;26.7
9.322;3.560;209.6;26.7
9.342;3.553;212.2;26.7
9.362;3.546;214.9;26.7
9.382;3.541;217.6;26.7
9.402;3.535;220.2;26.7
9.422;3.529;222.9;26.7
9.442;3.523;225.5;26.7
9.462;3.518;228.2;26.7
9.482;3.513;230.9;26.7
9.502;3.507;233.5;26.7
9.522;3.501;236.2;26.7
9.542;3.495;238.8;26.7
9.562;3.490;241.5;26.7
9.582;3.485;244.2;26.7
9.582;3.484;244.4;26.7
