ml;pH;sec;°C
0.000;7.993;0.0;26.1
7.500;5.473;12.0;26.1
7.500;5.534;12.4;26.1
7.541;5.636;13.5;26.1
7.587;5.640;14.7;26.1
7.633;5.611;15.8;26.1
7.678;5.562;17.0;26.1
7.724;5.489;18.1;26.1
7.769;5.417;19.3;26.1
7.815;5.334;20.4;26.1
7.861;5.237;21.5;26.1
7.906;5.141;22.7;26.1
7.952;5.049;23.8;26.1
7.998;4.954;25.0;26.1
8.043;4.844;26.1;26.1
8.089;4.759;27.3;26.1
8.135;4.678;28.4;26.1
8.180;4.600;29.5;26.1
8.189;4.572;29.9;26.1
8.209;4.343;42.1;26.2
8.229;4.317;45.9;26.2
8.249;4.295;49.3;26.1
8.269;4.273;52.7;26.2
8.289;4.249;56.3;26.1
8.309;4.230;59.8;26.2
8.329;4.208;63.2;26.2
8.349;4.185;66.8;26.2
8.369;4.166;70.2;26.2
8.389;4.145;73.8;26.2
8.409;4.127;77.1;26.2
8.429;4.108;80.5;26.2
8.449;4.091;83.5;26.2
8.469;4.075;86.2;26.2
8.489;4.059;89.4;26.2
8.509;4.042;92.6;26.2
8.529;4.025;95.7;26.2
8.549;4.008;98.7;26.2
8.569;3.993;101.4;26.2
8.589;3.978;104.4;26.2
8.609;3.961;107.7;26.2
8.629;3.947;110.5;26.2
8.649;3.934;113.4;26.2
8.669;3.918;116.6;26.2
8.689;3.906;119.5;26.2
8.709;3.893;122.1;26.2
8.729;3.878;125.2;26.2
8.749;3.864;128.2;26.2
8.769;3.851;130.9;26.2
8.789;3.839;133.7;26.2
8.809;3.827;136.4;26.2
8.829;3.815;139.2;26.2
8.849;3.805;141.9;26.2
8.869;3.795;144.5;26.2
8.889;3.785;147.2;26.2
8.909;3.773;149.9;26.2
8.929;3.763;152.5;26.2
8.949;3.753;155.2;26.2
8.969;3.743;157.9;26.2
8.989;3.733;160.5;26.2
9.009;3.724;163.2;26.2
9.029;3.715;165.8;26.2
9.049;3.705;168.5;26.2
9.069;3.697;171.2;26.2
9.089;3.690;173.8;26.2
9.109;3.681;176.5;26.2
9.129;3.673;179.2;26.2
9.149;3.664;181.8;26.2
9.169;3.656;184.5;26.2
9.189;3.649;187.1;26.2
9.209;3.641;189.8;26.2
9.229;3.634;192.5;26.2
9.249;3.626;195.1;26.2
9.269;3.618;197.8;26.2
9.289;3.613;200.4;26.2
9.309;3.606;203.1;26.2
9.329;3.598;205.8;26.2
9.349;3.591;208.4;26.2
9.369;3.585;211.1;26.2
9.389;3.578;213.8;26.2
9.409;3.570;216.4;26.2
9.429;3.564;219.1;26.2
9.449;3.558;221.7;26.2
9.469;3.552;224.4;26.2
9.489;3.546;227.1;26.2
9.509;3.540;229.7;26.2
9.529;3.534;232.4;26.2
9.549;3.528;235.1;26.2
9.569;3.522;237.7;26.2
9.589;3.516;240.4;26.2
9.609;3.510;243.0;26.2
9.629;3.505;245.7;26.2
9.649;3.499;248.4;26.2
9.669;3.494;251.0;26.2
9.689;3.488;253.7;26.2
9.689;3.489;253.9;26.2
