ml;pH;sec;°C
0.000;7.958;0.0;26.2
7.500;5.230;12.0;26.2
7.500;5.312;12.4;26.2
7.544;5.476;13.5;26.2
7.590;5.524;14.7;26.2
7.635;5.500;15.8;26.2
7.681;5.454;17.0;26.2
7.727;5.406;18.1;26.2
7.772;5.342;19.2;26.2
7.818;5.274;20.4;26.2
7.864;5.197;21.5;26.2
7.909;5.113;22.7;26.2
7.955;5.019;23.8;26.2
8.001;4.937;25.0;26.2
8.046;4.846;26.1;26.2
8.092;4.755;27.2;26.2
8.138;4.677;28.4;26.2
8.183;4.598;29.5;26.2
8.192;4.568;29.9;26.2
8.212;4.337;41.9;26.0
8.232;4.316;45.5;26.1
8.252;4.293;49.1;26.1
8.272;4.271;52.9;26.0
8.292;4.252;55.6;26.1
8.312;4.228;59.4;26.1
8.332;4.206;63.0;26.1
8.352;4.184;66.6;26.0
8.372;4.165;69.8;26.1
8.392;4.142;73.2;26.0
8.412;4.124;76.1;26.1
8.432;4.106;79.5;26.0
8.452;4.089;82.9;26.1
8.472;4.072;86.2;26.1
8.492;4.056;89.2;26.1
8.512;4.039;92.6;26.1
8.532;4.023;95.7;26.0
8.552;4.006;98.5;26.1
8.572;3.990;101.8;26.1
8.592;3.975;105.0;26.1
8.612;3.960;108.0;26.1
8.632;3.947;111.3;26.1
8.652;3.934;114.3;26.1
8.672;3.923;117.0;26.1
8.692;3.909;120.0;26.1
8.712;3.896;123.1;26.1
8.732;3.884;126.1;26.1
8.752;3.871;129.0;26.1
8.772;3.859;131.6;26.1
8.792;3.848;134.5;26.1
8.812;3.838;137.1;26.1
8.832;3.826;139.8;26.1
8.852;3.815;142.4;26.1
8.872;3.804;145.1;26.1
8.892;3.795;147.8;26.1
8.912;3.785;150.4;26.1
8.932;3.774;153.1;26.1
8.952;3.763;155.8;26.1
8.972;3.753;158.6;26.1
8.992;3.744;161.3;26.1
9.012;3.734;163.9;26.1
9.032;3.725;166.6;26.1
9.052;3.715;169.3;26.1
9.072;3.707;171.9;26.1
9.092;3.698;174.6;26.1
9.112;3.688;177.2;26.1
9.132;3.679;179.9;26.1
9.152;3.671;182.6;26.1
9.172;3.663;185.2;26.1
9.192;3.654;187.9;26.1
9.212;3.646;190.5;26.0
9.232;3.638;193.2;26.1
9.252;3.631;195.9;26.1
9.272;3.624;198.5;26.1
9.292;3.616;201.2;26.1
9.312;3.609;203.9;26.0
9.332;3.601;206.5;26.1
9.352;3.594;209.2;26.1
9.372;3.586;211.8;26.1
9.392;3.580;214.5;26.1
9.412;3.573;217.2;26.1
9.432;3.566;219.8;26.1
9.452;3.560;222.5;26.1
9.472;3.554;225.1;26.0
9.492;3.548;227.8;26.1
9.512;3.542;230.5;26.1
9.532;3.535;233.1;26.0
9.552;3.529;235.8;26.1
9.572;3.523;238.5;26.1
9.592;3.517;241.1;26.1
9.612;3.511;243.8;26.0
9.632;3.506;246.4;26.1
9.652;3.501;249.1;26.1
9.672;3.496;251.8;26.1
9.692;3.490;254.4;26.1
9.712;3.484;257.1;26.1
9.712;3.485;257.3;26.1
