ml;pH;sec;°C
0.000;7.996;0.0;26.1
7.500;5.143;12.0;26.1
7.500;5.143;12.4;26.1
7.542;5.259;13.5;26.1
7.587;5.261;14.7;26.1
7.633;5.210;15.8;26.1
7.679;5.145;17.0;26.1
7.724;5.070;18.1;26.1
7.770;4.969;19.3;26.1
7.816;4.892;20.4;26.1
7.861;4.811;21.5;26.1
7.907;4.722;22.7;26.1
7.953;4.646;23.8;26.1
7.992;4.569;25.0;26.1
8.012;4.449;34.5;26.0
8.032;4.423;37.3;26.1
8.052;4.400;40.2;26.0
8.072;4.377;42.8;26.1
8.092;4.355;45.7;26.0
8.112;4.330;48.7;26.0
8.132;4.306;51.4;26.1
8.152;4.279;54.2;26.0
8.172;4.260;57.1;26.0
8.192;4.234;59.9;26.1
8.212;4.216;62.6;26.0
8.232;4.195;65.3;26.0
8.252;4.175;68.1;26.0
8.272;4.156;70.8;26.0
8.292;4.138;73.4;26.1
8.312;4.119;76.1;26.1
8.332;4.097;78.8;26.0
8.352;4.081;81.4;26.0
8.372;4.062;84.1;26.0
8.392;4.045;86.9;26.0
8.412;4.028;89.6;26.0
8.432;4.012;92.3;26.0
8.452;3.997;94.9;26.1
8.472;3.982;97.6;26.0
8.492;3.968;100.3;26.0
8.512;3.952;102.9;26.0
8.532;3.938;105.6;26.0
8.552;3.925;108.2;26.1
8.572;3.910;110.9;26.0
8.592;3.897;113.6;26.0
8.612;3.884;116.2;26.0
8.632;3.872;118.9;26.0
8.652;3.860;121.5;26.0
8.672;3.849;124.2;26.0
8.692;3.838;126.9;26.0
8.712;3.826;129.5;26.0
8.732;3.815;132.2;26.0
8.752;3.803;134.9;26.0
8.772;3.792;137.5;26.0
8.792;3.782;140.2;26.1
8.812;3.772;142.8;26.0
8.832;3.762;145.5;26.0
8.852;3.753;148.2;26.0
8.872;3.744;150.8;26.0
8.892;3.735;153.5;26.1
8.912;3.726;156.1;26.0
8.932;3.716;158.8;26.0
8.952;3.706;161.5;26.0
8.972;3.698;164.1;26.0
8.992;3.690;166.8;26.0
9.012;3.682;169.5;26.1
9.032;3.673;172.1;26.0
9.052;3.665;174.8;26.0
9.072;3.658;177.4;26.0
9.092;3.650;180.1;26.0
9.112;3.643;182.8;26.0
9.132;3.635;185.4;26.0
9.152;3.628;188.1;26.0
9.172;3.620;190.7;26.0
9.192;3.613;193.4;26.1
9.212;3.606;196.1;26.0
9.232;3.599;198.7;26.0
9.252;3.592;201.4;26.0
9.272;3.586;204.1;26.0
9.292;3.580;206.7;26.0
9.312;3.574;209.4;26.0
9.332;3.568;212.0;26.0
9.352;3.560;214.7;26.0
9.372;3.554;217.4;26.0
9.392;3.548;220.0;26.1
9.412;3.542;222.7;26.1
9.432;3.536;225.3;26.0
9.452;3.531;228.0;26.0
9.472;3.526;230.7;26.0
9.492;3.520;233.3;26.0
9.512;3.514;236.0;26.0
9.532;3.508;238.7;26.0
9.552;3.503;241.3;26.0
9.572;3.498;244.0;26.1
9.592;3.492;246.6;26.0
9.612;3.487;249.3;26.0
9.612;3.487;249.5;26.0
