ml;pH;sec;°C
0.000;7.961;0.0;25.2
7.500;5.232;12.0;25.2
7.500;5.235;12.4;25.2
7.545;5.242;13.5;25.2
7.590;5.218;14.7;25.2
7.636;5.167;15.8;25.2
7.682;5.115;17.0;25.2
7.727;5.055;18.1;25.2
7.773;4.971;19.2;25.2
7.819;4.912;20.4;25.2
7.864;4.863;21.5;25.2
7.910;4.815;22.7;25.2
7.955;4.730;23.8;25.2
8.001;4.687;25.0;25.2
8.047;4.631;26.1;25.2
8.092;4.590;27.2;25.2
8.101;4.578;27.6;25.2
8.121;4.514;32.6;25.3
8.141;4.484;35.2;25.2
8.161;4.461;38.3;25.2
8.181;4.436;41.1;25.2
8.201;4.411;44.0;25.2
8.221;4.389;46.8;25.3
8.241;4.367;49.7;25.3
8.261;4.343;52.3;25.2
8.281;4.321;55.2;25.3
8.301;4.297;57.9;25.2
8.321;4.275;60.5;25.2
8.341;4.254;63.2;25.3
8.361;4.231;66.0;25.2
8.381;4.209;68.7;25.3
8.401;4.188;71.4;25.2
8.421;4.169;74.2;25.3
8.441;4.149;77.1;25.2
8.461;4.131;79.7;25.2
8.481;4.113;82.4;25.2
8.501;4.093;85.0;25.2
8.521;4.076;87.7;25.3
8.541;4.057;90.4;25.2
8.561;4.039;93.0;25.2
8.581;4.023;95.7;25.3
8.601;4.006;98.4;25.2
8.621;3.990;101.0;25.2
8.641;3.974;104.3;25.2
8.661;3.961;106.9;25.2
8.681;3.948;109.6;25.3
8.701;3.932;112.2;25.3
8.721;3.918;114.9;25.2
8.741;3.904;117.6;25.2
8.761;3.891;120.2;25.3
8.781;3.878;122.9;25.2
8.801;3.865;125.5;25.2
8.821;3.854;128.2;25.2
8.841;3.842;130.9;25.3
8.861;3.830;133.5;25.2
8.881;3.819;136.2;25.2
8.901;3.809;138.9;25.3
8.921;3.797;141.5;25.2
8.941;3.785;144.2;25.2
8.961;3.775;146.8;25.2
8.981;3.764;149.5;25.2
9.001;3.754;152.2;25.2
9.021;3.745;154.8;25.2
9.041;3.735;157.5;25.2
9.061;3.726;160.2;25.2
9.081;3.718;162.8;25.2
9.101;3.709;165.5;25.2
9.121;3.699;168.1;25.2
9.141;3.690;170.8;25.2
9.161;3.682;173.5;25.2
9.181;3.673;176.1;25.2
9.201;3.664;178.8;25.2
9.221;3.656;181.4;25.2
9.241;3.649;184.1;25.2
9.261;3.641;186.8;25.2
9.281;3.634;189.4;25.2
9.301;3.627;192.1;25.2
9.321;3.619;194.8;25.2
9.341;3.611;197.4;25.2
9.361;3.604;200.1;25.2
9.381;3.597;202.8;25.2
9.401;3.589;205.4;25.2
9.421;3.583;208.1;25.2
9.441;3.577;210.7;25.2
9.461;3.570;213.4;25.2
9.481;3.563;216.1;25.2
9.501;3.558;218.7;25.2
9.521;3.551;221.4;25.2
9.541;3.544;224.0;25.2
9.561;3.538;226.7;25.2
9.581;3.532;229.4;25.2
9.601;3.526;232.0;25.2
9.621;3.520;234.7;25.2
9.641;3.514;237.4;25.2
9.661;3.509;240.0;25.2
9.681;3.504;242.7;25.2
9.701;3.497;245.3;25.2
9.721;3.492;248.0;25.2
9.741;3.486;251.0;25.2
9.741;3.486;251.2;25.2
