ml;pH;sec;°C
0.000;8.033;0.0;26.8
7.500;4.503;12.0;26.8
7.500;4.951;18.5;26.8
7.500;4.951;18.5;26.8
7.500;4.951;18.7;26.8
7.544;4.917;19.8;26.8
7.590;4.808;21.0;26.8
7.636;4.740;22.1;26.8
7.681;4.724;23.2;26.8
7.727;4.672;24.4;26.8
7.773;4.633;25.5;26.8
7.796;4.583;26.3;26.8
7.796;4.662;30.8;26.8
7.796;4.662;30.8;26.8
7.796;4.663;31.0;26.8
7.841;4.611;32.2;26.8
7.857;4.566;32.8;26.8
7.857;4.591;36.2;26.8
7.857;4.591;36.2;26.8
7.857;4.591;36.4;26.8
7.880;4.572;37.1;26.8
7.900;4.532;43.0;26.8
7.920;4.512;45.9;26.8
7.940;4.491;49.5;26.8
7.960;4.468;52.1;26.8
7.980;4.443;54.8;26.9
8.000;4.417;57.5;26.9
8.020;4.389;60.1;26.8
8.040;4.367;62.8;26.8
8.060;4.349;65.5;26.9
8.080;4.327;69.3;26.9
8.100;4.299;71.9;26.8
8.120;4.283;75.9;26.9
8.140;4.257;78.6;26.8
8.160;4.238;81.2;26.9
8.180;4.214;83.9;26.9
8.200;4.194;86.6;26.9
8.220;4.175;90.4;26.8
8.240;4.151;93.0;26.8
8.260;4.136;95.7;26.9
8.280;4.119;98.3;26.9
8.300;4.103;102.5;26.8
8.320;4.085;105.2;26.8
8.340;4.068;107.9;26.9
8.360;4.051;110.5;26.9
8.380;4.033;113.2;26.8
8.400;4.018;116.4;26.8
8.420;3.999;119.1;26.8
8.440;3.988;121.7;26.9
8.460;3.972;124.4;26.9
8.480;3.959;127.8;26.8
8.500;3.945;130.5;26.8
8.520;3.931;133.7;26.8
8.540;3.918;137.5;26.9
8.560;3.905;140.2;26.9
8.580;3.891;142.8;26.8
8.600;3.880;145.5;26.8
8.620;3.868;148.9;26.9
8.640;3.855;152.5;26.8
8.660;3.845;155.2;26.9
8.680;3.834;158.4;26.8
8.700;3.824;161.7;26.8
8.720;3.813;164.9;26.8
8.740;3.800;167.6;26.8
8.760;3.791;171.0;26.8
8.780;3.781;174.4;26.8
8.800;3.771;177.8;26.8
8.820;3.761;180.5;26.8
8.840;3.751;183.1;26.8
8.860;3.743;185.8;26.8
8.880;3.734;188.5;26.8
8.900;3.725;191.1;26.8
8.920;3.716;193.8;26.8
8.940;3.708;196.5;26.8
8.960;3.700;199.1;26.8
8.980;3.691;201.8;26.8
9.000;3.683;204.4;26.8
9.020;3.674;207.1;26.8
9.040;3.667;209.8;26.8
9.060;3.659;212.4;26.8
9.080;3.652;215.1;26.8
9.100;3.646;217.8;26.8
9.120;3.638;220.4;26.8
9.140;3.629;223.1;26.8
9.160;3.623;225.7;26.8
9.180;3.616;228.4;26.8
9.200;3.609;231.1;26.8
9.220;3.603;233.7;26.8
9.240;3.595;236.4;26.8
9.260;3.590;239.1;26.8
9.280;3.584;241.7;26.8
9.300;3.577;244.9;26.8
9.320;3.571;247.6;26.8
9.340;3.565;250.3;26.8
9.360;3.558;252.9;26.8
9.380;3.552;255.6;26.8
9.400;3.546;258.3;26.8
9.420;3.540;261.5;26.8
9.440;3.535;264.2;26.8
9.460;3.530;266.8;26.8
9.480;3.523;269.5;26.8
9.500;3.518;272.1;26.8
9.520;3.513;274.8;26.8
9.540;3.507;277.5;26.8
9.560;3.502;280.1;26.8
9.580;3.496;282.8;26.8
9.600;3.491;285.8;26.8
9.620;3.485;288.5;26.8
9.620;3.486;288.7;26.8
