ml;pH;sec;°C
0.000;7.969;0.0;25.6
7.500;5.288;12.0;25.6
7.500;5.333;12.4;25.6
7.545;5.417;13.5;25.6
7.590;5.375;14.7;25.6
7.636;5.334;15.8;25.6
7.682;5.269;17.0;25.6
7.727;5.182;18.1;25.6
7.773;5.093;19.2;25.6
7.819;5.011;20.4;25.6
7.864;4.923;21.5;25.6
7.910;4.853;22.7;25.6
7.955;4.797;23.8;25.6
8.001;4.723;25.0;25.6
8.047;4.662;26.1;25.6
8.092;4.599;27.2;25.6
8.109;4.571;27.8;25.6
8.129;4.461;35.6;25.7
8.149;4.435;38.8;25.8
8.169;4.410;42.1;25.8
8.189;4.385;44.7;25.8
8.209;4.361;47.8;25.8
8.229;4.339;50.4;25.8
8.249;4.317;53.7;25.8
8.269;4.297;56.7;25.8
8.289;4.274;59.7;25.8
8.309;4.253;62.4;25.8
8.329;4.229;65.6;25.8
8.349;4.208;68.7;25.9
8.369;4.187;71.7;25.8
8.389;4.166;74.6;25.8
8.409;4.147;77.4;25.9
8.429;4.128;80.5;25.8
8.449;4.110;83.3;25.9
8.469;4.093;86.0;25.8
8.489;4.075;89.0;25.9
8.509;4.058;91.7;25.9
8.529;4.040;94.7;25.8
8.549;4.023;97.4;25.8
8.569;4.006;100.2;25.8
8.589;3.990;102.9;25.9
8.609;3.976;105.6;25.9
8.629;3.962;108.4;25.9
8.649;3.947;111.3;25.9
8.669;3.934;114.1;25.8
8.689;3.921;116.8;25.9
8.709;3.907;119.6;25.9
8.729;3.895;122.3;25.9
8.749;3.880;125.0;25.9
8.769;3.869;127.8;25.9
8.789;3.856;130.5;25.8
8.809;3.844;133.1;25.9
8.829;3.833;135.8;25.9
8.849;3.822;138.5;25.8
8.869;3.812;141.1;25.9
8.889;3.802;143.8;25.9
8.909;3.791;146.4;25.8
8.929;3.780;149.1;25.8
8.949;3.770;151.8;25.9
8.969;3.760;154.4;25.9
8.989;3.750;157.1;25.8
9.009;3.740;159.8;25.9
9.029;3.733;162.4;25.9
9.049;3.724;165.1;25.9
9.069;3.715;167.7;25.9
9.089;3.707;170.4;25.9
9.109;3.699;173.1;25.9
9.129;3.689;175.7;25.8
9.149;3.682;178.4;25.9
9.169;3.674;181.0;25.9
9.189;3.665;183.7;25.9
9.209;3.658;186.4;25.9
9.229;3.651;189.0;25.9
9.249;3.644;191.7;25.9
9.269;3.636;194.4;25.9
9.289;3.629;197.0;25.9
9.309;3.622;199.7;25.9
9.329;3.614;202.3;25.9
9.349;3.606;205.0;25.9
9.369;3.600;207.7;25.9
9.389;3.593;210.3;25.9
9.409;3.586;213.0;25.9
9.429;3.579;215.7;25.9
9.449;3.572;218.3;25.9
9.469;3.564;221.0;25.9
9.489;3.558;223.6;25.9
9.509;3.552;226.3;25.9
9.529;3.544;229.0;25.9
9.549;3.537;231.6;25.9
9.569;3.531;234.3;25.9
9.589;3.525;236.9;25.9
9.609;3.518;239.6;25.9
9.629;3.512;242.3;25.9
9.649;3.507;244.9;25.9
9.669;3.502;247.6;25.9
9.689;3.496;250.3;25.9
9.709;3.489;252.9;25.9
9.709;3.490;253.1;25.9
9.729;3.484;255.8;25.9
9.729;3.484;256.0;25.9
