ml;pH;sec;°C
0.000;8.020;0.0;26.2
7.500;5.120;12.0;26.2
7.500;5.169;12.4;26.2
7.545;5.232;13.5;26.2
7.591;5.216;14.7;26.2
7.636;5.171;15.8;26.2
7.682;5.125;17.0;26.2
7.727;5.042;18.1;26.2
7.773;4.953;19.2;26.2
7.819;4.889;20.4;26.2
7.864;4.811;21.5;26.2
7.910;4.742;22.7;26.2
7.956;4.655;23.8;26.2
7.987;4.575;24.8;26.2
8.007;4.506;29.5;26.2
8.027;4.464;32.4;26.2
8.047;4.433;35.0;26.2
8.067;4.408;37.7;26.3
8.087;4.381;40.4;26.2
8.107;4.358;43.0;26.2
8.127;4.336;45.7;26.3
8.147;4.309;48.4;26.3
8.167;4.286;51.0;26.2
8.187;4.261;54.2;26.2
8.207;4.239;56.9;26.2
8.227;4.219;59.6;26.3
8.247;4.198;62.2;26.2
8.267;4.182;64.9;26.2
8.287;4.160;67.6;26.3
8.307;4.142;70.2;26.3
8.327;4.122;72.9;26.2
8.347;4.102;75.5;26.3
8.367;4.081;78.2;26.3
8.387;4.064;81.1;26.3
8.407;4.049;83.7;26.2
8.427;4.033;86.4;26.2
8.447;4.017;89.0;26.3
8.467;4.001;91.7;26.3
8.487;3.985;94.9;26.3
8.507;3.971;97.6;26.3
8.527;3.957;100.3;26.2
8.547;3.941;102.9;26.2
8.567;3.927;105.6;26.3
8.587;3.913;108.2;26.2
8.607;3.899;110.9;26.2
8.627;3.887;113.6;26.3
8.647;3.875;116.2;26.2
8.667;3.863;118.9;26.2
8.687;3.852;121.6;26.2
8.707;3.841;124.2;26.3
8.727;3.829;126.9;26.2
8.747;3.818;129.5;26.2
8.767;3.807;132.2;26.2
8.787;3.795;134.9;26.2
8.807;3.784;137.5;26.2
8.827;3.776;140.2;26.3
8.847;3.765;142.9;26.2
8.867;3.756;145.5;26.2
8.887;3.747;148.6;26.3
8.907;3.738;151.2;26.2
8.927;3.728;153.9;26.2
8.947;3.719;156.5;26.3
8.967;3.710;159.2;26.2
8.987;3.701;161.9;26.2
9.007;3.693;164.5;26.2
9.027;3.686;167.2;26.3
9.047;3.677;169.9;26.2
9.067;3.669;172.5;26.2
9.087;3.662;175.2;26.3
9.107;3.654;177.8;26.2
9.127;3.645;180.5;26.2
9.147;3.639;183.2;26.3
9.167;3.631;185.8;26.2
9.187;3.623;188.5;26.2
9.207;3.616;191.1;26.3
9.227;3.610;193.8;26.3
9.247;3.603;196.5;26.2
9.267;3.597;199.1;26.2
9.287;3.591;201.8;26.3
9.307;3.584;204.5;26.2
9.327;3.578;207.1;26.2
9.347;3.571;209.8;26.3
9.367;3.565;212.4;26.2
9.387;3.557;215.1;26.2
9.407;3.552;217.8;26.3
9.427;3.546;220.4;26.3
9.447;3.540;223.1;26.2
9.467;3.534;225.8;26.2
9.487;3.529;228.4;26.3
9.507;3.523;231.1;26.3
9.527;3.516;233.7;26.2
9.547;3.510;236.4;26.2
9.567;3.505;239.1;26.3
9.587;3.498;241.7;26.3
9.607;3.492;244.4;26.2
9.627;3.486;247.0;26.3
9.627;3.486;247.2;26.3
