ml;pH;sec;°C
0.000;8.015;0.0;26.6
7.500;5.108;12.0;26.6
7.500;5.149;12.4;26.6
7.542;5.232;13.5;26.6
7.587;5.226;14.7;26.6
7.633;5.182;15.8;26.6
7.679;5.106;17.0;26.6
7.724;5.031;18.1;26.6
7.770;4.940;19.3;26.6
7.815;4.867;20.4;26.6
7.861;4.788;21.5;26.6
7.907;4.716;22.7;26.6
7.952;4.636;23.8;26.6
7.984;4.565;24.8;26.6
8.004;4.397;35.6;26.5
8.024;4.372;39.2;26.5
8.044;4.347;42.6;26.5
8.064;4.324;46.1;26.5
8.084;4.301;49.1;26.5
8.104;4.279;52.5;26.5
8.124;4.255;55.8;26.5
8.144;4.234;59.2;26.5
8.164;4.211;62.2;26.5
8.184;4.189;65.5;26.5
8.204;4.169;68.7;26.5
8.224;4.151;71.9;26.5
8.244;4.132;75.0;26.6
8.264;4.113;78.0;26.5
8.284;4.095;80.7;26.5
8.304;4.077;84.1;26.5
8.324;4.060;86.7;26.5
8.344;4.042;89.8;26.6
8.364;4.024;93.0;26.5
8.384;4.008;96.1;26.6
8.404;3.992;99.1;26.5
8.424;3.977;101.8;26.5
8.444;3.963;104.6;26.5
8.464;3.949;107.5;26.6
8.484;3.935;110.3;26.5
8.504;3.921;113.2;26.5
8.524;3.908;115.8;26.5
8.544;3.894;118.9;26.6
8.564;3.881;121.9;26.5
8.584;3.867;124.8;26.5
8.604;3.855;127.4;26.5
8.624;3.844;130.1;26.6
8.644;3.833;132.7;26.6
8.664;3.821;135.4;26.5
8.684;3.811;138.1;26.5
8.704;3.801;140.7;26.5
8.724;3.790;143.4;26.6
8.744;3.778;146.1;26.6
8.764;3.768;148.7;26.5
8.784;3.758;151.4;26.5
8.804;3.747;154.0;26.6
8.824;3.739;156.7;26.6
8.844;3.730;159.4;26.5
8.864;3.720;162.0;26.5
8.884;3.712;164.7;26.6
8.904;3.703;167.3;26.5
8.924;3.694;170.0;26.5
8.944;3.685;172.7;26.5
8.964;3.677;175.3;26.6
8.984;3.669;178.0;26.5
9.004;3.660;180.7;26.5
9.024;3.652;183.3;26.5
9.044;3.645;186.0;26.5
9.064;3.638;188.6;26.6
9.084;3.631;191.3;26.5
9.104;3.623;194.0;26.5
9.124;3.616;196.6;26.5
9.144;3.609;199.3;26.6
9.164;3.601;202.0;26.5
9.184;3.593;204.6;26.5
9.204;3.587;207.3;26.5
9.224;3.581;209.9;26.6
9.244;3.574;212.6;26.5
9.264;3.568;215.3;26.5
9.284;3.562;217.9;26.5
9.304;3.556;220.6;26.6
9.324;3.549;223.2;26.5
9.344;3.543;225.9;26.5
9.364;3.536;228.6;26.5
9.384;3.531;231.2;26.6
9.404;3.525;233.9;26.6
9.424;3.518;236.6;26.5
9.444;3.513;239.2;26.5
9.464;3.508;241.9;26.6
9.484;3.502;244.5;26.6
9.504;3.497;247.2;26.5
9.524;3.491;249.9;26.5
9.544;3.486;252.5;26.5
9.544;3.486;252.7;26.5
