"","date","day","run","fragment_ID","genus","family","jar","salinity","net_photo_ug_h","respiration_ug_h","gross_photo_ug_h","O2_start_L","O2_end_L","O2_start_D","O2_end_D","sum_surface_cm2","sum_volume_cm3","net_photo_h_surface","respiration_h_surface","gross_photo_h_surface","category","species"
"24",2019-07-22,"1","3","AmuA3","Acropora","Acroporidae",6,"34",573.4206,489.9892,1063.4098,6.92,7.18,7.18,6.84,26.7264,3689.56,21.4552128232759,18.3335278975096,39.7887407207854,"single","Amu"
"25",2019-07-22,"1","3","PloB3","Porites","Poritidae",7,"34",631.3961,538.6554,1170.0515,6.85,7.15,7.17,6.8,16.2556,8125.29,38.8417591476168,33.1366052314279,71.9783643790448,"single","Plo"
"26",2019-07-22,"1","3","PloC3","Porites","Poritidae",8,"34",438.8134,392.6569,831.4703,6.88,7.08,7.06,6.78,13.2414,6696.01,33.1395018653617,29.6537299681303,62.7932318334919,"single","Plo"
"27",2019-07-22,"1","3","PloD3","Porites","Poritidae",9,"34",509.427,333.3183,842.7453,6.9,7.14,7.02,6.77,13.6231,6560.56,37.3943522399454,24.4671403718684,61.8614926118138,"single","Plo"
"28",2019-07-23,"2","1","PdaA1","Pocillopora","Pocilloporidae",1,"34.2",593.9637,447.6611,1041.6248,6.97,7.22,7.28,7,21.6293,2160.07,27.4610690128668,20.6969758614472,48.158044874314,"single","Pda"
"29",2019-07-23,"2","1","PdaB1","Pocillopora","Pocilloporidae",2,"34.2",1314.223,467.6683,1781.8913,6.92,7.53,7.51,7.22,34.6448,3583.01,37.9342065764559,13.4989464508382,51.4331530272941,"single","Pda"
"30",2019-07-23,"2","1","PdaD1","Pocillopora","Pocilloporidae",3,"34.2",356.3782,527.6899,884.0681,6.98,7.12,7.28,6.96,30.2213,3909.65,11.7922855734201,17.4608603865486,29.2531459599686,"single","Pda"
"31",2019-07-23,"2","1","AcyB1","Acropora","Acroporidae",4,"34.2",248.6782,167.5603,416.2385,6.98,7.06,7.09,6.95,12.938,1228.35,19.2207605503169,12.9510202504251,32.171780800742,"single","Acy"
"32",2019-07-23,"2","1","AcyD1","Acropora","Acroporidae",5,"34.2",187.5675,81.0776,268.6451,6.98,7.03,7.02,6.92,17.3011,1697.72,10.8413626879216,4.68626850315876,15.5276311910803,"single","Acy"
"33",2019-07-23,"2","1","AcyA1","Acropora","Acroporidae",6,"34.2",243.8377,81.0776,324.9153,6.98,7.06,7.03,6.93,24.5063,2597.61,9.95000061208751,3.30843905444722,13.2584396665347,"single","Acy"
"34",2019-07-23,"2","1","PcyB1","Porites","Poritidae",7,"34.2",337.6215,139.163,476.7845,6.98,7.11,7.08,6.95,17.1381,3952.57,19.7000542650586,8.12009499302723,27.8201492580858,"single","Pcy"
"35",2019-07-23,"2","1","PcyC1","Porites","Poritidae",8,"34.2",318.8647,225.081,543.9457,6.95,7.07,7.06,6.88,19.0542,4269.74,16.734614940538,11.8126712220928,28.5472861626308,"single","Pcy"
"36",2019-07-23,"2","1","PcyA1","Porites","Poritidae",9,"34.2",206.3242,197.2484,403.5726,6.94,7,6.96,6.8,13.109,1928.61,15.739125791441,15.0467922801129,30.7859180715539,"single","Pcy"
"37",2019-07-23,"2","2","PdaA2","Pocillopora","Pocilloporidae",1,"34.2",1092.1577,342.4274,1434.5851,6.81,7.4,7.22,6.99,18.9445,2037.34,57.6503840164692,18.0752936208398,75.725677637309,"single","Pda"
"38",2019-07-23,"2","2","PdaB2","Pocillopora","Pocilloporidae",2,"34.2",1243.4622,690.9399,1934.4021,6.94,7.65,7.84,7.43,39.7983,4132.81,31.2441033913509,17.361040546958,48.6051439383089,"single","Pda"
"39",2019-07-23,"2","2","PdaD2","Pocillopora","Pocilloporidae",3,"34.2",812.0569,1097.5378,1909.5947,6.97,7.45,7.61,6.97,26.9432,4223.72,30.1395862406841,40.7352430297812,70.8748292704653,"single","Pda"
"40",2019-07-23,"2","2","AcyB3","Acropora","Acroporidae",4,"34.2",148.1817,373.7479,521.9296,6.96,7.09,7.3,7.03,13.4686,1264.39,11.0020120873736,27.7495730810923,38.7515851684659,"single","Acy"
"41",2019-07-23,"2","2","AcyD2","Acropora","Acroporidae",5,"34.2",148.1817,197.2138,345.3955,6.91,7.04,7.16,6.99,20.8642,2170.66,7.10219898198829,9.45225793464403,16.5544569166323,"single","Acy"
"42",2019-07-23,"2","2","AcyA2","Acropora","Acroporidae",6,"34.2",136.8139,108.9468,245.7607,6.94,7.06,7.08,6.96,22.4039,1896.82,6.10670017273778,4.86284977169154,10.9695499444293,"single","Acy"
"43",2019-07-23,"2","2","PcyB2","Porites","Poritidae",7,"34.2",75.4282,91.2934,166.7216,6.94,7.03,7.07,6.96,17.8277,3394.96,4.230955198932,5.12087369655087,9.35182889548287,"single","Pcy"
"44",2019-07-23,"2","2","PcyC3","Porites","Poritidae",8,"34.2",211.8409,126.6002,338.4411,6.92,7.08,7.07,6.94,17.1689,3570.06,12.3386413806359,7.37380962088427,19.7124510015202,"single","Pcy"
"45",2019-07-23,"2","2","PcyA2","Porites","Poritidae",9,"34.2",257.3119,250.1741,507.486,6.94,7.13,7.05,6.85,19.899,3782.54,12.9308960249259,12.5721945826423,25.5030906075682,"single","Pcy"
"46",2019-07-23,"2","3","PdaA4","Pocillopora","Pocilloporidae",1,"34.2",425.153,303.335,728.488,6.98,7.23,7.14,6.94,16.2451,1787.41,26.1711531477184,18.6723996774412,44.8435528251596,"single","Pda"
"47",2019-07-23,"2","3","PdaB4","Pocillopora","Pocilloporidae",2,"34.2",796.2543,772.4693,1568.7236,7,7.45,7.56,7.14,31.8182,3352.75,25.0251208427881,24.2775926985185,49.3027135413065,"single","Pda"
"48",2019-07-23,"2","3","PdaD4","Pocillopora","Pocilloporidae",3,"34.2",431.4053,623.4502,1054.8555,7.01,7.28,7.26,6.9,30.7342,3921.35,14.0366529794171,20.2852262300629,34.32187920948,"single","Pda"
"49",2019-07-23,"2","3","AcyB4","Acropora","Acroporidae",4,"34.2",93.7837,303.335,397.1187,7.04,7.13,7.11,6.91,15.5753,1360.59,6.0213093808787,19.4753873119619,25.4966966928406,"single","Acy"
"50",2019-07-23,"2","3","AcyD3","Acropora","Acroporidae",5,"34.2",93.7837,38.7236,132.5073,7.04,7.13,7.01,6.94,17.1199,1615.04,5.47805185777954,2.2619057354307,7.73995759321024,"single","Acy"
"51",2019-07-23,"2","3","AcyA3","Acropora","Acroporidae",6,"34.2",150.054,135.5326,285.5866,7.03,7.15,7.03,6.91,22.571,1979.76,6.64808825484028,6.00472287448496,12.6528111293252,"single","Acy"
"52",2019-07-23,"2","3","PcyB4","Porites","Poritidae",7,"34.2",93.7838,193.6181,287.4019,7.02,7.11,7.04,6.89,12.0131,2023.94,7.80679424961084,16.1172470053525,23.9240412549633,"single","Pcy"
"53",2019-07-23,"2","3","PcyC4","Porites","Poritidae",8,"34.2",206.3243,232.3417,438.666,7,7.15,7.03,6.86,13.2236,2651.41,15.6027329925285,17.5702304969902,33.1729634895187,"single","Pcy"
"54",2019-07-23,"2","3","PcyA4","Porites","Poritidae",9,"34.2",206.3242,154.8945,361.2187,6.99,7.14,7.01,6.88,12.5349,1991.13,16.4599797365755,12.3570590910179,28.8170388275934,"single","Pcy"
"55",2019-07-24,"3","1","SpiA1","Stylophora","Pocilloporidae",1,"34.4",565.2034,983.9905,1549.1939,6.86,7.18,7.31,6.7,27.1892,4553.5,20.7877907404411,36.1904910773395,56.9782818177806,"single","Spi"
"56",2019-07-24,"3","1","SpiB1","Stylophora","Pocilloporidae",2,"34.4",945.3402,731.6416,1676.9818,6.93,7.44,7.52,7.02,41.0438,8694.19,23.0324726268036,17.8258738225993,40.8583464494028,"single","Spi"
