"","Filename","jar","run","day","S","TA_mmolL","fragment_ID"
"99","Alkalinity_preT7_5_05_08_19_10_37_34","10","1","11",35.5,2.54399079524619,"control"
"100","Alkalinity_preT7_5_05_08_19_11_29_06","1","2","11",35.5,2.52906687588496,"PdaA4"
"101","Alkalinity_preT7_5_05_08_19_11_41_05","2","2","11",35.5,2.4999982216786,"PdaB4"
"102","Alkalinity_preT7_5_05_08_19_11_48_31","3","2","11",35.5,2.5224755012002,"PdaD4"
"103","Alkalinity_preT7_5_05_08_19_11_55_07","4","2","11",35.5,2.54011610770984,"AcyB4"
"104","Alkalinity_preT7_5_05_08_19_12_03_11","5","2","11",35.5,2.53881315609831,"AcyD3"
"105","Alkalinity_preT7_5_05_08_19_12_10_02","6","2","11",35.5,2.54377988783629,"AcyA3"
"106","Alkalinity_preT7_5_05_08_19_12_16_27","7","2","11",35.5,2.52377120527766,"PcyB4"
"107","Alkalinity_preT7_5_05_08_19_12_22_38","8","2","11",35.5,2.53242884893013,"PcyC4"
"108","Alkalinity_preT7_5_05_08_19_12_28_45","9","2","11",35.5,2.53132149340979,"PcyA4"
"109","Alkalinity_preT7_5_05_08_19_12_34_38","10","2","11",35.5,2.53448230404203,"control"
"110","Alkalinity_preT7_5_05_08_19_13_25_13","1","3","11",35.5,2.56182348391897,"PdaA1"
"111","Alkalinity_preT7_5_05_08_19_13_42_59","2","3","11",35.5,2.53787135803248,"PdaB1"
"112","Alkalinity_preT7_5_05_08_19_13_50_32","3","3","11",35.5,2.5577887757856,"PdaD1"
"113","Alkalinity_preT7_5_05_08_19_13_57_37","4","3","11",35.5,2.55653852048242,"AcyB1"
"114","Alkalinity_preT7_5_05_08_19_14_05_16","5","3","11",35.5,2.56153643415788,"AcyD1"
"115","Alkalinity_preT7_5_05_08_19_14_11_51","6","3","11",35.5,2.56558840506151,"AcyA1"
"116","Alkalinity_preT7_5_05_08_19_14_18_20","7","3","11",35.5,2.55022531830397,"PcyB1"
"117","Alkalinity_preT7_5_05_08_19_14_24_33","8","3","11",35.5,2.55322954504432,"PcyC1"
"118","Alkalinity_preT7_5_05_08_19_14_30_41","9","3","11",35.5,2.56091856444157,"PcyA1"
"119","Alkalinity_preT7_5_05_08_19_14_37_13","10","3","11",35.5,2.56387687878378,"control"
"120","Alkalinity_preT7_5_06_08_19_09_59_33","1","1","12",35.6,2.58184771522236,"SpiA2"
"121","Alkalinity_preT7_5_06_08_19_10_07_25","2","1","12",35.6,2.57081538502582,"SpiB2"
"122","Alkalinity_preT7_5_06_08_19_10_14_16","3","1","12",35.6,2.58543545883855,"SpiD2"
"123","Alkalinity_preT7_5_06_08_19_10_22_15","4","1","12",35.6,2.5838840673245,"MdiC3"
"124","Alkalinity_preT7_5_06_08_19_10_28_12","5","1","12",35.6,2.59759195130579,"MdiA3"
"125","Alkalinity_preT7_5_06_08_19_10_35_32","6","1","12",35.6,2.59558424623606,"MdiD3"
"126","Alkalinity_preT7_5_06_08_19_10_41_43","7","1","12",35.6,2.60493632505317,"PruD3"
"127","Alkalinity_preT7_5_06_08_19_10_48_09","8","1","12",35.6,2.6061876787649,"PruE3"
"128","Alkalinity_preT7_5_06_08_19_10_54_27","9","1","12",35.6,2.60937430672599,"PruA3"
"129","Alkalinity_preT7_5_06_08_19_11_02_23","10","1","12",35.6,2.60642385616657,"control"
"130","Alkalinity_preT7_5_06_08_19_11_44_51","1","2","12",35.6,2.55111779241826,"SpiA4"
"131","Alkalinity_preT7_5_06_08_19_11_54_34","2","2","12",35.6,2.56685008286711,"SpiB3"
"132","Alkalinity_preT7_5_06_08_19_12_02_50","3","2","12",35.6,2.56903264537224,"SpiD4"
"133","Alkalinity_preT7_5_06_08_19_12_09_42","4","2","12",35.6,2.57379447285572,"MdiC4"
"134","Alkalinity_preT7_5_06_08_19_12_15_30","5","2","12",35.6,2.57664234548898,"MdiA4"
"135","Alkalinity_preT7_5_06_08_19_12_22_11","6","2","12",35.6,2.57801232236367,"MdiD4"
"136","Alkalinity_preT7_5_06_08_19_12_31_09","7","2","12",35.6,2.59131624064089,"PruD4"
"137","Alkalinity_preT7_5_06_08_19_12_37_32","8","2","12",35.6,2.60576167366864,"PruE4"
"138","Alkalinity_preT7_5_06_08_19_12_43_49","9","2","12",35.6,2.60527446699864,"PruA4"
"139","Alkalinity_preT7_5_06_08_19_12_50_23","10","2","12",35.6,2.60457209194349,"control"
"140","Alkalinity_preT7_5_06_08_19_13_42_39","1","3","12",35.6,2.54185665729623,"SpiA1"
"141","Alkalinity_preT7_5_06_08_19_13_54_28","2","3","12",35.6,2.52405153015306,"SpiB1"
"142","Alkalinity_preT7_5_06_08_19_14_01_33","3","3","12",35.6,2.56334644543404,"SpiD1"
"143","Alkalinity_preT7_5_06_08_19_14_07_47","4","3","12",35.6,2.57336282865237,"MdiC1"
"144","Alkalinity_preT7_5_06_08_19_14_14_56","5","3","12",35.6,2.57002983736907,"MdiA1"
"145","Alkalinity_preT7_5_06_08_19_14_21_34","6","3","12",35.6,2.57343497478679,"MdiD1"
"146","Alkalinity_preT7_5_06_08_19_14_28_25","7","3","12",35.6,2.5889338536912,"PruD1"
"147","Alkalinity_preT7_5_06_08_19_14_34_38","8","3","12",35.6,2.58499669200645,"PruE2"
"148","Alkalinity_preT7_5_06_08_19_14_41_14","9","3","12",35.6,2.58556968179496,"PruA1"
"149","Alkalinity_preT7_5_06_08_19_14_47_30","10","3","12",35.6,2.58555801394452,"control"
"150","Alkalinity_preT7_5_07_08_19_09_38_56","1","1","13",35.6,2.55486123666991,"PveF1_MdiC1_PruD1"
"151","Alkalinity_preT7_5_07_08_19_09_51_05","2","1","13",35.6,2.55629856413579,"PveA1_MdiA1_PruE2"
"152","Alkalinity_preT7_5_07_08_19_09_57_28","3","1","13",35.6,2.54408688136194,"PveB1_MdiD1_PruA1"
"153","Alkalinity_preT7_5_07_08_19_10_05_52","4","1","13",35.6,2.60702942529794,"PdaA1_AmuD1_PloB1"
"154","Alkalinity_preT7_5_07_08_19_10_12_27","5","1","13",35.6,2.59328981871991,"PdaB1_AmuB1_PloC1"
"155","Alkalinity_preT7_5_07_08_19_10_19_09","6","1","13",35.6,2.60746234702157,"PdaD1_AmuA1_PloD1"
"156","Alkalinity_preT7_5_07_08_19_10_25_43","7","1","13",35.6,2.58421664727934,"SpiA1_AcyB1_PcyB1"
"157","Alkalinity_preT7_5_07_08_19_10_31_23","8","1","13",35.6,2.57513981024764,"SpiB1_AcyD1_PcyC1"
"158","Alkalinity_preT7_5_07_08_19_10_38_11","9","1","13",35.6,2.6210085187272,"SpiD1_AcyA1_PcyA1"
"159","Alkalinity_preT7_5_07_08_19_10_46_03","10","1","13",35.6,2.62981908074804,"control"
"160","Alkalinity_preT7_5_07_08_19_11_28_51","1","2","13",35.6,2.52708063816989,"PveF3_MdiC3_PruD3"
"161","Alkalinity_preT7_5_07_08_19_11_40_51","2","2","13",35.6,2.54749887748668,"PveA2_MdiA3_PruE3"
"162","Alkalinity_preT7_5_07_08_19_11_47_46","3","2","13",35.6,2.52433459933679,"PveB3_MdiD3_PruA3"
"163","Alkalinity_preT7_5_07_08_19_11_54_44","4","2","13",35.6,2.60479309949131,"PdaA2_AmuD2_PloB2"
"164","Alkalinity_preT7_5_07_08_19_12_02_24","5","2","13",35.6,2.56794009586667,"PdaB2_AmuB2_PloC2"
"165","Alkalinity_preT7_5_07_08_19_12_08_28","6","2","13",35.6,2.5900803787106,"PdaD2_AmuA2_PloD2"
"166","Alkalinity_preT7_5_07_08_19_12_18_19","7","2","13",35.6,2.57580743775632,"SpiA2_AcyB3_PcyB2"
"167","Alkalinity_preT7_5_07_08_19_12_25_10","8","2","13",35.6,2.58181471002469,"SpiB2_AcyD2_PcyC3"
"168","Alkalinity_preT7_5_07_08_19_12_31_28","9","2","13",35.6,2.57601179881583,"SpiD2_AcyA2_PcyA2"
"169","Alkalinity_preT7_5_07_08_19_12_37_40","10","2","13",35.6,2.61928164865577,"control"
"170","Alkalinity_preT7_5_07_08_19_13_28_32","1","3","13",35.6,2.51234704227818,"PveF4_MdiC4_PruD4"
"171","Alkalinity_preT7_5_07_08_19_13_40_09","2","3","13",35.6,2.51218642827753,"PveA4_MdiA4_PruE4"
"172","Alkalinity_preT7_5_07_08_19_13_48_11","3","3","13",35.6,2.514578668563,"PveB4_MdiD4_PruA4"
"173","Alkalinity_preT7_5_07_08_19_13_54_39","4","3","13",35.6,2.57209331621744,"PdaA4_AmuD3_PloB3"
"174","Alkalinity_preT7_5_07_08_19_14_01_54","5","3","13",35.6,2.55389969043576,"PdaB4_AmuB4_PloC3"
"175","Alkalinity_preT7_5_07_08_19_14_08_42","6","3","13",35.6,2.56225052807148,"PdaD4_AmuA3_PloD3"
"176","Alkalinity_preT7_5_07_08_19_14_15_32","7","3","13",35.6,2.53978870125367,"SpiA4_AcyB4_PcyB4"
