ml;pH;sec;°C
0.000;8.018;0.0;26.4
7.500;6.484;12.0;26.4
7.500;6.419;12.4;26.4
7.542;6.347;13.5;26.4
7.587;6.265;14.7;26.4
7.633;6.166;15.8;26.4
7.679;6.057;17.0;26.4
7.724;5.950;18.1;26.4
7.770;5.838;19.2;26.4
7.815;5.723;20.4;26.4
7.861;5.611;21.5;26.4
7.907;5.495;22.7;26.4
7.952;5.382;23.8;26.4
7.998;5.270;25.0;26.4
8.044;5.165;26.1;26.4
8.089;5.067;27.2;26.4
8.135;4.974;28.4;26.4
8.180;4.869;29.5;26.4
8.226;4.787;30.7;26.4
8.272;4.694;31.8;26.4
8.317;4.611;33.0;26.4
8.334;4.572;33.5;26.4
8.354;4.253;48.4;26.3
8.374;4.228;52.0;26.3
8.394;4.208;55.0;26.3
8.414;4.183;58.8;26.3
8.434;4.161;62.6;26.3
8.454;4.144;66.0;26.3
8.474;4.124;69.7;26.3
8.494;4.105;72.9;26.3
8.514;4.086;76.5;26.3
8.534;4.065;79.7;26.3
8.554;4.048;82.6;26.3
8.574;4.032;86.2;26.3
8.594;4.015;89.2;26.3
8.614;3.999;92.1;26.3
8.634;3.986;94.9;26.3
8.654;3.971;98.2;26.3
8.674;3.957;100.8;26.3
8.694;3.942;103.9;26.3
8.714;3.928;107.1;26.3
8.734;3.914;110.1;26.3
8.754;3.899;113.4;26.3
8.774;3.886;116.4;26.3
8.794;3.872;119.3;26.3
8.814;3.862;121.9;26.3
8.834;3.849;124.6;26.3
8.854;3.838;127.3;26.3
8.874;3.828;129.9;26.3
8.894;3.817;132.6;26.3
8.914;3.807;135.2;26.3
8.934;3.795;137.9;26.3
8.954;3.784;140.6;26.3
8.974;3.773;143.2;26.3
8.994;3.761;145.9;26.3
9.014;3.752;148.6;26.3
9.034;3.744;151.2;26.3
9.054;3.734;153.9;26.3
9.074;3.725;156.5;26.3
9.094;3.715;159.2;26.3
9.114;3.706;161.9;26.3
9.134;3.699;164.5;26.3
9.154;3.690;167.2;26.3
9.174;3.679;169.8;26.3
9.194;3.673;172.5;26.3
9.214;3.663;175.2;26.3
9.234;3.655;177.8;26.3
9.254;3.648;180.5;26.3
9.274;3.641;183.2;26.3
9.294;3.633;185.8;26.3
9.314;3.626;188.5;26.3
9.334;3.618;191.1;26.3
9.354;3.611;193.8;26.3
9.374;3.604;196.5;26.3
9.394;3.596;199.1;26.3
9.414;3.590;201.8;26.3
9.434;3.584;204.4;26.3
9.454;3.577;207.1;26.3
9.474;3.571;209.8;26.3
9.494;3.564;212.4;26.3
9.514;3.558;215.1;26.3
9.534;3.552;217.8;26.3
9.554;3.545;220.4;26.3
9.574;3.538;223.1;26.3
9.594;3.532;225.7;26.3
9.614;3.527;228.4;26.3
9.634;3.521;231.1;26.3
9.654;3.515;233.7;26.3
9.674;3.510;236.4;26.3
9.694;3.505;239.0;26.3
9.714;3.499;241.7;26.3
9.734;3.493;244.4;26.2
9.754;3.487;247.0;26.3
9.754;3.487;247.2;26.3
