ml;pH;sec;°C
0.000;8.021;0.0;25.9
7.500;4.281;12.0;25.9
7.500;5.045;20.6;25.9
7.500;5.045;20.6;25.9
7.500;5.045;20.8;25.9
7.544;5.015;21.9;25.9
7.590;4.967;23.0;25.9
7.635;4.873;24.2;25.9
7.681;4.846;25.3;25.9
7.727;4.788;26.5;25.9
7.772;4.768;27.6;25.9
7.818;4.712;28.7;25.9
7.864;4.688;29.9;25.9
7.909;4.647;31.0;25.9
7.955;4.620;32.2;25.9
7.979;4.556;32.9;25.9
7.979;4.611;37.1;25.9
7.979;4.611;37.1;25.9
7.979;4.611;37.3;25.9
8.014;4.552;38.5;25.9
8.034;4.533;44.9;25.9
8.054;4.522;49.5;25.9
8.074;4.508;52.1;25.9
8.094;4.486;55.0;25.9
8.114;4.461;57.7;25.9
8.134;4.437;60.5;25.9
8.154;4.410;63.2;25.9
8.174;4.382;67.3;25.9
8.194;4.359;70.0;25.9
8.214;4.336;72.7;25.9
8.234;4.314;75.3;25.9
8.254;4.297;78.0;25.9
8.274;4.279;80.7;25.9
8.294;4.248;83.3;25.9
8.314;4.233;86.0;25.9
8.334;4.207;88.6;25.9
8.354;4.184;91.3;25.9
8.374;4.166;94.9;25.9
8.394;4.147;97.6;25.9
8.414;4.124;100.2;25.9
8.434;4.104;102.9;25.9
8.454;4.092;105.6;25.9
8.474;4.075;108.2;25.9
8.494;4.059;110.9;25.9
8.514;4.042;113.6;25.9
8.534;4.022;116.2;25.9
8.554;4.008;118.9;25.9
8.574;3.991;121.5;25.9
8.594;3.975;125.1;25.9
8.614;3.963;127.8;25.9
8.634;3.948;130.5;25.9
8.654;3.936;133.1;25.9
8.674;3.920;136.4;25.9
8.694;3.906;139.0;25.9
8.714;3.895;141.7;25.9
8.734;3.880;145.1;25.9
8.754;3.869;147.8;25.9
8.774;3.855;151.2;25.9
8.794;3.844;153.9;25.9
8.814;3.833;157.1;25.9
8.834;3.824;159.7;26.0
8.854;3.811;162.4;26.0
8.874;3.802;165.1;25.9
8.894;3.793;167.7;25.9
8.914;3.783;170.4;25.9
8.934;3.772;173.1;26.0
8.954;3.760;175.7;25.9
8.974;3.751;178.4;25.9
8.994;3.743;181.0;26.0
9.014;3.733;183.7;26.0
9.034;3.723;186.4;25.9
9.054;3.714;189.4;25.9
9.074;3.706;192.1;26.0
9.094;3.698;194.7;26.0
9.114;3.687;198.0;26.0
9.134;3.678;201.0;26.0
9.154;3.668;204.4;25.9
9.174;3.660;207.5;26.0
9.194;3.651;210.9;26.0
9.214;3.642;213.9;25.9
9.234;3.635;216.6;25.9
9.254;3.628;219.6;26.0
9.274;3.620;222.3;25.9
9.294;3.612;225.0;25.9
9.314;3.605;227.6;26.0
9.334;3.597;230.3;26.0
9.354;3.589;233.1;26.0
9.374;3.583;235.8;26.0
9.394;3.575;238.5;26.0
9.414;3.568;241.1;25.9
9.434;3.563;243.8;26.0
9.454;3.557;246.8;26.0
9.474;3.551;249.5;25.9
9.494;3.543;252.1;25.9
9.514;3.538;254.8;26.0
9.534;3.532;257.5;26.0
9.554;3.525;260.1;26.0
9.574;3.519;263.2;25.9
9.594;3.514;265.8;26.0
9.614;3.509;268.5;26.0
9.634;3.503;271.2;26.0
9.654;3.497;274.2;25.9
9.674;3.492;276.9;26.0
9.694;3.487;279.5;26.0
9.694;3.487;279.7;26.0
