ml;pH;sec;°C
0.000;7.954;0.0;25.5
7.500;5.353;12.0;25.5
7.500;5.396;12.4;25.5
7.544;5.458;13.5;25.5
7.589;5.431;14.7;25.5
7.635;5.385;15.8;25.5
7.681;5.320;17.0;25.5
7.726;5.248;18.1;25.5
7.772;5.175;19.3;25.5
7.818;5.092;20.4;25.5
7.863;4.988;21.5;25.5
7.909;4.915;22.7;25.5
7.955;4.846;23.8;25.5
8.000;4.794;25.0;25.5
8.046;4.717;26.1;25.5
8.091;4.657;27.3;25.5
8.138;4.569;28.6;25.5
8.158;4.464;38.5;25.6
8.178;4.434;41.1;25.5
8.198;4.410;43.8;25.5
8.218;4.388;46.6;25.5
8.238;4.364;49.5;25.5
8.258;4.344;52.3;25.6
8.278;4.321;55.0;25.6
8.298;4.300;57.7;25.5
8.318;4.275;60.3;25.6
8.338;4.251;63.0;25.5
8.358;4.232;66.2;25.6
8.378;4.207;68.9;25.5
8.398;4.188;71.5;25.5
8.418;4.169;74.2;25.6
8.438;4.150;76.9;25.6
8.458;4.131;79.5;25.5
8.478;4.113;82.2;25.5
8.498;4.096;84.9;25.6
8.518;4.077;87.5;25.6
8.538;4.060;90.2;25.5
8.558;4.039;92.8;25.5
8.578;4.022;95.5;25.6
8.598;4.007;98.2;25.6
8.618;3.993;100.8;25.5
8.638;3.978;103.5;25.6
8.658;3.963;106.1;25.6
8.678;3.951;108.8;25.5
8.698;3.937;111.5;25.5
8.718;3.923;114.1;25.6
8.738;3.910;116.8;25.6
8.758;3.895;119.5;25.5
8.778;3.882;122.1;25.6
8.798;3.870;124.8;25.6
8.818;3.859;127.4;25.5
8.838;3.847;130.1;25.6
8.858;3.837;132.8;25.6
8.878;3.826;135.4;25.6
8.898;3.815;138.1;25.6
8.918;3.804;140.7;25.6
8.938;3.793;143.4;25.6
8.958;3.781;146.1;25.5
8.978;3.772;149.1;25.6
8.998;3.763;151.8;25.6
9.018;3.752;154.4;25.6
9.038;3.743;157.1;25.6
9.058;3.734;159.8;25.6
9.078;3.725;162.4;25.6
9.098;3.716;165.1;25.5
9.118;3.707;167.7;25.6
9.138;3.698;170.4;25.6
9.158;3.689;173.1;25.6
9.178;3.681;175.7;25.6
9.198;3.673;178.4;25.6
9.218;3.664;181.1;25.6
9.238;3.656;183.7;25.6
9.258;3.648;186.4;25.6
9.278;3.642;189.0;25.6
9.298;3.633;191.7;25.6
9.318;3.625;194.4;25.6
9.338;3.616;197.0;25.6
9.358;3.608;199.7;25.6
9.378;3.601;202.3;25.6
9.398;3.593;205.0;25.6
9.418;3.587;207.7;25.6
9.438;3.580;210.3;25.6
9.458;3.573;213.0;25.6
9.478;3.566;215.7;25.6
9.498;3.559;218.3;25.6
9.518;3.554;221.0;25.6
9.538;3.547;223.6;25.6
9.558;3.540;226.3;25.6
9.578;3.534;229.0;25.6
9.598;3.528;231.6;25.6
9.618;3.522;234.3;25.6
9.638;3.515;236.9;25.6
9.658;3.510;239.6;25.6
9.678;3.505;242.3;25.6
9.698;3.499;244.9;25.6
9.718;3.493;247.6;25.6
9.738;3.487;250.3;25.6
9.738;3.487;250.4;25.6
