filename,fragment_ID,species,genus,family,colony,col_frag,surface_mm2,volume_cm3
Pve_B1_colur,Pve-B1,Pve,Pocillopora,Pocilloporidae,B,B1,3781.49,10269.1
Pve_B3_color,Pve-B3,Pve,Pocillopora,Pocilloporidae,B,B3,2976.34,8293.31
Pve_B4_color,Pve-B4,Pve,Pocillopora,Pocilloporidae,B,B4,2972.12,7337.84
Pve_F1_color,Pve-F1,Pve,Pocillopora,Pocilloporidae,F,F1,4182.3,11350.44
Pve_F3_color,Pve-F3,Pve,Pocillopora,Pocilloporidae,F,F3,3115.32,7342.34
Pve_F4_color,Pve-F4,Pve,Pocillopora,Pocilloporidae,F,F4,3442.89,9306.9
Spi_A1_color,Spi-A1,Spi,Stylophora,Pocilloporidae,A,A1,2718.92,4553.5
Spi_A2_color,Spi-A2,Spi,Stylophora,Pocilloporidae,A,A2,2724.64,4425.26
Spi_A4_color,Spi-A4,Spi,Stylophora,Pocilloporidae,A,A4,3967.15,6484.63
Spi_B1_color,Spi-B1,Spi,Stylophora,Pocilloporidae,B,B1,4104.38,8694.19
Spi_B2_color,Spi-B2,Spi,Stylophora,Pocilloporidae,B,B2,4373.61,7491.94
Spi_B3_color,Spi-B3,Spi,Stylophora,Pocilloporidae,B,B3,2537.71,5065.74
Spi_D1_color,Spi-D1,Spi,Stylophora,Pocilloporidae,D,D1,2470.64,4033.11
Spi_D2_color,Spi-D2,Spi,Stylophora,Pocilloporidae,D,D2,2720.23,5102.41
Spi_D4_color,Spi-D4,Spi,Stylophora,Pocilloporidae,D,D4,2850.14,6490.73
