ml;pH;sec;°C
0.000;8.022;0.0;26.4
7.500;4.776;12.0;26.4
7.500;4.744;12.4;26.4
7.545;4.797;13.5;26.4
7.591;4.793;14.7;26.4
7.636;4.771;15.8;26.4
7.682;4.759;17.0;26.4
7.728;4.684;18.1;26.4
7.773;4.620;19.2;26.4
7.819;4.590;20.4;26.4
7.827;4.582;20.8;26.4
7.827;4.609;24.4;26.8
7.827;4.609;24.4;26.8
7.827;4.610;24.6;26.8
7.871;4.584;25.9;26.8
7.891;4.535;30.7;26.8
7.911;4.511;33.5;26.9
7.931;4.489;36.4;26.9
7.951;4.459;39.0;26.9
7.971;4.440;42.3;26.9
7.991;4.413;44.9;26.9
8.011;4.389;47.6;27.0
8.031;4.369;50.4;26.9
8.051;4.344;53.1;27.0
8.071;4.318;55.8;26.9
8.091;4.301;58.4;26.9
8.111;4.282;61.1;27.0
8.131;4.259;63.7;27.0
8.151;4.235;66.6;27.0
8.171;4.213;69.3;27.0
8.191;4.186;71.9;26.9
8.211;4.172;75.5;27.0
8.231;4.153;78.4;27.0
8.251;4.133;81.4;27.0
8.271;4.112;84.1;27.0
8.291;4.098;86.7;27.0
8.311;4.077;89.4;27.0
8.331;4.057;92.1;27.0
8.351;4.043;94.7;27.0
8.371;4.025;97.6;27.0
8.391;4.009;100.2;27.0
8.411;3.992;102.9;27.0
8.431;3.979;105.6;27.0
8.451;3.962;108.2;27.0
8.471;3.950;110.9;27.0
8.491;3.935;113.5;27.0
8.511;3.922;116.2;27.0
8.531;3.905;118.9;27.0
8.551;3.893;121.5;27.0
8.571;3.878;124.2;27.0
8.591;3.864;126.9;27.0
8.611;3.853;129.5;27.0
8.631;3.842;132.2;27.0
8.651;3.831;134.8;27.0
8.671;3.821;137.5;27.0
8.691;3.811;140.2;27.0
8.711;3.800;142.8;27.0
8.731;3.788;145.5;27.0
8.751;3.777;148.2;27.0
8.771;3.767;150.8;27.0
8.791;3.757;153.5;27.0
8.811;3.747;156.1;27.0
8.831;3.738;158.8;27.0
8.851;3.729;161.5;27.0
8.871;3.721;164.1;27.0
8.891;3.711;166.8;27.0
8.911;3.702;169.4;27.0
8.931;3.694;172.1;27.0
8.951;3.684;174.8;27.0
8.971;3.676;177.4;27.0
8.991;3.668;180.1;27.0
9.011;3.660;182.8;27.0
9.031;3.651;185.4;27.0
9.051;3.645;188.1;27.0
9.071;3.638;190.7;27.0
9.091;3.631;193.4;27.0
9.111;3.622;196.1;27.0
9.131;3.615;198.7;27.0
9.151;3.608;201.4;27.0
9.171;3.601;204.0;27.0
9.191;3.593;206.7;27.0
9.211;3.586;209.4;27.0
9.231;3.581;212.0;27.0
9.251;3.573;214.7;27.0
9.271;3.568;217.4;27.0
9.291;3.561;220.0;27.0
9.311;3.555;222.7;27.0
9.331;3.549;225.3;27.0
9.351;3.543;228.0;27.0
9.371;3.535;230.7;27.0
9.391;3.529;233.3;27.0
9.411;3.524;236.0;27.0
9.431;3.518;238.7;27.0
9.451;3.511;241.3;27.0
9.471;3.506;244.0;27.0
9.491;3.501;246.6;27.0
9.511;3.494;249.3;27.0
9.531;3.488;252.0;27.0
9.531;3.489;252.2;27.0
