ml;pH;sec;°C
0.000;8.031;0.0;26.6
7.500;5.315;12.0;26.6
7.500;5.237;12.4;26.6
7.545;5.164;13.5;26.6
7.591;5.104;14.7;26.6
7.636;5.005;15.8;26.6
7.682;4.930;17.0;26.6
7.728;4.846;18.1;26.6
7.773;4.775;19.3;26.6
7.819;4.713;20.4;26.6
7.865;4.649;21.5;26.6
7.910;4.593;22.7;26.6
7.919;4.570;23.1;26.6
7.939;4.513;28.4;26.8
7.959;4.484;31.2;26.8
7.979;4.459;34.1;26.8
7.999;4.431;36.7;26.8
8.019;4.408;39.6;26.8
8.039;4.388;42.3;26.8
8.059;4.364;45.1;26.8
8.079;4.341;48.0;26.8
8.099;4.319;50.8;26.8
8.119;4.291;53.5;26.8
8.139;4.270;56.1;26.9
8.159;4.249;59.0;26.8
8.179;4.228;61.8;26.8
8.199;4.205;64.5;26.8
8.219;4.184;67.2;26.9
8.239;4.165;69.8;26.9
8.259;4.148;72.7;26.9
8.279;4.128;75.3;26.9
8.299;4.111;78.2;26.9
8.319;4.090;80.9;26.9
8.339;4.073;83.5;26.9
8.359;4.055;86.2;26.8
8.379;4.036;88.8;26.8
8.399;4.020;91.5;26.9
8.419;4.004;94.2;26.9
8.439;3.988;96.8;26.8
8.459;3.974;99.5;26.9
8.479;3.959;102.2;26.9
8.499;3.945;104.8;26.9
8.519;3.931;107.5;26.9
8.539;3.916;110.1;26.8
8.559;3.902;112.8;26.9
8.579;3.890;115.5;26.9
8.599;3.875;118.1;26.8
8.619;3.862;120.8;26.9
8.639;3.853;123.5;26.9
8.659;3.841;126.1;26.9
8.679;3.829;128.8;26.8
8.699;3.819;131.4;26.9
8.719;3.807;134.1;26.9
8.739;3.796;136.8;26.8
8.759;3.785;139.4;26.8
8.779;3.774;142.1;26.9
8.799;3.764;144.8;26.9
8.819;3.753;147.4;26.8
8.839;3.744;150.1;26.9
8.859;3.735;152.7;26.9
8.879;3.727;155.4;26.8
8.899;3.717;158.1;26.8
8.919;3.708;160.7;26.9
8.939;3.699;163.4;26.9
8.959;3.689;166.1;26.9
8.979;3.680;168.7;26.8
8.999;3.671;171.4;26.9
9.019;3.664;174.0;26.9
9.039;3.657;176.7;26.8
9.059;3.649;179.4;26.9
9.079;3.642;182.0;26.9
9.099;3.635;184.7;26.9
9.119;3.626;187.3;26.8
9.139;3.619;190.0;26.9
9.159;3.610;192.7;26.9
9.179;3.604;195.3;26.8
9.199;3.598;198.0;26.8
9.219;3.591;200.7;26.9
9.239;3.585;203.3;26.9
9.259;3.579;206.0;26.8
9.279;3.572;208.6;26.9
9.299;3.567;211.3;26.9
9.319;3.560;214.0;26.9
9.339;3.552;216.6;26.8
9.359;3.546;219.3;26.9
9.379;3.540;222.0;26.9
9.399;3.533;224.6;26.9
9.419;3.527;227.3;26.8
9.439;3.522;229.9;26.9
9.459;3.516;232.6;26.9
9.479;3.508;235.3;26.8
9.499;3.502;237.9;26.8
9.519;3.494;240.6;26.9
9.539;3.489;243.3;26.8
9.539;3.489;243.4;26.8
