ml;pH;sec;°C
0.000;7.968;0.0;26.6
7.500;4.315;12.0;26.6
7.500;4.965;19.1;26.6
7.500;4.965;19.1;26.6
7.500;4.966;19.3;26.6
7.544;4.938;20.4;26.6
7.590;4.863;21.5;26.6
7.635;4.826;22.7;26.6
7.681;4.784;23.8;26.6
7.727;4.763;24.9;26.6
7.772;4.743;26.1;26.6
7.818;4.678;27.2;26.6
7.864;4.640;28.4;26.6
7.910;4.576;29.7;26.6
7.910;4.604;33.5;26.7
7.910;4.604;33.5;26.7
7.910;4.604;33.7;26.7
7.940;4.566;34.7;26.7
7.960;4.545;40.9;26.7
7.980;4.523;44.9;26.7
8.000;4.498;47.8;26.7
8.020;4.476;52.0;26.7
8.040;4.449;54.6;26.7
8.060;4.432;57.3;26.7
8.080;4.407;59.9;26.7
8.100;4.387;62.6;26.6
8.120;4.366;65.3;26.7
8.140;4.341;67.9;26.7
8.160;4.312;70.8;26.7
8.180;4.293;75.1;26.7
8.200;4.271;77.8;26.7
8.220;4.249;80.5;26.7
8.240;4.228;83.1;26.6
8.260;4.209;85.8;26.7
8.280;4.190;88.5;26.7
8.300;4.167;91.1;26.7
8.320;4.149;95.1;26.7
8.340;4.127;97.8;26.6
8.360;4.105;100.4;26.7
8.380;4.090;103.1;26.7
8.400;4.072;105.8;26.7
8.420;4.053;108.4;26.7
8.440;4.038;111.1;26.7
8.460;4.022;113.7;26.7
8.480;4.006;116.4;26.7
8.500;3.989;119.1;26.7
8.520;3.971;121.7;26.7
8.540;3.960;124.4;26.7
8.560;3.940;127.0;26.7
8.580;3.930;129.7;26.7
8.600;3.916;132.4;26.7
8.620;3.903;135.0;26.7
8.640;3.889;137.7;26.7
8.660;3.878;140.4;26.7
8.680;3.865;143.0;26.7
8.700;3.854;145.7;26.7
8.720;3.842;148.3;26.7
8.740;3.829;151.0;26.7
8.760;3.818;153.7;26.7
8.780;3.806;156.3;26.7
8.800;3.794;159.0;26.7
8.820;3.785;161.6;26.7
8.840;3.775;165.1;26.7
8.860;3.764;167.7;26.7
8.880;3.757;170.4;26.7
8.900;3.746;173.1;26.7
8.920;3.736;175.7;26.7
8.940;3.728;178.4;26.7
8.960;3.717;181.0;26.7
8.980;3.707;183.7;26.7
9.000;3.699;186.4;26.7
9.020;3.690;189.0;26.7
9.040;3.681;191.7;26.7
9.060;3.674;194.4;26.7
9.080;3.666;197.0;26.7
9.100;3.658;199.7;26.7
9.120;3.650;202.3;26.7
9.140;3.642;205.0;26.7
9.160;3.634;207.7;26.7
9.180;3.626;210.3;26.7
9.200;3.619;213.0;26.7
9.220;3.613;215.7;26.7
9.240;3.605;218.3;26.7
9.260;3.599;221.0;26.7
9.280;3.593;223.6;26.7
9.300;3.586;226.3;26.7
9.320;3.579;229.0;26.7
9.340;3.572;231.6;26.7
9.360;3.565;234.3;26.7
9.380;3.558;236.9;26.7
9.400;3.552;239.6;26.7
9.420;3.546;242.3;26.7
9.440;3.541;244.9;26.7
9.460;3.535;247.6;26.7
9.480;3.529;250.3;26.7
9.500;3.524;252.9;26.7
9.520;3.518;255.6;26.7
9.540;3.512;258.2;26.7
9.560;3.506;260.9;26.7
9.580;3.501;263.6;26.7
9.600;3.495;266.2;26.7
9.620;3.490;268.9;26.7
9.620;3.490;269.1;26.7
