ml;pH;sec;°C
0.000;7.976;0.0;26.5
7.500;5.166;12.0;26.5
7.500;5.177;12.4;26.5
7.544;5.181;13.5;26.5
7.589;5.129;14.7;26.5
7.635;5.048;15.8;26.5
7.681;4.948;17.0;26.5
7.726;4.843;18.1;26.5
7.772;4.801;19.3;26.5
7.818;4.745;20.4;26.5
7.863;4.690;21.5;26.5
7.909;4.627;22.7;26.5
7.933;4.580;23.4;26.5
7.953;4.523;29.1;26.7
7.973;4.493;32.2;26.7
7.993;4.463;34.9;26.7
8.013;4.442;38.1;26.8
8.033;4.412;42.6;26.7
8.053;4.392;45.5;26.7
8.073;4.369;48.4;26.8
8.093;4.349;51.2;26.8
8.113;4.326;54.4;26.8
8.133;4.301;57.3;26.8
8.153;4.276;60.0;26.8
8.173;4.253;62.8;26.8
8.193;4.233;65.7;26.8
8.213;4.214;68.5;26.8
8.233;4.192;71.4;26.8
8.253;4.168;74.0;26.8
8.273;4.152;76.9;26.8
8.293;4.133;79.7;26.8
8.313;4.113;82.4;26.8
8.333;4.095;85.2;26.8
8.353;4.076;88.3;26.8
8.373;4.057;91.1;26.8
8.393;4.038;93.8;26.8
8.413;4.022;96.5;26.8
8.433;4.005;99.1;26.8
8.453;3.992;101.8;26.8
8.473;3.976;104.4;26.8
8.493;3.961;107.1;26.8
8.513;3.948;109.8;26.8
8.533;3.931;112.4;26.8
8.553;3.918;115.1;26.8
8.573;3.903;117.8;26.8
8.593;3.887;120.4;26.8
8.613;3.877;123.1;26.8
8.633;3.864;125.7;26.8
8.653;3.852;128.4;26.8
8.673;3.841;131.1;26.8
8.693;3.830;133.7;26.8
8.713;3.819;136.4;26.8
8.733;3.807;139.0;26.8
8.753;3.795;141.7;26.8
8.773;3.784;144.4;26.8
8.793;3.774;147.0;26.8
8.813;3.764;149.7;26.8
8.833;3.753;152.4;26.7
8.853;3.744;155.0;26.8
8.873;3.734;157.7;26.8
8.893;3.725;160.3;26.8
8.913;3.716;163.0;26.8
8.933;3.707;165.7;26.8
8.953;3.698;168.3;26.8
8.973;3.689;171.0;26.7
8.993;3.680;173.7;26.8
9.013;3.672;176.3;26.8
9.033;3.663;179.0;26.8
9.053;3.655;181.6;26.7
9.073;3.648;184.3;26.8
9.093;3.641;187.0;26.8
9.113;3.633;189.6;26.7
9.133;3.625;192.3;26.8
9.153;3.618;194.9;26.8
9.173;3.609;197.6;26.7
9.193;3.602;200.3;26.8
9.213;3.596;202.9;26.8
9.233;3.589;205.6;26.7
9.253;3.582;208.3;26.7
9.273;3.576;210.9;26.8
9.293;3.569;213.6;26.7
9.313;3.563;216.2;26.7
9.333;3.556;218.9;26.7
9.353;3.550;221.6;26.8
9.373;3.543;224.2;26.7
9.393;3.536;226.9;26.7
9.413;3.530;229.6;26.7
9.433;3.525;232.2;26.8
9.453;3.519;234.9;26.8
9.473;3.514;237.5;26.8
9.493;3.508;240.2;26.7
9.513;3.503;242.9;26.7
9.533;3.497;245.5;26.8
9.553;3.492;248.2;26.8
9.573;3.486;250.8;26.7
9.573;3.485;251.0;26.7
