ml;pH;sec;°C
0.000;7.944;0.0;25.9
7.500;4.311;12.0;25.9
7.500;4.905;18.5;25.9
7.500;4.905;18.5;25.9
7.500;4.905;18.7;25.9
7.545;4.825;19.8;25.9
7.590;4.746;20.9;25.9
7.636;4.637;22.1;25.9
7.681;4.612;23.2;25.9
7.705;4.587;24.0;25.9
7.705;4.704;28.9;25.9
7.705;4.704;28.9;25.9
7.705;4.704;29.2;25.9
7.750;4.560;30.5;25.9
7.750;4.653;35.6;25.9
7.750;4.653;35.6;25.9
7.750;4.653;35.8;25.9
7.796;4.532;37.1;25.9
7.796;4.604;42.1;25.9
7.796;4.604;42.1;25.9
7.796;4.605;42.2;25.9
7.825;4.557;43.2;25.9
7.845;4.553;50.8;25.9
7.865;4.533;54.8;25.9
7.885;4.510;59.2;25.9
7.905;4.488;63.5;25.9
7.925;4.465;67.9;25.9
7.945;4.440;72.5;25.9
7.965;4.416;77.2;25.9
7.985;4.393;81.2;25.9
8.005;4.369;83.9;25.9
8.025;4.348;87.7;25.9
8.045;4.324;91.5;25.9
8.065;4.304;95.1;25.9
8.085;4.282;98.9;25.9
8.105;4.258;101.6;25.9
8.125;4.237;105.7;25.9
8.145;4.213;110.1;25.9
8.165;4.191;114.1;25.9
8.185;4.171;118.1;25.9
8.205;4.153;121.1;25.9
8.225;4.133;124.6;25.9
8.245;4.113;127.2;25.9
8.265;4.097;130.6;25.9
8.285;4.079;134.1;25.9
8.305;4.062;136.7;25.9
8.325;4.043;140.1;25.9
8.345;4.026;143.6;25.9
8.365;4.007;147.0;25.9
8.385;3.992;150.8;25.9
8.405;3.976;154.0;25.9
8.425;3.961;157.2;25.9
8.445;3.948;160.3;25.9
8.465;3.934;163.7;25.9
8.485;3.921;166.4;25.9
8.505;3.907;169.4;25.9
8.525;3.893;172.8;25.9
8.545;3.879;176.1;25.9
8.565;3.866;179.9;25.9
8.585;3.853;183.5;25.9
8.605;3.842;186.1;25.9
8.625;3.831;188.8;25.9
8.645;3.818;192.4;25.9
8.665;3.810;195.1;25.9
8.685;3.798;198.5;25.9
8.705;3.788;201.7;25.9
8.725;3.777;205.0;25.9
8.745;3.766;208.2;25.9
8.765;3.756;211.2;25.9
8.785;3.745;214.3;25.9
8.805;3.736;217.9;25.9
8.825;3.727;220.6;25.9
8.845;3.719;223.2;25.9
8.865;3.709;226.3;25.9
8.885;3.701;228.9;25.9
8.905;3.692;232.1;25.9
8.925;3.683;235.2;25.9
8.945;3.674;238.2;25.9
8.965;3.666;241.5;25.9
8.985;3.657;244.9;25.9
9.005;3.649;248.1;25.9
9.025;3.642;250.8;25.9
9.045;3.634;254.0;25.9
9.065;3.627;257.2;25.9
9.085;3.621;260.3;25.9
9.105;3.613;263.7;25.9
9.125;3.606;266.9;25.9
9.145;3.598;269.6;25.9
9.165;3.591;272.4;25.9
9.185;3.584;275.5;25.9
9.205;3.577;278.5;25.9
9.225;3.570;281.4;25.9
9.245;3.565;284.4;25.9
9.265;3.560;287.1;25.9
9.285;3.552;289.7;25.9
9.305;3.546;293.0;25.9
9.325;3.540;295.6;25.9
9.345;3.534;298.3;25.9
9.365;3.528;301.3;25.9
9.385;3.521;304.4;25.9
9.405;3.515;307.4;25.9
9.425;3.510;310.5;25.9
9.445;3.504;313.1;25.9
9.465;3.499;316.4;25.9
9.485;3.493;319.0;25.9
9.505;3.488;322.3;25.9
9.505;3.488;322.4;25.9
