ml;pH;sec;°C
0.000;7.920;0.0;25.7
7.500;4.707;12.0;25.7
7.500;4.861;12.4;25.7
7.543;5.034;13.5;25.7
7.589;5.055;14.7;25.7
7.634;5.015;15.8;25.7
7.680;4.951;17.0;25.7
7.725;4.878;18.1;25.7
7.771;4.779;19.3;25.7
7.817;4.671;20.4;25.7
7.863;4.592;21.5;25.7
7.871;4.563;21.9;25.7
7.891;4.370;32.4;25.7
7.911;4.341;36.6;25.7
7.931;4.319;39.4;25.7
7.951;4.291;43.2;25.7
7.971;4.269;46.4;25.7
7.991;4.247;50.1;25.7
8.011;4.224;52.7;25.7
8.031;4.206;55.4;25.7
8.051;4.186;58.0;25.7
8.071;4.167;60.7;25.7
8.091;4.146;64.3;25.7
8.111;4.127;67.7;25.7
8.131;4.107;71.2;25.7
8.151;4.087;74.4;25.7
8.171;4.070;77.6;25.7
8.191;4.052;80.3;25.7
8.211;4.036;83.5;25.7
8.231;4.021;86.4;25.7
8.251;4.006;89.0;25.7
8.271;3.990;91.7;25.7
8.291;3.975;94.3;25.7
8.311;3.960;97.2;25.7
8.331;3.946;99.9;25.7
8.351;3.931;102.5;25.7
8.371;3.915;105.8;25.7
8.391;3.901;108.4;25.7
8.411;3.890;111.1;25.7
8.431;3.877;113.7;25.7
8.451;3.864;116.4;25.7
8.471;3.854;119.1;25.7
8.491;3.842;121.7;25.7
8.511;3.831;124.4;25.7
8.531;3.818;127.0;25.7
8.551;3.807;129.7;25.7
8.571;3.796;132.4;25.7
8.591;3.784;135.0;25.6
8.611;3.774;137.7;25.7
8.631;3.765;140.4;25.7
8.651;3.755;143.0;25.7
8.671;3.746;145.7;25.7
8.691;3.736;148.3;25.7
8.711;3.728;151.0;25.7
8.731;3.719;153.7;25.7
8.751;3.707;156.3;25.7
8.771;3.698;159.0;25.7
8.791;3.691;161.6;25.7
8.811;3.682;164.3;25.7
8.831;3.674;167.0;25.7
8.851;3.666;169.6;25.7
8.871;3.659;172.3;25.7
8.891;3.652;175.0;25.7
8.911;3.644;177.6;25.7
8.931;3.637;180.3;25.7
8.951;3.628;182.9;25.7
8.971;3.620;185.6;25.7
8.991;3.613;188.3;25.7
9.011;3.606;190.9;25.7
9.031;3.600;193.6;25.7
9.051;3.591;196.2;25.6
9.071;3.586;198.9;25.7
9.091;3.580;201.6;25.7
9.111;3.573;204.2;25.7
9.131;3.566;206.9;25.6
9.151;3.560;209.6;25.7
9.171;3.553;212.2;25.7
9.191;3.547;214.9;25.7
9.211;3.541;217.5;25.7
9.231;3.535;220.2;25.7
9.251;3.530;222.9;25.7
9.271;3.523;225.5;25.7
9.291;3.519;228.2;25.7
9.311;3.513;230.8;25.7
9.331;3.506;233.5;25.6
9.351;3.501;236.2;25.7
9.371;3.496;238.8;25.7
9.391;3.490;241.5;25.7
9.391;3.490;241.7;25.7
