ml;pH;sec;°C
0.000;7.939;0.0;25.6
7.500;5.544;12.0;25.6
7.500;5.535;12.4;25.6
7.543;5.550;13.5;25.6
7.588;5.489;14.7;25.6
7.634;5.427;15.8;25.6
7.680;5.363;17.0;25.6
7.725;5.274;18.1;25.6
7.771;5.169;19.2;25.6
7.817;5.110;20.4;25.6
7.862;5.025;21.5;25.6
7.908;4.953;22.7;25.6
7.953;4.873;23.8;25.6
7.999;4.806;25.0;25.6
8.045;4.741;26.1;25.6
8.090;4.685;27.3;25.6
8.136;4.646;28.4;25.6
8.182;4.606;29.5;25.6
8.198;4.566;30.1;25.6
8.218;4.531;35.0;25.7
8.238;4.507;38.1;25.6
8.258;4.479;40.8;25.6
8.278;4.455;43.4;25.6
8.298;4.437;46.3;25.6
8.318;4.407;48.9;25.6
8.338;4.386;51.6;25.6
8.358;4.356;54.2;25.7
8.378;4.337;56.9;25.7
8.398;4.317;59.6;25.7
8.418;4.290;62.2;25.6
8.438;4.268;64.9;25.6
8.458;4.248;67.6;25.7
8.478;4.228;70.2;25.7
8.498;4.210;72.9;25.6
8.518;4.188;75.5;25.6
8.538;4.166;78.2;25.7
8.558;4.149;80.9;25.7
8.578;4.129;83.5;25.6
8.598;4.107;86.2;25.6
8.618;4.092;88.9;25.7
8.638;4.077;91.5;25.7
8.658;4.061;94.2;25.7
8.678;4.043;96.8;25.6
8.698;4.024;99.5;25.6
8.718;4.012;102.2;25.7
8.738;3.992;104.8;25.7
8.758;3.976;107.5;25.6
8.778;3.962;110.1;25.7
8.798;3.948;112.8;25.7
8.818;3.932;115.5;25.7
8.838;3.918;118.1;25.6
8.858;3.905;120.8;25.7
8.878;3.891;123.5;25.7
8.898;3.876;126.1;25.7
8.918;3.863;128.8;25.6
8.938;3.852;131.4;25.7
8.958;3.839;134.1;25.7
8.978;3.825;136.8;25.7
8.998;3.814;139.4;25.7
9.018;3.803;142.1;25.7
9.038;3.792;144.7;25.7
9.058;3.780;147.4;25.7
9.078;3.771;150.1;25.7
9.098;3.760;152.7;25.7
9.118;3.749;155.4;25.7
9.138;3.740;158.1;25.7
9.158;3.727;160.7;25.7
9.178;3.718;163.4;25.7
9.198;3.709;166.0;25.7
9.218;3.702;168.7;25.7
9.238;3.694;171.4;25.7
9.258;3.685;174.0;25.7
9.278;3.677;176.7;25.7
9.298;3.669;179.3;25.7
9.318;3.660;182.0;25.7
9.338;3.650;184.7;25.7
9.358;3.642;187.3;25.7
9.378;3.635;190.0;25.7
9.398;3.627;192.7;25.7
9.418;3.620;195.3;25.7
9.438;3.612;198.0;25.7
9.458;3.606;200.6;25.7
9.478;3.598;203.3;25.7
9.498;3.591;206.0;25.7
9.518;3.584;208.6;25.7
9.538;3.578;211.3;25.7
9.558;3.570;214.0;25.7
9.578;3.563;216.6;25.7
9.598;3.557;219.3;25.7
9.618;3.551;221.9;25.7
9.638;3.544;224.6;25.7
9.658;3.538;227.3;25.7
9.678;3.533;229.9;25.7
9.698;3.528;232.6;25.7
9.718;3.521;235.3;25.7
9.738;3.515;237.9;25.7
9.758;3.508;240.6;25.7
9.778;3.504;243.2;25.8
9.798;3.497;245.9;25.7
9.818;3.492;248.6;25.7
9.838;3.487;251.2;25.7
9.838;3.487;251.4;25.7
