ml;pH;sec;°C
0.000;8.015;0.0;25.2
7.500;4.516;12.0;25.2
7.500;5.110;20.6;25.2
7.500;5.110;20.6;25.2
7.500;5.111;20.8;25.2
7.544;5.085;21.9;25.2
7.589;5.009;23.0;25.2
7.635;4.943;24.2;25.2
7.681;4.900;25.3;25.2
7.727;4.882;26.5;25.2
7.772;4.850;27.6;25.2
7.818;4.804;28.8;25.2
7.864;4.759;29.9;25.2
7.909;4.738;31.1;25.2
7.955;4.706;32.2;25.2
8.000;4.670;33.3;25.2
8.046;4.629;34.5;25.2
8.085;4.584;35.6;25.2
8.085;4.654;40.4;25.3
8.085;4.654;40.4;25.3
8.085;4.655;40.6;25.3
8.130;4.614;41.7;25.3
8.146;4.576;42.3;25.3
8.166;4.547;49.3;25.3
8.186;4.545;53.9;25.3
8.206;4.515;56.5;25.3
8.226;4.498;59.2;25.3
8.246;4.472;61.9;25.3
8.266;4.457;64.5;25.3
8.286;4.433;67.2;25.3
8.306;4.404;69.8;25.3
8.326;4.382;72.5;25.3
8.346;4.358;75.2;25.3
8.366;4.337;77.8;25.3
8.386;4.317;80.5;25.3
8.406;4.295;84.5;25.3
8.426;4.272;87.2;25.3
8.446;4.252;89.8;25.3
8.466;4.232;93.6;25.3
8.486;4.214;96.3;25.3
8.506;4.191;98.9;25.4
8.526;4.170;101.6;25.3
8.546;4.150;104.3;25.3
8.566;4.132;106.9;25.3
8.586;4.109;109.6;25.3
8.606;4.093;112.2;25.3
8.626;4.077;115.9;25.3
8.646;4.058;118.5;25.3
8.666;4.043;121.2;25.3
8.686;4.027;123.8;25.3
8.706;4.013;127.3;25.3
8.726;3.996;129.9;25.3
8.746;3.980;133.2;25.3
8.766;3.964;137.0;25.3
8.786;3.949;139.6;25.3
8.806;3.934;142.3;25.3
8.826;3.924;144.9;25.3
8.846;3.909;147.6;25.3
8.866;3.897;150.3;25.3
8.886;3.886;152.9;25.3
8.906;3.871;155.6;25.3
8.926;3.861;158.3;25.3
8.946;3.848;160.9;25.3
8.966;3.836;163.6;25.3
8.986;3.824;167.2;25.3
9.006;3.813;170.4;25.3
9.026;3.802;173.7;25.3
9.046;3.792;176.9;25.3
9.066;3.783;180.1;25.3
9.086;3.772;182.8;25.3
9.106;3.763;185.4;25.3
9.126;3.753;188.1;25.3
9.146;3.743;190.8;25.3
9.166;3.733;193.4;25.3
9.186;3.723;196.1;25.3
9.206;3.716;198.8;25.3
9.226;3.706;201.4;25.3
9.246;3.697;204.1;25.3
9.266;3.690;207.1;25.3
9.286;3.681;209.8;25.3
9.306;3.674;212.4;25.3
9.326;3.665;215.1;25.3
9.346;3.656;217.8;25.3
9.366;3.649;220.4;25.3
9.386;3.641;223.1;25.3
9.406;3.633;225.8;25.3
9.426;3.626;228.4;25.3
9.446;3.620;231.1;25.3
9.466;3.612;234.1;25.3
9.486;3.606;237.2;25.3
9.506;3.599;239.8;25.3
9.526;3.592;242.5;25.3
9.546;3.584;245.1;25.3
9.566;3.578;248.4;25.3
9.586;3.571;251.0;25.3
9.606;3.565;253.7;25.3
9.626;3.559;256.4;25.3
9.646;3.553;259.0;25.3
9.666;3.546;261.7;25.3
9.686;3.541;264.4;25.3
9.706;3.535;267.0;25.3
9.726;3.529;270.2;25.3
9.746;3.523;272.9;25.3
9.766;3.517;275.6;25.3
9.786;3.511;278.2;25.3
9.806;3.506;280.9;25.3
9.826;3.501;283.6;25.3
9.846;3.495;286.2;25.3
9.866;3.490;288.9;25.3
9.886;3.486;291.5;25.3
9.886;3.485;291.7;25.3
