ml;pH;sec;°C
0.000;8.007;0.0;26.0
7.500;6.032;12.0;26.0
7.500;5.884;12.4;26.0
7.545;5.691;13.5;26.0
7.590;5.549;14.7;26.0
7.636;5.415;15.8;26.0
7.681;5.281;17.0;26.0
7.727;5.176;18.1;26.0
7.773;5.068;19.2;26.0
7.818;4.965;20.4;26.0
7.864;4.878;21.5;26.0
7.910;4.804;22.7;26.0
7.955;4.725;23.8;26.0
8.001;4.665;25.0;26.0
8.047;4.604;26.1;26.0
8.063;4.573;26.7;26.0
8.083;4.472;34.5;26.0
8.103;4.444;37.3;26.0
8.123;4.421;40.4;26.0
8.143;4.397;43.4;26.0
8.163;4.371;46.4;26.0
8.183;4.347;49.5;26.0
8.203;4.324;52.5;26.0
8.223;4.302;55.4;26.0
8.243;4.281;58.2;26.0
8.263;4.260;61.3;26.0
8.283;4.240;64.1;26.0
8.303;4.218;67.0;26.0
8.323;4.198;69.8;26.0
8.343;4.175;72.7;26.0
8.363;4.157;75.7;26.0
8.383;4.136;78.4;26.0
8.403;4.119;81.4;26.0
8.423;4.100;84.3;26.0
8.443;4.083;87.1;26.0
8.463;4.066;90.0;26.0
8.483;4.049;92.6;26.0
8.503;4.033;95.3;26.0
8.523;4.018;98.2;26.0
8.543;4.000;101.2;26.0
8.563;3.985;103.9;26.0
8.583;3.969;106.5;26.0
8.603;3.955;109.4;26.0
8.623;3.942;112.0;26.1
8.643;3.927;114.7;26.0
8.663;3.914;117.4;26.0
8.683;3.900;120.0;26.0
8.703;3.887;122.7;26.0
8.723;3.874;125.3;26.1
8.743;3.862;128.0;26.1
8.763;3.849;130.7;26.0
8.783;3.836;133.3;26.0
8.803;3.824;136.0;26.0
8.823;3.815;138.7;26.1
8.843;3.803;141.3;26.0
8.863;3.792;144.0;26.0
8.883;3.782;146.6;26.0
8.903;3.771;149.3;26.0
8.923;3.762;152.0;26.0
8.943;3.752;154.6;26.1
8.963;3.741;157.3;26.0
8.983;3.731;159.9;26.0
9.003;3.722;162.6;26.0
9.023;3.713;165.3;26.0
9.043;3.705;167.9;26.1
9.063;3.697;170.6;26.0
9.083;3.689;173.3;26.0
9.103;3.681;175.9;26.0
9.123;3.672;178.6;26.1
9.143;3.664;181.2;26.1
9.163;3.655;183.9;26.0
9.183;3.647;186.6;26.0
9.203;3.640;189.2;26.1
9.223;3.633;191.9;26.1
9.243;3.626;194.6;26.1
9.263;3.618;197.2;26.0
9.283;3.612;199.9;26.0
9.303;3.604;202.5;26.0
9.323;3.597;205.2;26.1
9.343;3.591;207.9;26.1
9.363;3.584;210.5;26.0
9.383;3.576;213.2;26.0
9.403;3.570;215.8;26.0
9.423;3.564;218.5;26.0
9.443;3.558;221.2;26.1
9.463;3.552;223.8;26.1
9.483;3.546;226.5;26.0
9.503;3.539;229.2;26.0
9.523;3.534;231.8;26.0
9.543;3.528;234.5;26.1
9.563;3.522;237.1;26.1
9.583;3.516;239.8;26.0
9.603;3.510;242.5;26.0
9.623;3.505;245.1;26.0
9.643;3.500;247.8;26.1
9.663;3.495;250.5;26.1
9.683;3.489;253.1;26.0
9.683;3.490;253.3;26.0
