ml;pH;sec;°C
0.000;7.932;0.0;26.0
7.500;5.199;12.0;26.0
7.500;5.188;12.4;26.0
7.543;5.229;13.5;26.0
7.589;5.215;14.7;26.0
7.634;5.152;15.8;26.0
7.680;5.072;17.0;26.0
7.726;4.991;18.1;26.0
7.771;4.918;19.3;26.0
7.817;4.837;20.4;26.0
7.863;4.768;21.5;26.0
7.908;4.705;22.7;26.0
7.954;4.600;23.8;26.0
7.970;4.575;24.4;26.0
7.990;4.457;34.5;26.0
8.010;4.430;37.5;26.0
8.030;4.406;40.7;26.0
8.050;4.383;43.6;26.0
8.070;4.359;46.6;26.0
8.090;4.338;49.3;25.9
8.110;4.315;52.1;26.0
8.130;4.291;55.0;26.0
8.150;4.267;57.7;26.0
8.170;4.244;60.3;26.0
8.190;4.221;63.0;25.9
8.210;4.200;65.8;26.0
8.230;4.181;68.5;26.0
8.250;4.161;71.2;26.0
8.270;4.144;74.0;26.0
8.290;4.125;76.7;25.9
8.310;4.107;79.5;26.0
8.330;4.088;82.4;26.0
8.350;4.070;85.0;26.0
8.370;4.051;87.7;26.0
8.390;4.034;90.4;25.9
8.410;4.019;93.0;26.0
8.430;4.003;95.7;26.0
8.450;3.988;98.3;26.0
8.470;3.973;101.0;26.0
8.490;3.959;103.7;25.9
8.510;3.945;106.3;26.0
8.530;3.931;109.0;26.0
8.550;3.917;111.7;26.0
8.570;3.903;114.3;25.9
8.590;3.890;117.0;25.9
8.610;3.877;119.6;26.0
8.630;3.865;122.3;26.0
8.650;3.854;125.0;26.0
8.670;3.843;127.6;26.0
8.690;3.831;130.3;25.9
8.710;3.821;132.9;25.9
8.730;3.810;135.6;25.9
8.750;3.798;138.3;26.0
8.770;3.787;140.9;26.0
8.790;3.777;143.6;25.9
8.810;3.767;146.3;25.9
8.830;3.757;148.9;25.9
8.850;3.748;151.6;26.0
8.870;3.739;154.2;26.0
8.890;3.730;156.9;26.0
8.910;3.721;159.6;26.0
8.930;3.712;162.2;25.9
8.950;3.702;164.9;25.9
8.970;3.693;167.5;25.9
8.990;3.685;170.2;26.0
9.010;3.677;172.9;26.0
9.030;3.669;175.5;26.0
9.050;3.661;178.2;26.0
9.070;3.654;180.8;26.0
9.090;3.646;183.5;26.0
9.110;3.638;186.2;25.9
9.130;3.631;188.8;25.9
9.150;3.623;191.5;25.9
9.170;3.616;194.2;25.9
9.190;3.609;196.8;25.9
9.210;3.602;199.5;26.0
9.230;3.595;202.1;26.0
9.250;3.589;204.8;26.0
9.270;3.583;207.5;26.0
9.290;3.576;210.1;25.9
9.310;3.569;212.8;25.9
9.330;3.562;215.5;25.9
9.350;3.556;218.1;26.0
9.370;3.550;220.8;26.0
9.390;3.544;223.4;25.9
9.410;3.537;226.1;25.9
9.430;3.532;228.8;25.9
9.450;3.526;231.4;25.9
9.470;3.521;234.1;26.0
9.490;3.516;236.7;26.0
9.510;3.510;239.4;25.9
9.530;3.503;242.1;25.9
9.550;3.498;244.7;25.9
9.570;3.493;247.4;25.9
9.590;3.487;250.1;26.0
9.590;3.487;250.2;26.0
