ml;pH;sec;°C
0.000;7.966;0.0;25.9
7.500;5.282;12.0;25.9
7.500;5.270;12.4;25.9
7.544;5.426;13.5;25.9
7.589;5.435;14.7;25.9
7.635;5.378;15.8;25.9
7.680;5.315;17.0;25.9
7.726;5.233;18.1;25.9
7.772;5.144;19.3;25.9
7.817;5.046;20.4;25.9
7.863;4.958;21.5;25.9
7.909;4.872;22.7;25.9
7.954;4.785;23.8;25.9
8.000;4.710;25.0;25.9
8.046;4.630;26.1;25.9
8.062;4.568;26.7;25.9
8.082;4.436;37.9;25.9
8.102;4.410;40.6;25.9
8.122;4.377;43.2;25.9
8.142;4.357;45.9;25.9
8.162;4.331;48.5;25.9
8.182;4.310;51.2;25.9
8.202;4.287;53.9;25.9
8.222;4.263;56.5;25.9
8.242;4.241;59.2;25.9
8.262;4.220;61.8;25.9
8.282;4.206;64.5;25.9
8.302;4.178;67.2;25.9
8.322;4.163;69.8;25.9
8.342;4.145;72.5;25.9
8.362;4.125;75.2;25.9
8.382;4.101;77.8;26.0
8.402;4.085;80.5;25.9
8.422;4.069;83.1;25.9
8.442;4.052;85.8;25.9
8.462;4.034;88.5;25.9
8.482;4.018;91.1;25.9
8.502;4.005;93.8;26.0
8.522;3.991;96.4;25.9
8.542;3.975;99.1;25.9
8.562;3.958;101.8;25.9
8.582;3.944;104.4;25.9
8.602;3.932;107.1;25.9
8.622;3.919;110.5;25.9
8.642;3.904;113.2;25.9
8.662;3.894;115.8;25.9
8.682;3.881;118.5;25.9
8.702;3.869;121.2;25.9
8.722;3.858;123.8;25.9
8.742;3.845;126.5;25.9
8.762;3.832;129.1;25.9
8.782;3.823;131.8;25.9
8.802;3.812;134.5;25.9
8.822;3.800;137.9;25.9
8.842;3.790;140.6;25.9
8.862;3.780;143.2;25.9
8.882;3.770;145.9;25.9
8.902;3.761;148.5;25.9
8.922;3.750;151.2;25.9
8.942;3.739;153.9;25.9
8.962;3.728;156.5;25.9
8.982;3.718;159.2;25.9
9.002;3.710;161.9;25.9
9.022;3.701;164.5;25.9
9.042;3.693;167.2;25.9
9.062;3.683;169.8;25.9
9.082;3.675;172.5;25.9
9.102;3.667;175.2;25.9
9.122;3.659;177.8;25.9
9.142;3.650;180.5;25.9
9.162;3.642;183.1;25.9
9.182;3.635;185.8;25.9
9.202;3.627;188.5;25.9
9.222;3.619;191.1;25.9
9.242;3.612;193.8;25.9
9.262;3.607;196.5;25.9
9.282;3.600;199.1;25.9
9.302;3.591;201.8;25.9
9.322;3.585;204.4;25.9
9.342;3.579;207.1;25.9
9.362;3.571;209.8;25.9
9.382;3.565;212.4;25.9
9.402;3.559;215.1;25.9
9.422;3.552;217.8;25.9
9.442;3.545;220.4;25.9
9.462;3.540;223.1;25.9
9.482;3.534;225.7;25.9
9.502;3.528;228.4;25.9
9.522;3.521;231.1;25.9
9.542;3.517;233.7;25.9
9.562;3.511;236.4;25.9
9.582;3.504;239.0;25.9
9.602;3.499;241.7;25.9
9.622;3.494;244.4;25.9
9.642;3.489;247.0;25.9
9.642;3.489;247.2;25.9
