ml;pH;sec;°C
0.000;7.947;0.0;25.1
7.500;6.246;12.0;25.1
7.500;6.126;12.4;25.1
7.543;5.972;13.5;25.1
7.589;5.726;14.7;25.1
7.634;5.543;15.8;25.1
7.680;5.412;17.0;25.1
7.725;5.244;18.1;25.1
7.771;5.100;19.3;25.1
7.817;5.017;20.4;25.1
7.862;4.941;21.5;25.1
7.908;4.809;22.7;25.1
7.954;4.733;23.8;25.1
7.999;4.672;25.0;25.1
8.045;4.640;26.1;25.1
8.091;4.597;27.3;25.1
8.099;4.564;27.6;25.1
8.099;4.667;33.0;25.1
8.099;4.667;33.0;25.1
8.099;4.667;33.2;25.1
8.143;4.607;34.3;25.1
8.159;4.540;34.9;25.1
8.159;4.597;40.4;25.0
8.159;4.597;40.4;25.0
8.159;4.598;40.6;25.0
8.197;4.540;41.7;25.0
8.217;4.522;49.5;25.0
8.237;4.494;52.2;25.1
8.257;4.460;54.8;25.1
8.277;4.469;60.0;25.1
8.297;4.437;62.6;25.0
8.317;4.416;65.3;25.0
8.337;4.387;67.9;25.1
8.357;4.371;70.6;25.1
8.377;4.339;73.3;25.0
8.397;4.320;75.9;25.1
8.417;4.298;78.6;25.1
8.437;4.278;81.2;25.0
8.457;4.254;83.9;25.1
8.477;4.231;86.6;25.1
8.497;4.211;89.2;25.0
8.517;4.199;91.9;25.1
8.537;4.185;96.5;25.1
8.557;4.156;99.1;25.0
8.577;4.144;101.8;25.1
8.597;4.123;104.4;25.1
8.617;4.101;107.1;25.0
8.637;4.087;109.8;25.1
8.657;4.069;112.4;25.1
8.677;4.050;115.1;25.0
8.697;4.039;117.8;25.1
8.717;4.023;120.4;25.1
8.737;4.009;125.0;25.0
8.757;3.991;127.6;25.1
8.777;3.971;130.3;25.1
8.797;3.963;134.5;25.1
8.817;3.945;137.2;25.1
8.837;3.930;139.8;25.1
8.857;3.920;142.5;25.0
8.877;3.911;146.7;25.1
8.897;3.899;150.7;25.1
8.917;3.886;154.6;25.1
8.937;3.872;158.8;25.1
8.957;3.855;161.5;25.1
8.977;3.848;165.5;25.1
8.997;3.834;168.1;25.1
9.017;3.826;172.1;25.1
9.037;3.815;175.7;25.1
9.057;3.800;178.4;25.1
9.077;3.790;181.1;25.1
9.097;3.785;185.1;25.1
9.117;3.772;187.7;25.1
9.137;3.764;190.4;25.1
9.157;3.752;193.1;25.1
9.177;3.744;195.7;25.0
9.197;3.734;198.4;25.1
9.217;3.725;201.0;25.1
9.237;3.716;203.7;25.0
9.257;3.709;207.3;25.1
9.277;3.699;210.0;25.1
9.297;3.693;213.6;25.1
9.317;3.684;216.3;25.1
9.337;3.675;218.9;25.1
9.357;3.667;221.6;25.1
9.377;3.660;225.6;25.1
9.397;3.651;228.2;25.1
9.417;3.643;230.9;25.1
9.437;3.636;233.6;25.1
9.457;3.627;236.2;25.1
9.477;3.623;239.8;25.1
9.497;3.616;243.6;25.1
9.517;3.608;246.3;25.1
9.537;3.602;249.0;25.1
9.557;3.595;252.6;25.1
9.577;3.588;255.2;25.1
9.597;3.582;258.8;25.1
9.617;3.574;261.5;25.1
9.637;3.568;264.2;25.1
9.657;3.561;266.8;25.1
9.677;3.557;270.4;25.1
9.697;3.551;273.1;25.1
9.717;3.544;275.8;25.1
9.737;3.539;278.4;25.1
9.757;3.532;281.9;25.1
9.777;3.525;284.5;25.1
9.797;3.521;287.2;25.1
9.817;3.516;289.8;25.1
9.837;3.509;292.5;25.1
9.857;3.505;295.2;25.1
9.877;3.500;299.0;25.1
9.897;3.495;301.6;25.1
9.917;3.489;304.3;25.1
9.917;3.489;304.5;25.1
