ml;pH;sec;°C
0.000;8.020;0.0;26.1
7.500;5.857;12.0;26.1
7.500;5.855;12.4;26.1
7.541;5.816;13.5;26.1
7.587;5.756;14.7;26.1
7.633;5.680;15.8;26.1
7.678;5.591;17.0;26.1
7.724;5.493;18.1;26.1
7.769;5.397;19.2;26.1
7.815;5.297;20.4;26.1
7.861;5.190;21.5;26.1
7.906;5.091;22.7;26.1
7.952;5.005;23.8;26.1
7.998;4.910;25.0;26.1
8.043;4.800;26.1;26.1
8.089;4.715;27.2;26.1
8.135;4.640;28.4;26.1
8.166;4.573;29.3;26.1
8.186;4.347;41.9;26.1
8.206;4.323;44.9;26.1
8.226;4.299;48.0;26.1
8.246;4.278;50.6;26.1
8.266;4.256;53.9;26.1
8.286;4.235;57.1;26.1
8.306;4.214;59.9;26.1
8.326;4.190;63.0;26.1
8.346;4.170;65.6;26.1
8.366;4.149;68.9;26.1
8.386;4.131;71.5;26.1
8.406;4.110;74.2;26.1
8.426;4.091;77.4;26.1
8.446;4.074;80.5;26.1
8.466;4.057;83.1;26.0
8.486;4.042;86.0;26.1
8.506;4.025;89.0;26.0
8.526;4.008;91.9;26.1
8.546;3.992;94.5;26.0
8.566;3.976;97.4;26.1
8.586;3.961;100.1;26.1
8.606;3.945;102.7;26.0
8.626;3.932;105.4;26.1
8.646;3.920;108.0;26.1
8.666;3.907;110.7;26.1
8.686;3.894;113.4;26.1
8.706;3.881;116.0;26.0
8.726;3.868;118.7;26.1
8.746;3.856;121.4;26.1
8.766;3.844;124.0;26.1
8.786;3.832;126.7;26.1
8.806;3.820;129.3;26.0
8.826;3.809;132.0;26.1
8.846;3.799;134.7;26.1
8.866;3.789;137.3;26.1
8.886;3.779;140.0;26.1
8.906;3.769;142.6;26.1
8.926;3.757;145.3;26.0
8.946;3.747;148.0;26.1
8.966;3.736;150.6;26.1
8.986;3.729;153.3;26.1
9.006;3.720;156.0;26.1
9.026;3.711;158.6;26.1
9.046;3.703;161.3;26.1
9.066;3.694;163.9;26.1
9.086;3.687;166.6;26.1
9.106;3.678;169.3;26.1
9.126;3.669;171.9;26.0
9.146;3.661;174.6;26.0
9.166;3.652;177.2;26.1
9.186;3.646;179.9;26.1
9.206;3.638;182.6;26.1
9.226;3.630;185.2;26.0
9.246;3.623;187.9;26.0
9.266;3.616;190.6;26.1
9.286;3.609;193.2;26.1
9.306;3.603;195.9;26.1
9.326;3.595;198.5;26.0
9.346;3.588;201.2;26.0
9.366;3.582;203.9;26.1
9.386;3.575;206.5;26.1
9.406;3.568;209.2;26.1
9.426;3.562;211.8;26.1
9.446;3.556;214.5;26.1
9.466;3.551;217.2;26.1
9.486;3.544;219.8;26.1
9.506;3.538;222.5;26.1
9.526;3.532;225.1;26.1
9.546;3.527;227.8;26.1
9.566;3.520;230.5;26.1
9.586;3.514;233.1;26.0
9.606;3.509;235.8;26.1
9.626;3.503;238.5;26.1
9.646;3.498;241.1;26.1
9.666;3.493;243.8;26.1
9.686;3.488;246.4;26.1
9.686;3.488;246.6;26.1
