ml;pH;sec;°C
0.000;7.965;0.0;26.4
7.500;5.008;12.0;26.4
7.500;5.108;12.4;26.4
7.541;5.279;13.5;26.4
7.587;5.320;14.7;26.4
7.632;5.309;15.8;26.4
7.678;5.270;17.0;26.4
7.724;5.216;18.1;26.4
7.769;5.153;19.2;26.4
7.815;5.082;20.4;26.4
7.861;5.004;21.5;26.4
7.906;4.923;22.7;26.4
7.952;4.844;23.8;26.4
7.997;4.763;25.0;26.4
8.043;4.684;26.1;26.4
8.089;4.607;27.2;26.4
8.105;4.570;27.8;26.4
8.125;4.386;38.8;26.2
8.145;4.359;42.8;26.3
8.165;4.335;46.4;26.3
8.185;4.311;50.1;26.2
8.205;4.285;53.7;26.3
8.225;4.266;56.9;26.3
8.245;4.245;60.5;26.3
8.265;4.223;63.7;26.3
8.285;4.204;67.2;26.3
8.305;4.183;70.8;26.2
8.325;4.162;74.2;26.2
8.345;4.141;77.6;26.3
8.365;4.121;81.0;26.3
8.385;4.103;84.3;26.3
8.405;4.085;87.7;26.3
8.425;4.066;90.9;26.2
8.445;4.050;94.0;26.3
8.465;4.033;97.2;26.2
8.485;4.018;100.4;26.3
8.505;4.002;103.7;26.3
8.525;3.986;106.7;26.3
8.545;3.969;109.9;26.3
8.565;3.954;113.0;26.3
8.585;3.939;116.0;26.2
8.605;3.925;119.2;26.3
8.625;3.912;122.3;26.3
8.645;3.898;125.3;26.2
8.665;3.886;128.2;26.3
8.685;3.875;131.0;26.3
8.705;3.862;133.9;26.3
8.725;3.849;136.7;26.2
8.745;3.836;139.8;26.2
8.765;3.824;142.6;26.3
8.785;3.814;145.5;26.3
8.805;3.802;148.1;26.3
8.825;3.791;150.8;26.2
8.845;3.781;153.5;26.2
8.865;3.771;156.1;26.3
8.885;3.762;158.8;26.3
8.905;3.752;161.5;26.3
8.925;3.741;164.1;26.2
8.945;3.731;166.8;26.2
8.965;3.722;169.4;26.3
8.985;3.713;172.1;26.3
9.005;3.703;174.8;26.3
9.025;3.694;177.4;26.3
9.045;3.686;180.1;26.3
9.065;3.678;182.7;26.3
9.085;3.671;185.4;26.3
9.105;3.662;188.1;26.3
9.125;3.653;190.7;26.2
9.145;3.645;193.4;26.3
9.165;3.638;196.1;26.3
9.185;3.630;198.7;26.3
9.205;3.623;201.4;26.3
9.225;3.615;204.0;26.2
9.245;3.608;206.7;26.3
9.265;3.601;209.4;26.3
9.285;3.595;212.0;26.3
9.305;3.587;214.7;26.2
9.325;3.580;217.3;26.2
9.345;3.573;220.0;26.2
9.365;3.567;222.7;26.3
9.385;3.560;225.3;26.3
9.405;3.554;228.0;26.3
9.425;3.547;230.6;26.3
9.445;3.541;233.3;26.2
9.465;3.536;236.0;26.3
9.485;3.530;238.6;26.3
9.505;3.524;241.3;26.3
9.525;3.518;244.0;26.3
9.545;3.511;246.6;26.2
9.565;3.505;249.3;26.2
9.585;3.500;251.9;26.3
9.605;3.495;254.6;26.3
9.625;3.490;257.3;26.3
9.625;3.489;257.5;26.3
