ml;pH;sec;°C
0.000;7.937;0.0;25.5
7.500;5.620;12.0;25.5
7.500;5.631;12.4;25.5
7.544;5.656;13.5;25.5
7.590;5.627;14.7;25.5
7.635;5.557;15.8;25.5
7.681;5.490;17.0;25.5
7.727;5.417;18.1;25.5
7.772;5.332;19.2;25.5
7.818;5.239;20.4;25.5
7.864;5.145;21.5;25.5
7.909;5.050;22.7;25.5
7.955;4.948;23.8;25.5
8.001;4.867;25.0;25.5
8.046;4.785;26.1;25.5
8.092;4.703;27.2;25.5
8.137;4.621;28.4;25.5
8.161;4.565;29.2;25.5
8.181;4.392;40.6;25.6
8.201;4.366;43.8;25.6
8.221;4.342;47.0;25.6
8.241;4.320;50.1;25.6
8.261;4.297;53.1;25.6
8.281;4.275;56.1;25.6
8.301;4.252;59.4;25.6
8.321;4.231;62.2;25.6
8.341;4.208;65.3;25.6
8.361;4.188;68.3;25.6
8.381;4.167;71.5;25.6
8.401;4.148;74.8;25.6
8.421;4.128;77.6;25.6
8.441;4.111;80.5;25.6
8.461;4.093;83.7;25.6
8.481;4.076;86.8;25.6
8.501;4.060;89.6;25.6
8.521;4.042;92.5;25.6
8.541;4.026;95.3;25.7
8.561;4.009;98.0;25.6
8.581;3.993;100.8;25.7
8.601;3.977;103.7;25.6
8.621;3.964;106.5;25.6
8.641;3.950;109.4;25.6
8.661;3.936;112.0;25.6
8.681;3.924;114.9;25.6
8.701;3.910;117.6;25.6
8.721;3.898;120.2;25.7
8.741;3.885;122.9;25.7
8.761;3.871;125.5;25.6
8.781;3.860;128.2;25.7
8.801;3.848;130.9;25.7
8.821;3.836;133.5;25.6
8.841;3.826;136.2;25.6
8.861;3.816;138.8;25.7
8.881;3.806;141.5;25.7
8.901;3.795;144.2;25.6
8.921;3.785;146.8;25.6
8.941;3.774;149.5;25.7
8.961;3.764;152.2;25.7
8.981;3.754;154.8;25.6
9.001;3.745;157.5;25.7
9.021;3.736;160.1;25.7
9.041;3.726;162.8;25.7
9.061;3.717;165.5;25.6
9.081;3.709;168.1;25.7
9.101;3.701;170.8;25.7
9.121;3.692;173.4;25.7
9.141;3.684;176.1;25.7
9.161;3.675;178.8;25.7
9.181;3.667;181.4;25.7
9.201;3.658;184.1;25.7
9.221;3.650;186.8;25.7
9.241;3.643;189.4;25.7
9.261;3.636;192.1;25.7
9.281;3.628;194.7;25.7
9.301;3.620;197.4;25.7
9.321;3.612;200.1;25.7
9.341;3.605;202.7;25.7
9.361;3.596;205.4;25.7
9.381;3.589;208.1;25.7
9.401;3.582;210.7;25.7
9.421;3.575;213.4;25.7
9.441;3.568;216.0;25.7
9.461;3.562;218.7;25.7
9.481;3.556;221.4;25.7
9.501;3.550;224.0;25.7
9.521;3.543;226.7;25.7
9.541;3.537;229.4;25.7
9.561;3.531;232.0;25.7
9.581;3.524;234.7;25.7
9.601;3.518;237.3;25.7
9.621;3.513;240.0;25.7
9.641;3.507;242.7;25.7
9.661;3.502;245.3;25.7
9.681;3.496;248.0;25.7
9.701;3.491;250.6;25.7
9.721;3.486;253.3;25.7
9.721;3.486;253.5;25.7
