ml;pH;sec;°C
0.000;8.013;0.0;26.2
7.500;4.809;12.0;26.2
7.500;4.958;12.4;26.2
7.541;5.151;13.5;26.2
7.587;5.177;14.7;26.2
7.633;5.174;15.8;26.2
7.678;5.101;17.0;26.2
7.724;5.022;18.1;26.2
7.770;4.968;19.2;26.2
7.815;4.921;20.4;26.2
7.861;4.883;21.5;26.2
7.906;4.833;22.7;26.2
7.952;4.736;23.8;26.2
7.998;4.648;25.0;26.2
8.043;4.608;26.1;26.2
8.060;4.554;26.7;26.2
8.080;4.498;31.6;26.2
8.100;4.459;34.3;26.2
8.120;4.438;36.9;26.2
8.140;4.404;40.5;26.2
8.160;4.377;44.2;26.2
8.180;4.347;48.7;26.2
8.200;4.324;52.7;26.2
8.220;4.308;55.8;26.2
8.240;4.283;59.7;26.2
8.260;4.261;64.1;26.2
8.280;4.242;66.8;26.2
8.300;4.221;70.8;26.2
8.320;4.202;73.8;26.2
8.340;4.179;78.0;26.2
8.360;4.158;81.8;26.1
8.380;4.142;84.5;26.2
8.400;4.121;87.1;26.2
8.420;4.101;90.7;26.2
8.440;4.083;93.4;26.2
8.460;4.067;96.6;26.2
8.480;4.052;99.7;26.2
8.500;4.036;102.5;26.2
8.520;4.020;105.2;26.2
8.540;4.001;108.2;26.2
8.560;3.986;110.9;26.2
8.580;3.971;113.9;26.2
8.600;3.956;117.2;26.2
8.620;3.942;120.4;26.2
8.640;3.928;123.6;26.2
8.660;3.913;127.0;26.2
8.680;3.901;130.8;26.2
8.700;3.890;134.1;26.2
8.720;3.875;137.7;26.2
8.740;3.864;140.7;26.2
8.760;3.853;143.4;26.2
8.780;3.838;146.2;26.2
8.800;3.827;149.1;26.2
8.820;3.815;151.9;26.2
8.840;3.803;155.4;26.2
8.860;3.794;158.0;26.2
8.880;3.783;160.7;26.2
8.900;3.771;163.9;26.2
8.920;3.759;167.3;26.2
8.940;3.750;170.4;26.2
8.960;3.739;173.8;26.2
8.980;3.729;177.0;26.2
9.000;3.720;180.3;26.2
9.020;3.711;183.5;26.2
9.040;3.703;186.2;26.2
9.060;3.693;189.4;26.2
9.080;3.685;192.4;26.2
9.100;3.676;195.1;26.2
9.120;3.668;198.0;26.2
9.140;3.659;201.4;26.2
9.160;3.650;204.8;26.2
9.180;3.643;207.5;26.2
9.200;3.636;210.1;26.2
9.220;3.628;213.0;26.2
9.240;3.621;215.6;26.2
9.260;3.614;218.3;26.2
9.280;3.606;221.5;26.2
9.300;3.600;224.2;26.2
9.320;3.592;226.9;26.2
9.340;3.585;230.1;26.2
9.360;3.578;232.9;26.2
9.380;3.572;235.6;26.2
9.400;3.565;238.3;26.2
9.420;3.558;240.9;26.2
9.440;3.551;243.8;26.2
9.460;3.546;246.4;26.2
9.480;3.539;249.1;26.2
9.500;3.533;252.1;26.2
9.520;3.527;254.8;26.2
9.540;3.522;257.5;26.2
9.560;3.515;260.1;26.2
9.580;3.510;262.8;26.2
9.600;3.504;265.8;26.2
9.620;3.498;268.9;26.2
9.640;3.494;271.5;26.2
9.660;3.489;274.6;26.2
9.660;3.488;274.8;26.2
