ml;pH;sec;°C
0.000;8.063;0.0;26.9
0.038;8.063;0.4;26.9
0.076;8.063;0.8;26.9
0.076;8.063;0.8;26.9
0.191;8.061;1.9;26.9
0.305;8.056;3.1;26.9
0.420;8.041;4.2;26.9
0.535;8.024;5.4;26.9
0.650;8.002;6.5;26.9
0.765;7.977;7.6;26.9
0.880;7.945;8.8;26.9
0.995;7.913;9.9;26.9
1.110;7.876;11.1;26.9
1.224;7.828;12.2;26.9
1.339;7.754;13.4;26.9
1.454;7.696;14.5;26.9
1.569;7.627;15.7;26.9
1.684;7.556;16.8;26.9
1.798;7.491;18.0;26.9
1.913;7.433;19.1;26.9
2.028;7.377;20.3;26.9
2.143;7.319;21.4;26.9
2.258;7.254;22.6;26.9
2.372;7.196;23.7;26.9
2.487;7.133;24.9;26.9
2.602;7.075;26.0;26.9
2.717;7.020;27.1;26.9
2.832;6.978;28.3;26.9
2.947;6.925;29.4;26.9
3.062;6.871;30.6;26.9
3.176;6.817;31.7;26.9
3.291;6.769;32.9;26.9
3.406;6.733;34.0;26.9
3.521;6.684;35.2;26.9
3.636;6.646;36.3;26.9
3.750;6.605;37.5;26.9
3.865;6.546;38.6;26.9
3.980;6.503;39.8;26.9
4.095;6.464;40.9;26.9
4.210;6.408;42.1;26.9
4.324;6.373;43.2;26.9
4.439;6.333;44.3;26.9
4.554;6.258;45.5;26.9
4.669;6.213;46.6;26.9
4.784;6.182;47.8;26.9
4.899;6.143;48.9;26.9
5.013;6.108;50.1;26.9
5.128;6.074;51.2;26.9
5.243;6.031;52.4;26.9
5.358;5.987;53.5;26.9
5.473;5.932;54.7;26.9
5.588;5.889;55.8;26.9
5.703;5.823;57.0;26.9
5.818;5.801;58.1;26.9
5.932;5.769;59.3;26.9
6.047;5.722;60.4;26.9
6.162;5.702;61.6;26.9
6.277;5.672;62.7;26.9
6.392;5.613;63.8;26.9
6.507;5.575;65.0;26.9
6.621;5.508;66.1;26.9
6.737;5.475;67.3;26.9
6.851;5.403;68.4;26.9
6.966;5.360;69.6;26.9
7.081;5.335;70.7;26.9
7.196;5.258;71.9;26.9
7.311;5.235;73.0;26.9
7.425;5.149;74.2;26.9
7.512;5.104;75.3;26.9
7.558;5.054;76.5;26.9
7.603;5.001;77.6;26.9
7.649;4.949;78.7;26.9
7.695;4.904;79.9;26.9
7.740;4.842;81.0;26.9
7.786;4.798;82.2;26.9
7.831;4.744;83.3;26.9
7.877;4.688;84.5;26.9
7.923;4.644;85.6;26.9
7.968;4.593;86.7;26.9
7.977;4.574;87.1;26.9
7.997;4.440;96.8;26.9
8.017;4.414;100.6;26.9
8.037;4.390;104.4;26.9
8.057;4.367;108.0;26.9
8.077;4.344;111.5;26.9
8.097;4.324;114.1;26.9
8.117;4.297;117.9;26.9
8.137;4.270;121.9;26.9
8.157;4.245;125.5;26.9
8.177;4.222;129.1;26.9
8.197;4.200;132.0;26.9
8.217;4.177;135.6;26.9
8.237;4.158;139.0;26.9
8.257;4.137;142.3;26.9
8.277;4.121;145.1;26.9
8.297;4.101;148.2;26.9
8.317;4.082;151.0;26.9
8.337;4.063;154.4;26.9
8.357;4.045;157.7;26.9
8.377;4.027;160.9;26.9
8.397;4.009;164.3;26.9
8.417;3.993;167.2;26.9
8.437;3.977;170.2;26.9
8.457;3.963;173.2;26.9
8.477;3.950;176.3;26.9
8.497;3.935;179.3;26.9
8.517;3.921;182.2;26.9
8.537;3.906;185.2;26.9
8.557;3.892;188.3;26.9
8.577;3.879;191.1;26.9
8.597;3.866;193.8;26.9
8.617;3.854;196.6;26.9
8.637;3.842;199.3;26.9
8.657;3.831;201.9;26.9
8.677;3.820;204.6;26.9
8.697;3.809;207.3;26.9
8.717;3.797;209.9;26.9
8.737;3.785;212.6;26.9
8.757;3.774;215.3;26.9
8.777;3.763;217.9;26.9
8.797;3.754;220.6;26.9
8.817;3.744;223.2;26.9
8.837;3.734;225.9;26.9
8.857;3.725;228.6;26.9
8.877;3.716;231.2;26.9
8.897;3.708;233.9;26.9
8.917;3.698;236.5;26.9
8.937;3.689;239.2;26.9
8.957;3.680;241.9;26.9
8.977;3.671;244.5;26.9
8.997;3.663;247.2;26.9
9.017;3.654;249.9;26.9
9.037;3.646;252.5;26.9
9.057;3.639;255.2;26.9
9.077;3.631;257.8;26.9
9.097;3.624;260.5;26.8
9.117;3.616;263.2;26.9
9.137;3.609;265.8;26.9
9.157;3.601;268.5;26.9
9.177;3.594;271.1;26.9
9.197;3.587;273.8;26.9
9.217;3.581;276.5;26.9
9.237;3.574;279.1;26.9
9.257;3.567;281.8;26.9
9.277;3.561;284.5;26.9
9.297;3.555;287.1;26.9
9.317;3.548;289.8;26.9
9.337;3.541;292.4;26.8
9.357;3.535;295.1;26.9
9.377;3.529;297.8;26.9
9.397;3.523;300.4;26.9
9.417;3.516;303.1;26.9
9.437;3.511;305.8;26.9
9.457;3.506;308.4;26.9
9.477;3.500;311.1;26.9
9.497;3.494;313.7;26.9
9.517;3.489;316.4;26.9
9.517;3.488;316.6;26.9
