ml;pH;sec;°C
0.000;7.935;0.0;26.7
7.500;4.111;12.0;26.7
7.500;4.904;19.4;26.8
7.500;4.904;19.4;26.8
7.500;4.904;19.6;26.8
7.545;4.843;20.8;26.8
7.590;4.777;21.9;26.8
7.636;4.706;23.0;26.8
7.681;4.678;24.2;26.8
7.727;4.682;25.3;26.8
7.773;4.654;26.5;26.8
7.818;4.606;27.6;26.8
7.835;4.583;28.2;26.8
7.835;4.607;31.2;26.7
7.835;4.607;31.2;26.7
7.835;4.608;31.4;26.7
7.864;4.576;32.4;26.7
7.884;4.551;39.6;26.7
7.904;4.530;43.4;26.7
7.924;4.508;46.1;26.7
7.944;4.482;50.2;26.8
7.964;4.459;53.9;26.7
7.984;4.438;56.5;26.8
8.004;4.412;59.7;26.7
8.024;4.390;63.4;26.7
8.044;4.369;66.4;26.7
8.064;4.344;70.6;26.7
8.084;4.328;73.2;26.7
8.104;4.300;77.8;26.7
8.124;4.283;80.5;26.7
8.144;4.256;84.1;26.7
8.164;4.232;87.9;26.7
8.184;4.210;91.7;26.7
8.204;4.192;94.3;26.7
8.224;4.174;97.0;26.7
8.244;4.152;100.2;26.7
8.264;4.133;103.3;26.7
8.284;4.114;107.3;26.7
8.304;4.096;109.9;26.7
8.324;4.080;112.6;26.7
8.344;4.058;116.0;26.7
8.364;4.042;118.7;26.7
8.384;4.022;122.5;26.7
8.404;4.008;125.1;26.7
8.424;3.991;128.6;26.7
8.444;3.977;131.2;26.7
8.464;3.963;133.9;26.7
8.484;3.949;136.9;26.7
8.504;3.935;139.6;26.7
8.524;3.919;142.6;26.7
8.544;3.907;145.3;26.7
8.564;3.892;148.3;26.7
8.584;3.879;151.0;26.7
8.604;3.865;154.2;26.7
8.624;3.852;157.6;26.7
8.644;3.841;160.3;26.7
8.664;3.829;163.9;26.7
8.684;3.821;166.6;26.7
8.704;3.808;169.2;26.7
8.724;3.797;172.5;26.7
8.744;3.786;175.1;26.7
8.764;3.776;177.8;26.7
8.784;3.765;180.5;26.7
8.804;3.754;183.1;26.7
8.824;3.746;185.8;26.7
8.844;3.736;188.4;26.7
8.864;3.726;191.1;26.7
8.884;3.718;193.8;26.7
8.904;3.709;196.8;26.7
8.924;3.699;199.5;26.7
8.944;3.690;202.9;26.7
8.964;3.682;205.6;26.7
8.984;3.672;208.8;26.7
9.004;3.664;211.6;26.7
9.024;3.655;215.1;26.7
9.044;3.649;217.7;26.7
9.064;3.642;220.4;26.7
9.084;3.634;223.0;26.7
9.104;3.627;225.9;26.7
9.124;3.619;228.7;26.7
9.144;3.610;232.0;26.7
9.164;3.604;234.6;26.7
9.184;3.597;237.3;26.7
9.204;3.589;240.0;26.7
9.224;3.583;242.6;26.7
9.244;3.576;245.7;26.7
9.264;3.570;248.3;26.7
9.284;3.564;251.0;26.7
9.304;3.557;253.7;26.7
9.324;3.551;256.7;26.7
9.344;3.544;259.4;26.7
9.364;3.537;262.2;26.7
9.384;3.531;264.9;26.7
9.404;3.525;268.1;26.7
9.424;3.519;270.8;26.7
9.444;3.515;273.4;26.7
9.464;3.509;276.1;26.7
9.484;3.502;278.7;26.7
9.504;3.498;281.4;26.7
9.524;3.491;284.1;26.7
9.544;3.486;286.7;26.7
9.544;3.486;286.9;26.7
